source,target,weight
32,37,0
16,20,0
43,101,0
52,113,1
43,110,0
52,58,0
141,145,1
52,122,1
62,90,1
96,131,0
51,135,0
8,146,0
39,60,0
109,113,0
48,72,0
52,88,1
31,65,1
18,65,1
52,97,0
6,75,0
80,113,1
18,19,0
43,103,1
52,106,1
79,90,1
90,99,0
37,72,0
25,52,1
8,66,1
47,146,1
74,75,1
40,52,1
65,136,1
85,148,1
44,77,1
87,112,0
95,125,1
49,146,1
16,24,0
18,140,0
82,91,0
47,66,1
52,117,1
72,150,0
107,117,0
85,114,0
101,110,1
30,123,0
37,74,1
3,17,1
46,52,1
77,149,0
46,61,0
48,58,1
51,75,0
31,106,1
58,90,1
85,132,0
77,103,0
85,86,1
12,47,1
41,83,1
49,66,0
52,83,1
66,146,1
15,73,1
95,127,0
18,69,0
52,101,1
58,117,1
26,146,1
136,146,0
31,72,0
101,103,0
65,67,0
52,131,0
24,60,1
52,76,0
122,128,1
21,107,0
68,72,0
21,52,0
12,49,1
27,31,0
130,142,0
10,24,1
52,94,0
1,140,0
52,103,1
53,68,1
91,107,0
53,77,1
93,113,0
102,116,0
147,148,1
102,125,1
116,124,0
57,102,0
84,86,0
52,60,1
52,124,1
69,140,1
9,16,0
38,52,1
51,134,1
75,135,0
32,75,1
16,58,1
95,113,1
1,69,0
52,87,0
55,104,1
52,96,1
10,145,0
8,47,0
37,117,0
56,66,0
68,150,1
91,118,0
8,56,0
56,75,0
38,91,1
0,52,0
52,53,0
99,110,0
77,82,0
52,62,1
99,101,0
68,122,1
77,100,0
52,80,1
43,77,0
16,60,1
10,74,0
32,141,1
10,37,1
34,123,1
8,49,0
77,121,0
91,120,1
99,103,0
32,43,1
56,141,1
68,106,1
43,52,1
52,119,0
70,79,1
49,56,1
4,88,1
52,82,1
17,27,1
48,60,1
52,91,0
1,18,0
65,140,1
47,49,1
20,117,0
129,132,1
38,77,0
30,106,0
52,112,1
52,57,0
16,37,1
52,121,1
26,47,0
4,26,0
19,72,1
7,52,1
75,141,0
35,77,1
72,126,0
53,122,1
94,102,0
6,10,0
6,74,1
51,106,0
77,125,1
9,52,0
41,105,1
43,47,0
52,105,0
18,27,0
35,43,0
41,59,1
43,56,0
52,59,1
52,123,1
24,52,0
106,149,0
19,65,0
52,132,1
52,77,0
25,60,0
47,90,1
24,70,1
10,16,0
39,52,0
53,106,0
17,31,0
102,124,1
10,25,0
113,127,1
117,118,1
37,52,0
73,136,0
83,104,1
68,149,1
83,113,0
52,107,0
72,140,1
41,52,1
16,32,1
86,148,0
26,106,0
41,125,1
26,51,0
52,125,0
135,141,0
52,134,1
8,12,1
10,128,0
56,95,0
0,72,1
19,140,1
57,124,1
77,102,0
117,120,1
26,136,0
52,100,0
86,132,1
16,25,0
77,106,1
94,124,1
52,118,0
52,63,1
107,118,1
62,95,0
33,123,0
16,52,1
19,69,1
44,68,0
10,75,1
9,77,0
62,113,0
68,126,1
77,95,1
20,52,1
91,112,0
26,74,1
43,90,1
20,70,1
52,93,1
75,95,1
12,66,0
43,99,0
52,102,0
60,124,0
16,36,1
33,52,1
44,52,0
52,120,1
28,65,1
52,129,0
37,77,1
35,122,0
1,65,0
65,68,1
10,141,1
32,74,0
68,73,1
68,128,0
52,95,0
