source,target,weight
32,37,1
16,20,1
43,101,1
52,113,0
43,110,1
52,58,1
141,145,1
52,122,1
62,90,1
96,131,1
51,135,1
8,146,1
39,60,1
109,113,1
48,72,0
52,88,0
31,65,1
18,65,1
52,97,1
6,75,0
80,113,0
18,19,1
43,103,0
52,106,0
79,90,0
90,99,0
37,72,1
25,52,0
8,66,1
47,146,1
74,75,1
40,52,0
65,136,1
85,148,1
44,77,1
87,112,1
95,125,1
49,146,1
16,24,1
18,140,1
82,91,1
47,66,1
52,117,0
72,150,1
107,117,1
85,114,1
101,110,1
30,123,0
37,74,0
3,17,0
46,52,0
77,149,1
46,61,1
48,58,0
51,75,1
31,106,0
58,90,1
85,132,1
77,103,1
85,86,0
12,47,1
41,83,1
49,66,1
52,83,1
66,146,1
15,73,1
95,127,1
18,69,0
52,101,1
58,117,1
26,146,0
136,146,1
31,72,1
101,103,0
65,67,0
52,131,1
24,60,1
52,76,0
122,128,1
21,107,1
68,72,1
21,52,1
12,49,1
27,31,0
130,142,1
10,24,0
52,94,1
1,140,0
52,103,1
53,68,0
91,107,1
53,77,1
93,113,1
102,116,0
147,148,0
102,125,0
116,124,1
57,102,0
84,86,1
52,60,1
52,124,1
69,140,1
9,16,1
38,52,1
51,134,1
75,135,1
32,75,1
16,58,1
95,113,0
1,69,1
52,87,1
55,104,1
52,96,0
10,145,1
8,47,1
37,117,0
56,66,0
68,150,1
91,118,0
8,56,1
56,75,1
38,91,1
0,52,1
52,53,1
99,110,0
77,82,0
52,62,1
99,101,0
68,122,1
77,100,1
52,80,0
43,77,0
16,60,0
10,74,1
32,141,1
10,37,1
34,123,1
8,49,1
77,121,1
91,120,1
99,103,1
32,43,1
56,141,0
68,106,1
43,52,1
52,119,1
70,79,0
49,56,1
4,88,0
52,82,0
17,27,1
48,60,1
52,91,1
1,18,1
65,140,1
47,49,1
20,117,1
129,132,1
38,77,1
30,106,0
52,112,1
52,57,1
16,37,1
52,121,1
26,47,1
4,26,1
19,72,0
7,52,1
75,141,0
35,77,1
72,126,1
53,122,0
94,102,1
6,10,1
6,74,1
51,106,0
77,125,1
9,52,1
41,105,1
43,47,1
52,105,1
18,27,1
35,43,1
41,59,1
43,56,0
52,59,1
52,123,1
24,52,1
106,149,0
19,65,1
52,132,0
52,77,0
25,60,0
47,90,1
24,70,1
10,16,1
39,52,1
53,106,1
17,31,0
102,124,1
10,25,1
113,127,0
117,118,1
37,52,0
73,136,1
83,104,1
68,149,1
83,113,1
52,107,0
72,140,0
41,52,1
16,32,0
86,148,1
26,106,1
41,125,1
26,51,1
52,125,1
135,141,0
52,134,1
8,12,1
10,128,1
56,95,1
0,72,1
19,140,1
57,124,0
77,102,0
117,120,0
26,136,1
52,100,0
86,132,1
16,25,0
77,106,1
94,124,1
52,118,0
52,63,1
107,118,1
62,95,1
33,123,1
16,52,1
19,69,1
44,68,0
10,75,0
9,77,0
62,113,1
68,126,1
77,95,1
20,52,0
91,112,0
26,74,1
43,90,1
20,70,1
52,93,1
75,95,0
12,66,1
43,99,1
52,102,1
60,124,1
16,36,1
33,52,0
44,52,1
52,120,0
28,65,1
52,129,1
37,77,1
35,122,0
1,65,0
65,68,1
10,141,1
32,74,1
68,73,1
68,128,0
52,95,0
