from_id	to_id	weight
U154	U155	1
U154	U155	1
U154	U155	1
U154	U155	1
U154	U155	1
U154	U155	1
U154	U155	1
U19	U56	1
U154	U155	1
U154	U155	1
U19	U56	1
U19	U56	1
U154	U155	1
U19	U56	1
U19	U56	1
U19	U56	1
U154	U155	1
U19	U152	1
U19	U56	1
U154	U155	1
U19	U56	1
U154	U155	1
U19	U56	1
U19	U56	1
U19	U56	1
U12	U35	1
U56	U152	1
U12	U74	1
U19	U56	1
U12	U35	1
U56	U152	1
U12	U74	1
U19	U56	1
U12	U74	1
U19	U56	1
U12	U74	1
U56	U152	1
U56	U165	1
U12	U19	1
U12	U74	1
U19	U74	1
U12	U19	1
U12	U74	1
U113	U168	1
U19	U74	1
U56	U152	1
U99	U103	1
U12	U19	1
U12	U74	1
U19	U74	1
U12	U35	1
U12	U19	1
U19	U74	1
U19	U35	1
U96	U103	1
U12	U35	1
U96	U103	1
U19	U74	1
U19	U74	1
U12	U35	1
U56	U152	1
U19	U74	1
U56	U152	1
U19	U74	1
U12	U35	1
U19	U74	1
U12	U35	1
U56	U152	1
U19	U74	1
U33	U168	1
U19	U74	1
U33	U56	1
U33	U168	1
U19	U74	1
U33	U56	1
U155	U165	1
U19	U74	1
U12	U35	1
U33	U168	1
U76	U157	1
U19	U74	1
U150	U180	1
U76	U157	1
U19	U66	1
U153	U159	1
U66	U74	1
U19	U74	1
U85	U106	1
U76	U159	1
U12	U35	1
U33	U179	1
U19	U66	1
U159	U177	1
U19	U74	1
U33	U168	1
U120	U123	1
U165	U168	1
U19	U74	1
U33	U168	1
U89	U91	1
U120	U123	1
U85	U106	1
U33	U76	1
U19	U74	1
U89	U91	1
U120	U123	1
U85	U106	1
U20	U157	1
U12	U35	1
U46	U74	1
U113	U154	1
U85	U106	1
U46	U74	1
U8	U74	1
U35	U43	1
U89	U91	1
U83	U123	1
U66	U74	1
U120	U123	1
U66	U74	1
U10	U76	1
U8	U69	1
U120	U123	1
U19	U56	1
U95	U153	1
U8	U69	1
U19	U56	1
U1	U12	1
U66	U74	1
U85	U91	1
U76	U153	1
U66	U74	1
U19	U56	1
U76	U177	1
U76	U153	1
U66	U74	1
U8	U69	1
U91	U106	1
U89	U91	1
U19	U56	1
U85	U106	1
U150	U173	1
U46	U74	1
U120	U123	1
U66	U74	1
U18	U76	1
U33	U13	1
U19	U56	1
U18	U153	1
U150	U165	1
U46	U74	1
U153	U166	1
U95	U101	1
U152	U164	1
U85	U95	1
U66	U74	1
U76	U166	1
U8	U46	1
U156	U159	1
U120	U123	1
U159	U164	1
U154	U159	1
U150	U173	1
U30	U48	1
U153	U166	1
U33	U73	1
U66	U74	1
U18	U76	1
U41	U74	1
