	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
U1	-0.00784719	-0.19524546	-0.14474335	0.016076786	-0.0058309324	0.075652964	-0.0681955	0.039273232	-0.09058003	0.09764313	-0.0021611752	-0.16876347	0.0039959294	0.09675819	0.17444886	0.03655624	0.06757625	0.038913634	0.14253977	0.13872452	0.06550447	0.103837416	0.019231612	0.07642924	-0.061151445	0.263861	-0.08066308	-0.016119182	-0.13415825	-0.036189724	0.017509276	-0.092920884	0.037184704	-0.00752447	-0.061009776	0.0046684546	-0.103001356	-0.06840555	0.16899705	-0.17235675	-0.06359321	-0.00065542804	-0.010354753	0.071474425	-0.035768013	0.11300681	-0.04366731	-0.111395605	0.054452047	-0.065692075	0.19985378	0.13266402	-0.044546887	-0.10751863	0.022896977	-0.047835547	-0.036845174	0.15101364	0.009177901	0.20695075	-0.0716089	-0.027354829	-0.005408806	-0.13432282	-0.00997402	-0.020243725	0.06253115	-0.015414494	-0.038889352	-0.09328983	0.074807	-0.01137572	0.03571518	-0.008515577	-0.14223106	-0.016766569	0.047698278	0.102031924	0.013264821	-0.16031139	0.04991597	-0.23929732	0.052695736	0.0050410246	0.12636025	-0.023918977	0.022618126	-0.51256216	-0.06523065	0.0016971612	0.09846005	-0.113888845	-0.056520365	-0.026187344	0.024189496	-0.23251513	0.06996046	-0.031801432	0.13887505	0.08949894	0.031185707	0.34185368	-0.040363196	0.3186117	-0.06587429	-0.14189158	-0.13660789	-0.022867335	-0.02167499	0.14794013	-0.002866448	0.011533176	0.17598443	0.19842826	-0.34778932	0.11796415	-0.0038780505	-0.06914417	0.06452869	0.076636344	-0.020519724	0.07575386	-0.07926308	-0.019495074	0.095745824	-0.01277735	0.18309575	0.1322799
U10	0.019327067	0.04903883	-0.021677677	-0.023584371	-0.029910931	-0.012107092	0.0066105584	-0.028775906	-0.0006958416	-0.0844456	-0.011271789	-0.10587965	0.012902187	-0.04888783	0.05016095	0.01159201	0.010217936	0.021480108	-0.0065574395	-0.010610007	0.05347789	0.041527748	0.010104608	0.027637478	-0.020646825	-0.08347838	-0.037920967	0.03203836	-0.06287938	0.018374994	0.011156738	-0.015987279	0.019244619	0.01587561	-0.05385254	0.010223532	-0.027410243	0.0117973965	-0.08515587	-0.01797762	-0.0026859192	0.029159795	0.0062757744	-0.055500723	0.024206763	-0.019741297	-0.047641866	0.018536624	0.018913748	-0.0015039339	-0.016274028	0.09211224	0.0027835716	0.0084951995	0.021799667	0.00451673	0.061314255	-0.07502027	0.013523207	-0.13941865	-0.037305363	-0.033679623	0.0108307125	0.1543525	-0.016580952	-0.0136870295	0.024693403	-0.061570495	-0.040591534	0.023234982	0.07125613	0.0430077	-0.0063694003	-0.043737106	0.11237395	-0.02443544	0.058942523	-0.0507478	0.04241462	-0.025012847	-0.005788198	0.10020474	-0.018429292	0.009568952	0.035155155	-0.04050805	-0.01963036	0.07869819	-0.02773792	-0.00033193151	-0.05604292	-0.022066142	-0.020235471	-0.041222967	0.10051979	0.025109176	0.01587703	-0.05170022	0.0027240072	0.01655325	-0.015832508	-0.042237207	-0.013732612	-0.021580271	-0.05351012	0.012683052	-0.032787543	-0.031830054	0.020471945	-0.06974358	0.024188023	0.01766084	-0.033120602	0.07514603	-0.037981853	-0.03105458	-0.026850417	0.0130278785	0.021660607	0.0026415782	-0.039614256	-0.058064498	-0.07332445	0.030351594	0.019301713	-0.042015087	0.049914476	0.06008884
U100	-0.022058371	-0.18707196	0.009367622	0.005868402	0.02634932	0.061982106	0.0015830339	0.07401351	-0.08068316	0.23658106	-0.0027681005	0.108613126	-0.009714277	0.09120626	-0.0051252833	0.04252331	0.03487877	-0.024029253	0.097094364	0.117641844	-0.074175686	-0.024687149	0.011733405	0.021680605	0.059829786	0.2797688	0.028495435	-0.10509888	0.028228426	-0.04880918	-0.029342107	0.005576401	0.017206272	-0.013727557	0.06617209	0.00045675482	-0.0040867785	-0.08035597	0.25151908	-0.06747349	-0.024579056	-0.037150137	-0.020682529	0.16275303	-0.038843304	0.076016255	0.07560543	-0.025792126	-0.040920347	-0.044825472	0.08256531	-0.12451074	-0.05163311	-0.05971683	-0.061552584	-0.07024128	-0.13036634	0.19930026	-0.00023373356	0.35653496	0.05865509	0.031914048	-0.0019190784	-0.34143752	0.028579384	-0.011913035	0.049723476	0.10564883	0.101696484	-0.10860364	-0.10623685	-0.04578136	-0.011056665	0.088568754	-0.26872635	0.07449049	-0.10676376	0.16448042	-0.10264031	-0.028742146	0.01179965	-0.3177518	0.032199994	-0.054218788	-0.049101174	0.069388546	0.03461984	-0.42430305	0.005615872	0.013810167	0.15787409	0.01971779	0.033543162	0.05814425	-0.1768381	-0.14320542	-0.0029155943	0.06235873	0.112181455	0.028377153	0.011693284	0.2164837	-0.023123309	0.16722739	0.079711236	-0.112152345	0.01671652	0.04203623	-0.08620018	0.20721863	-0.044088904	-0.037592966	0.11356412	-0.037517276	-0.07651915	0.103013575	0.046239633	-0.07979514	-0.029143186	0.051173676	0.008015575	0.16377491	0.09854078	-0.09974631	-0.013646147	0.09127227	-0.04081901	-0.085243896
U101	-0.021850271	-0.16291848	0.027121615	0.0021493863	0.02933021	0.0600045	0.008800822	0.067601115	-0.075030066	0.22991341	-0.0017848683	0.1321431	-0.010282064	0.07698874	-0.032363024	0.038725447	0.021316072	-0.032402407	0.08294937	0.098476514	-0.08696093	-0.039178997	0.004828548	0.010907656	0.07148324	0.2511655	0.039957035	-0.111478925	0.053054936	-0.03965388	-0.036551893	0.02146362	0.012608132	-0.007936863	0.068879604	-0.00034321635	0.006600396	-0.0772794	0.24046952	-0.047296215	-0.02017856	-0.034555085	-0.022396795	0.15967764	-0.030718526	0.06328318	0.082958564	-0.011380667	-0.045833156	-0.044531375	0.052417044	-0.14671665	-0.051476706	-0.05689413	-0.06615791	-0.067249835	-0.1293977	0.18868984	0.004347734	0.33126575	0.06884229	0.03736954	0.0022373665	-0.33698627	0.030931784	-0.01037178	0.04983335	0.11367405	0.1105931	-0.09751922	-0.11412594	-0.04804631	-0.011919007	0.0952266	-0.25354782	0.07546181	-0.114241175	0.15183303	-0.105819575	-0.0071289004	0.010109846	-0.29348865	0.022095801	-0.05647219	-0.06614282	0.071575016	0.030818457	-0.3604492	0.011856401	0.01687632	0.14721093	0.03189469	0.043488607	0.06441952	-0.18633008	-0.11285162	-0.012022894	0.069179334	0.087795846	0.01598005	0.0065947133	0.17637372	-0.020026263	0.12973939	0.09236779	-0.097325906	0.037331294	0.047133863	-0.09023385	0.19982378	-0.048664294	-0.039554756	0.09003186	-0.06287836	-0.030887337	0.09622908	0.053154014	-0.08034374	-0.03859687	0.03934186	0.00936505	0.15836063	0.10932458	-0.10534997	-0.0313365	0.099268	-0.070438884	-0.10511772
U102	-0.005988416	-0.11851187	-0.042324208	0.003633157	0.0063765026	0.05023485	-0.016719453	0.03678576	-0.05374229	0.09859955	-0.0024149576	-0.022269476	0.0032593692	0.050580807	0.049163707	0.03255021	0.02808502	0.0042679454	0.07550497	0.07499167	0.0004547052	0.027646858	0.006696498	0.028201161	-0.006399866	0.1518311	-0.018592041	-0.03762349	-0.024760243	-0.028590111	0.0031922252	-0.019639796	0.009970967	0.0015056102	-0.007989238	-0.005118396	-0.033473924	-0.053406924	0.11937148	-0.0751748	-0.027077768	-0.008320674	-0.011006135	0.06537207	-0.02072361	0.055918425	0.004218543	-0.03692092	0.0051253596	-0.041228384	0.08963281	-0.0018441787	-0.020811383	-0.054411825	-0.009560879	-0.036717676	-0.05227103	0.09399759	0.001662094	0.15501867	-0.009345265	0.0003959881	0.0023445247	-0.1276313	0.013801688	-0.009703236	0.038337942	0.025293276	0.015806831	-0.055295676	-0.0016989901	-0.022236086	0.00768228	0.021357559	-0.114343904	0.014093846	-0.018768404	0.06711281	-0.017777469	-0.053795125	0.019060079	-0.1588518	0.025014656	-0.011080803	0.027271926	0.010307277	0.022225395	-0.26244208	-0.022790585	0.006871993	0.07445073	-0.032903656	-0.0049203704	0.009933911	-0.042574335	-0.106698066	0.025238162	0.013906788	0.070659205	0.037085183	0.013691513	0.15746687	-0.01219454	0.13887006	0.0067034713	-0.07107047	-0.029323092	0.011428004	-0.032642126	0.11006181	-0.016521093	-0.01209275	0.07440151	0.060226727	-0.121133946	0.060364287	0.013743551	-0.054173034	0.008782333	0.049896907	-0.001853586	0.0681314	-0.0035206256	-0.039971996	0.021981996	0.023099637	0.041871764	0.014348039
U103	-0.018433815	-0.16689634	0.0008380406	0.0057737348	0.023284193	0.058960833	-0.00016209227	0.063651085	-0.07317086	0.20635909	-0.0022333083	0.08535045	-0.008129425	0.07715047	-0.006358045	0.037958555	0.027738705	-0.021085279	0.090640016	0.10114233	-0.061017394	-0.019486807	0.007046342	0.018839173	0.048348587	0.2466129	0.020041436	-0.09232429	0.026244197	-0.040515687	-0.025279252	0.006942453	0.013908668	-0.0074377316	0.050675254	-0.0020649112	-0.006940458	-0.07546007	0.22256057	-0.062900186	-0.022693897	-0.030095976	-0.019928925	0.14248142	-0.032650698	0.06537339	0.061984196	-0.023703692	-0.031050084	-0.044947773	0.0742563	-0.10523337	-0.04358995	-0.056874886	-0.051422764	-0.061975174	-0.113733314	0.17602049	0.003232005	0.30391583	0.04759141	0.027297255	0.00081866013	-0.29540515	0.025292628	-0.011381537	0.047684938	0.09054014	0.08740078	-0.09362372	-0.08590699	-0.040849775	-0.006401709	0.07712281	-0.23134078	0.062133078	-0.0895645	0.14035188	-0.08426569	-0.026881143	0.013596622	-0.28031197	0.027352417	-0.047767315	-0.037264645	0.05434803	0.030488197	-0.37069985	0.0020975922	0.016029174	0.13609372	0.011168208	0.02934029	0.050424505	-0.15082908	-0.123342186	-0.000120695215	0.05326674	0.09711411	0.027030092	0.011941617	0.19102941	-0.02039452	0.15119907	0.0706971	-0.09805285	0.014780162	0.039064918	-0.07726107	0.18393472	-0.04306646	-0.03231424	0.096283466	-0.023434637	-0.071431704	0.09481021	0.041453682	-0.07634936	-0.02506016	0.044570256	0.005509911	0.1438464	0.08012013	-0.08888303	-0.011942874	0.08090571	-0.034717362	-0.06956437
U104	-0.025238626	-0.1337425	0.07671242	0.00586247	0.028356193	0.040816482	0.03627662	0.061802268	-0.055529773	0.24207044	0.0001716842	0.20663671	-0.014061893	0.05045426	-0.08902928	0.040355798	0.0029216052	-0.041659195	0.046656936	0.06876621	-0.12974334	-0.07179416	-0.0012688534	-0.005728049	0.10331611	0.21740001	0.07093652	-0.12621997	0.09925118	-0.035269525	-0.04500365	0.05731112	0.0061176913	-0.016297527	0.09971711	-0.001148073	0.04708278	-0.067548625	0.22744808	-0.0021011173	0.0014354414	-0.041265126	-0.026288912	0.16864164	-0.027070811	0.027123157	0.10767448	0.026418094	-0.07636426	-0.021074446	0.003984634	-0.211047	-0.03767547	-0.017530123	-0.09396587	-0.058126632	-0.13736054	0.16901216	0.0076547083	0.33579233	0.11099651	0.052835375	0.0051815095	-0.3608104	0.036585428	-0.0014835205	0.039985605	0.13878188	0.14464661	-0.08996922	-0.16175982	-0.050103627	-0.026516061	0.11252083	-0.2583741	0.09205394	-0.14282894	0.14821915	-0.12738964	0.047817666	-0.011396995	-0.28344664	-0.0019860044	-0.07469424	-0.120865755	0.09145093	0.028239394	-0.28310886	0.03680095	0.020074347	0.14882638	0.07189101	0.071711205	0.081262745	-0.22061265	-0.06126467	-0.02771533	0.09034821	0.06487514	-0.0039849468	-0.0038207804	0.114646286	-0.011588588	0.05883438	0.13676481	-0.072184004	0.08477655	0.05946092	-0.09290228	0.18998267	-0.047283113	-0.0472501	0.052596565	-0.1360347	0.070615955	0.07081599	0.0563766	-0.06307325	-0.06886759	0.023177093	0.016412275	0.16265222	0.15324642	-0.11108205	-0.07231599	0.12813449	-0.13972433	-0.17201848
U105	-0.015201546	-0.0719399	0.09351695	-0.012433849	0.029912407	0.031108487	0.045901764	0.049750216	-0.04310608	0.18036228	-0.0043279473	0.21187918	-0.0059423996	0.018921526	-0.11841062	0.032749202	-0.013421169	-0.050278377	0.014615774	0.034283407	-0.11787587	-0.07964206	0.0002340097	-0.023410816	0.103414066	0.119682364	0.07576332	-0.11118393	0.11687288	-0.023337746	-0.042182136	0.06691703	-0.00019130274	-0.00200955	0.08984043	-0.0027198866	0.05161009	-0.04981531	0.16083355	0.028548408	0.0068534985	-0.02611009	-0.015313645	0.123326965	-0.007878931	0.0063173645	0.09826346	0.04287535	-0.0782599	-0.019611098	-0.045141254	-0.20811522	-0.03263032	-0.012627691	-0.08352688	-0.04813398	-0.10998219	0.105871096	0.0054938784	0.22072415	0.10570496	0.051080026	0.013722897	-0.26275718	0.03783084	4.646834e-06	0.028563183	0.117949925	0.13514802	-0.05180287	-0.1432689	-0.04184104	-0.03264926	0.10108032	-0.17775951	0.08006303	-0.12960696	0.09845469	-0.109840296	0.06858612	-0.017205177	-0.18029827	-0.013004409	-0.06509136	-0.12416131	0.07901909	0.0253903	-0.11184262	0.036476847	0.013339564	0.10047281	0.08337794	0.07040948	0.076295115	-0.19194736	-0.0054635676	-0.036033176	0.078966305	0.02448611	-0.015976362	-0.011234881	0.013373343	-0.0018057842	-0.02325563	0.11924936	-0.036756996	0.10077399	0.059046935	-0.0846504	0.13494952	-0.051315192	-0.04729473	-0.0070477617	-0.14192015	0.13221778	0.03518682	0.05736368	-0.055279005	-0.06842424	0.017055329	0.013832802	0.12310056	0.13632461	-0.10154922	-0.07833398	0.104638204	-0.1614596	-0.17045075
U106	-0.020565595	-0.15273583	0.056930825	-0.00399999	0.03439549	0.055065125	0.028306052	0.07509517	-0.07184664	0.24696481	-0.004359935	0.18803297	-0.010613109	0.06381251	-0.079088114	0.043391936	0.007842904	-0.04495384	0.067217804	0.08877048	-0.11241662	-0.06325789	0.00759694	-0.001585102	0.093375035	0.23499906	0.058581837	-0.12605077	0.08963832	-0.039824735	-0.04348998	0.04376115	0.009163091	-0.01025365	0.08977513	-0.00074655865	0.029463489	-0.078976184	0.24568611	-0.021783896	-0.009239665	-0.03778082	-0.024313156	0.16927287	-0.030039093	0.049016718	0.10437675	0.010505568	-0.07231553	-0.04027325	0.024298836	-0.19914809	-0.048060186	-0.042714886	-0.08615728	-0.07046092	-0.14350465	0.17996092	0.0035079257	0.3397309	0.09579928	0.050151095	0.007832781	-0.3571199	0.038849365	-0.010006268	0.043542042	0.13194413	0.14220887	-0.095271915	-0.14643876	-0.052894115	-0.024755077	0.11313762	-0.2630117	0.09180038	-0.13921636	0.14940111	-0.12390619	0.022277264	0.0004211152	-0.29474935	0.0140016135	-0.067634106	-0.099724494	0.08726076	0.038107492	-0.30933544	0.022609057	0.018465348	0.1539256	0.05738179	0.064790845	0.07986569	-0.21765797	-0.08766558	-0.023588926	0.085865036	0.0797393	0.00632366	0.002796038	0.13527717	-0.013982512	0.08636478	0.12069647	-0.08591824	0.071577445	0.06010835	-0.10106901	0.20153931	-0.05989048	-0.049849033	0.060191233	-0.10758481	0.03365276	0.081677146	0.061192196	-0.07928137	-0.055897884	0.03905457	0.014456731	0.17031142	0.13801649	-0.12295519	-0.054213412	0.11758569	-0.12057801	-0.1528366
U107	-0.027003054	-0.14774232	0.071184635	0.010020567	0.029683394	0.04313201	0.025530867	0.0643622	-0.062194806	0.25365418	0.0021351895	0.20066854	-0.014341553	0.067388415	-0.07469484	0.03885021	0.00904431	-0.03843655	0.05758961	0.080122456	-0.12636267	-0.06774363	0.00013998896	-0.0010560422	0.10209915	0.24602197	0.06994758	-0.13027264	0.09146786	-0.038264938	-0.04765602	0.048100006	0.0028905359	-0.0187227	0.10174732	-0.000892804	0.038318306	-0.068684444	0.2425685	-0.008606694	-0.0036726627	-0.04535429	-0.027090259	0.17917557	-0.031364463	0.042122044	0.110613935	0.016638722	-0.0689449	-0.024028968	0.012514229	-0.20786786	-0.045470577	-0.027901892	-0.09128222	-0.062299818	-0.14103507	0.18766326	0.003349624	0.36209732	0.10768541	0.049596116	0.0037776283	-0.3814658	0.033847798	-0.0026200507	0.043951735	0.13967706	0.14047712	-0.09736353	-0.16249268	-0.054011054	-0.022008082	0.11735737	-0.27881238	0.09218044	-0.14668784	0.16392884	-0.13017128	0.038673	-0.005463944	-0.304757	0.0038355147	-0.07222339	-0.115240365	0.09191491	0.026435478	-0.3291612	0.030961007	0.01881697	0.15370885	0.066574484	0.065485686	0.078980945	-0.22600305	-0.081101604	-0.026389685	0.0899513	0.07278359	-0.002171277	-0.0017609415	0.14238508	-0.013998678	0.084928766	0.13224319	-0.08547381	0.07309206	0.05501287	-0.094794385	0.20341979	-0.048793472	-0.048503682	0.075523406	-0.13163729	0.04611538	0.082297035	0.058595918	-0.06548877	-0.0637441	0.025421968	0.014613669	0.17105275	0.15698686	-0.11003974	-0.06571995	0.12666267	-0.12926096	-0.16759191
