	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
U1	-0.03361444	0.13533685	0.012277443	-0.124597244	0.5357605	0.022684393	-0.0011546405	0.0015027416	0.28381586	-0.006736785	0.50488585	-0.1884943	0.12852257	-0.037927847	0.016526595	0.004306092	-0.027515283	-0.33789173	-0.081425175	0.0514662	0.07906782	0.23469545	-0.00070615765	0.033299156	0.0641697	0.20279595	0.10984588	-0.017665397	-0.03496612	-0.0042376085	0.07011804	-0.021261483	0.0010996996	-0.0673125	-0.021003373	-0.046993155	0.10782217	-0.10293205	0.0033963858	-0.13177584	-0.08898924	-0.03442085	-0.09731437	-0.25498435	-0.021461893	0.15280625	0.053838354	-0.07707449	0.16721913	-0.1372646	0.26258358	0.037008464	-0.037547402	0.0009777436	0.09973742	0.06942662	-0.09862678	0.067660935	0.006086503	0.06741503	0.041940402	-0.01779163	0.031607248	0.06937826	0.1282491	0.023179904	-0.019218594	0.045099348	0.033802956	0.34519064	0.019065028	0.28110287	0.023069683	-0.2870909	-0.050157182	0.045526166	0.018852564	0.0020589377	-0.05676353	0.083651036	-0.06461091	0.04171497	0.061104186	0.51607805	0.08201813	0.015866023	-0.1031175	0.16772327	-0.027608857	-0.2388194	-0.22085945	0.089281246	-0.16157806	-0.011411092	-0.042040538	-0.011595435	0.0069021927	0.033931494	-0.155711	-0.003214305	-0.011592606	0.042627417	-0.123078555	-0.014240222	0.108513646	-0.025597904	0.30493152	-0.114549	0.14240453	0.043680906	0.07400086	0.06837066	-0.041624837	-0.023727747	-0.011063786	-0.19106118	-0.03265388	-0.17440403	-0.003814491	-0.047949187	-0.23365839	-0.11662915	0.12323703	0.07892996	0.026121156	-0.011909936	0.013781735	0.050088096
U10	0.0066131055	0.021587696	-0.008124245	0.00593682	-0.15194231	-0.00037543755	-0.017099725	-0.011316527	-0.07746418	-0.005941161	-0.26186767	0.03490687	-0.03491938	0.004350935	0.0056874035	-0.005431073	-0.044394344	0.0655151	0.08183227	0.014380803	0.026193565	-0.034521636	0.007360071	0.0030920827	-0.06773798	-0.027128825	-0.08583674	-0.009306155	0.011695823	0.0028890066	-0.017611902	0.010193758	0.00075233565	0.008337066	-0.0078061987	-0.014849798	0.010144622	0.04832166	-0.0042896983	0.009603301	0.0149054555	-0.00081496174	-0.0057447916	0.028688971	-0.009225127	-0.07613079	0.0072171427	0.045377195	-0.0085443575	0.015725702	-0.024865784	-0.015407638	0.007842965	0.024763517	-0.03001626	-0.019775731	0.01592267	0.002625389	-0.012836695	0.028164519	0.0038296285	0.011521445	0.00057479786	-0.012248452	-0.057467517	0.015902855	-0.02522097	-0.021138594	-0.013573898	-0.15267965	-0.05679416	-0.13933466	-0.007870925	0.003397448	0.015224151	-0.012443742	0.0004287418	0.015488999	0.01649682	0.0063899597	-0.005615187	-0.0044407165	-0.20026073	-0.16368483	-0.017920058	0.0030157473	0.009911552	-0.017254516	-0.009176786	0.107214764	0.027504839	-0.021929473	0.014607948	0.008888246	-0.00610154	-0.0020723469	-0.027611474	-0.006029477	0.06955032	0.0014739363	-0.018312069	-0.014757216	0.0048301565	0.0066265776	-0.0008478877	0.0034666643	-0.029163076	-0.14319317	-0.041220915	-0.0022351334	-0.0110530015	-0.027846359	-0.020032596	0.010352248	0.0035512908	0.048082605	0.009715666	0.020268653	-0.0025667946	0.01726128	0.050907675	-0.0039021396	0.015360542	0.038056158	-0.006884917	0.00443985	-0.032274533	-0.007606053
U100	0.025154492	-0.07495652	-0.033297442	0.054253716	-0.03924482	-0.031514846	0.05820882	-0.005105527	-0.14185154	0.0025980833	0.19002885	0.0067734863	0.0065809665	0.01635464	-0.021556262	-0.00859363	0.15381038	0.05837992	-0.12046606	-0.041297246	-0.07113788	-0.059940364	-0.0062054484	-0.02227776	0.105191156	-0.12784502	0.046985246	0.025775611	0.008034078	-0.007932765	-0.014801773	0.0012954513	0.014685861	0.025934193	0.013424084	0.03593175	-0.12884448	0.005035311	-0.0068312823	-0.0011835652	-0.0040136636	0.017223127	0.09529484	0.14972349	-0.018975783	0.07529473	-0.018865151	0.0073141134	-0.102240436	-0.0062450804	-0.16572095	-0.036719482	0.0119322445	0.0031025996	0.0026605553	-0.022858858	0.0031665955	-0.08761613	0.019632148	-0.028670663	-0.046342023	0.04778748	-0.039179765	-0.017035767	0.03813243	-0.028492637	0.09183116	-0.0032423958	0.0070882663	0.06653577	0.090798	0.13632295	-0.0030725382	0.17308967	-0.017419655	-0.041488327	0.0092715155	-0.03912826	-0.013518931	-0.08050935	0.011640789	-0.0067700613	0.37347415	0.039034832	0.0077025103	-0.025161231	0.06465789	-0.017851299	0.0018594291	-0.07202885	0.15347534	-0.036018692	0.12489565	-0.045242626	0.03958397	0.025754934	0.06695025	-0.0034340983	-0.02811022	-0.021714617	0.034032248	0.009627847	0.05485269	-0.008886522	-0.096705414	0.05766512	-0.14448336	0.3485223	-0.007104908	-0.006050192	-0.019356728	-0.023220137	0.04612522	-0.02889798	0.02360509	0.009099657	-0.032240324	0.03223472	0.01896324	-0.014936231	0.04289332	0.025435349	-0.10361205	-0.15572721	-0.011630446	0.037221577	0.052110776	-0.023662478
U101	0.04414999	-0.13773276	-0.054992788	0.10215804	-0.11146981	-0.04614553	0.09040265	-0.0019392653	-0.242301	0.0061314525	0.24999647	0.026471715	0.00028320402	0.026909381	-0.027585741	-0.012295077	0.24434765	0.12402684	-0.18128449	-0.073861554	-0.120720096	-0.112439804	-0.012210481	-0.040831022	0.16393317	-0.22025776	0.06647256	0.04355371	0.0115453955	-0.007980233	-0.032381143	-0.00060416386	0.012360002	0.05012905	0.027499672	0.06367129	-0.2098445	0.022782696	-0.0066361474	0.012415674	0.0057839993	0.030519811	0.16041052	0.25849143	-0.032621495	0.10779876	-0.037068374	0.011022358	-0.1824609	0.0026119568	-0.2864007	-0.054673243	0.024130318	0.0013707491	-0.0025593261	-0.045713127	0.010022106	-0.14505893	0.03246892	-0.056821328	-0.0746508	0.08344858	-0.07076746	-0.029580928	0.05287348	-0.0469913	0.14876938	-0.005325411	0.015851965	0.07645615	0.14269507	0.18764888	-0.0028143898	0.30126438	-0.025638103	-0.06695234	0.010761745	-0.065769926	-0.015948514	-0.13689609	0.025098033	-0.018362775	0.5787428	0.018004827	-0.002854398	-0.044718146	0.1132334	-0.04432553	0.0046697594	-0.09289372	0.25738811	-0.06679004	0.20846312	-0.07275481	0.06450439	0.042581346	0.10708094	-0.001083545	-0.03233269	-0.03184465	0.052113928	0.007602609	0.10230538	-0.013019446	-0.16758387	0.09249712	-0.2602214	0.5598232	-0.027638104	-0.015732918	-0.034049742	-0.046207465	0.083166786	-0.046735987	0.043228477	0.03237536	-0.05071939	0.06988256	0.030045182	-0.022517378	0.08202039	0.051340327	-0.18360008	-0.25372657	-0.013171615	0.06294203	0.0829727	-0.04227885
U102	0.01919368	-0.04798317	-0.021720976	0.032407455	0.015381571	-0.023532422	0.04106186	-0.0031978753	-0.07601672	-0.007474318	0.18025757	-0.004397416	0.017097281	0.0080395015	-0.010523796	-0.008098833	0.10866643	0.014044724	-0.09022289	-0.027887844	-0.047161147	-0.028077707	-0.0011165091	-0.011403688	0.08309166	-0.076765664	0.042208813	0.016332665	0.0056953393	-0.0033259639	-0.006231558	-0.0009292634	0.0061130114	0.018996213	0.008627285	0.019795023	-0.08473566	-0.004659798	-0.006792481	-0.013864543	-0.011904026	0.013405615	0.057999417	0.088543996	-0.014885174	0.06756833	-0.010825812	-0.0019642264	-0.06246313	-0.016270632	-0.10076563	-0.021396603	0.009395242	0.0017549759	0.015255805	-0.010442297	-0.0040686405	-0.059024345	0.016720913	-0.015216168	-0.028903058	0.03206979	-0.021399839	-0.0073183	0.03411008	-0.01981312	0.060431212	0.0011992343	0.0066429526	0.076285295	0.06817184	0.11643659	-0.0017948601	0.1007303	-0.017418962	-0.026938977	0.0073034405	-0.027308177	-0.017105259	-0.051808514	0.006031326	-0.0021295473	0.27479964	0.06565649	0.008747743	-0.01901867	0.03983632	0.0034449329	-0.0006096293	-0.06624919	0.09387706	-0.016534984	0.07498597	-0.03283175	0.02091502	0.0096332375	0.049789388	-0.0016364331	-0.032607835	-0.019819476	0.021485487	0.0080701085	0.03253125	-0.007115126	-0.060861293	0.035028424	-0.082763225	0.244632	0.014834493	-0.006506512	-0.0101921465	-0.012618114	0.030716026	-0.022750571	0.019259118	-0.0078304615	-0.025971029	0.012030143	0.014269557	-0.01278491	0.010706607	0.014862055	-0.0651231	-0.10661065	-0.0057495404	0.026860368	0.040548094	-0.012217343
U103	0.041423377	-0.1353924	-0.055042617	0.087553844	0.0059122117	-0.04859945	0.10485269	0.00076062186	-0.18737215	0.009264629	0.42720145	-0.009111446	0.0284016	0.021360934	-0.03146615	-0.014217658	0.26803732	0.0632462	-0.23063917	-0.077709325	-0.12902278	-0.07623228	-0.01244184	-0.039992526	0.20790711	-0.19588923	0.11704694	0.047350276	0.00512933	-0.009658113	-0.021004122	-0.006728007	0.009975193	0.041333187	0.033425745	0.06693576	-0.2153318	-0.007875506	-0.0052963104	-0.0056239436	-0.00868683	0.03055883	0.15944147	0.23021238	-0.033370435	0.16217202	-0.038032234	-0.014935474	-0.16490205	-0.022004267	-0.2620983	-0.04501445	0.018296216	-0.0079439515	0.021958329	-0.03364843	-0.0077047953	-0.1441929	0.040984217	-0.064377844	-0.079174355	0.079878815	-0.07219586	-0.01856432	0.09331057	-0.055269293	0.16402815	0.009360338	0.023965076	0.18412437	0.17584115	0.28592092	0.0063567497	0.28152114	-0.041751936	-0.06133799	0.013907073	-0.07263251	-0.034289613	-0.13728274	0.026208173	-0.009979112	0.6924321	0.14469965	0.016190244	-0.047327943	0.101312995	-0.017615622	0.0035467765	-0.17223836	0.23403151	-0.051837992	0.19396915	-0.082355306	0.06499607	0.046054687	0.12837449	0.009362864	-0.08362031	-0.035644226	0.060356613	0.020707324	0.08993411	-0.01677179	-0.1617377	0.09560115	-0.22238518	0.6333396	0.007371581	-0.014677172	-0.021061638	-0.030056555	0.0916794	-0.056392297	0.041580096	-0.007871285	-0.059132073	0.047000505	0.032208767	-0.03428862	0.037774008	0.042310875	-0.18347795	-0.27396986	-0.0074834055	0.06718847	0.10597061	-0.033788852
U104	0.044324588	-0.14331266	-0.054036282	0.10183853	-0.09181321	-0.049837872	0.09717284	-0.0013719648	-0.23744604	0.008587935	0.2957478	0.019750377	0.0063522356	0.027814016	-0.03082816	-0.012848206	0.25706586	0.1171472	-0.19812231	-0.07723944	-0.12632564	-0.10742825	-0.012179511	-0.041470833	0.17688726	-0.22143403	0.07839925	0.04549153	0.011971895	-0.0114089325	-0.030500345	-0.0011091302	0.013692907	0.04669951	0.028803594	0.06479266	-0.22005716	0.014533527	-0.0065146517	0.01059125	0.0024295263	0.030597864	0.16604057	0.26186383	-0.031183816	0.12196323	-0.03983918	0.00626899	-0.18427938	-0.00033952313	-0.2902286	-0.055773392	0.023784183	-0.0016582254	0.0026053956	-0.042641487	0.010239562	-0.14713103	0.03494083	-0.060200475	-0.078716695	0.081937395	-0.074382246	-0.02972318	0.06277767	-0.049661577	0.15603167	-0.0046088626	0.016426012	0.09837531	0.15536776	0.21487184	-0.0021325331	0.3073793	-0.027505182	-0.06675874	0.013745615	-0.06891927	-0.022328049	-0.14006548	0.026255788	-0.01767641	0.6220985	0.0427471	0.0038192237	-0.045076348	0.114101134	-0.041805245	0.0045120986	-0.11275681	0.25815234	-0.06548731	0.21018238	-0.07517045	0.067587644	0.045678575	0.11479376	-0.0005284959	-0.04134427	-0.03512347	0.05728661	0.010451604	0.10344461	-0.01345478	-0.16995832	0.094380565	-0.2598925	0.59563446	-0.021243941	-0.01492844	-0.032513566	-0.04406353	0.08633502	-0.04895865	0.042107154	0.02459303	-0.05381756	0.06702981	0.031808227	-0.024506913	0.07740294	0.05271623	-0.18748944	-0.26521894	-0.012150135	0.0645303	0.090650655	-0.04208347
U105	0.02573006	-0.07444741	-0.035699528	0.04093094	0.100883074	-0.0327933	0.076119	-0.0003444641	-0.08313348	0.0049913106	0.4039025	-0.03751725	0.043542527	0.00799909	-0.019349042	-0.01107985	0.18919306	-0.014510704	-0.18211561	-0.047679406	-0.080323935	-0.01644502	-0.009533467	-0.02089807	0.16310383	-0.10481216	0.105608106	0.033105705	-0.0019470174	-0.0073489635	-0.0017105932	-0.009543473	0.0061944686	0.020138286	0.020783592	0.0421529	-0.138291	-0.022959782	-0.0042966325	-0.026678776	-0.021126721	0.017375905	0.09775292	0.12302783	-0.02620276	0.14617182	-0.017485082	-0.02458103	-0.089592285	-0.04145022	-0.14478274	-0.024812017	0.0072366768	-0.004975331	0.034131367	-0.011406579	-0.025838057	-0.094304785	0.032884266	-0.03687104	-0.051141966	0.055735547	-0.047839165	-0.00028626167	0.09063398	-0.036831226	0.1151545	0.016604764	0.021543879	0.19764791	0.13239199	0.2582755	0.009519386	0.15205568	-0.03949995	-0.03721662	0.010741958	-0.051570263	-0.033847537	-0.086480916	0.009826632	-0.0010192178	0.5150755	0.19734985	0.02488835	-0.03460765	0.055277806	0.017193412	-0.0010332786	-0.16724722	0.13193789	-0.023679957	0.112884894	-0.06194595	0.039809726	0.028462658	0.09517469	0.0150833465	-0.089546874	-0.027995277	0.042449858	0.022612717	0.042847823	-0.015322544	-0.097730316	0.065231435	-0.10699619	0.4423448	0.030234747	-0.0055240868	-0.0012715985	-0.009764915	0.06118443	-0.046403177	0.027390158	-0.040125154	-0.048743665	0.0029109437	0.022973184	-0.031164555	-0.015474796	0.013699079	-0.11150134	-0.18480854	-0.0026566596	0.045483217	0.07908909	-0.013569171
U106	0.030123137	-0.083432525	-0.033871293	0.06084927	-0.017118996	-0.028822199	0.06622305	-0.0035120922	-0.14784917	0.0035307661	0.24394105	-0.0015059002	0.01764671	0.014239763	-0.016273454	-0.006253117	0.17811617	0.051611595	-0.14035721	-0.045026653	-0.07829031	-0.056347284	-0.009791264	-0.024279723	0.12520105	-0.13998866	0.05864979	0.030484037	0.0028515644	-0.0065448866	-0.015818132	-0.005793383	0.010572843	0.028841492	0.0146101015	0.039393105	-0.13929275	0.004282674	-0.006841454	-0.010635334	-0.0076099024	0.016876763	0.10252942	0.15966223	-0.026883127	0.094381355	-0.018198853	0.00069561554	-0.111717105	-0.015330604	-0.18160333	-0.03393911	0.014337749	0.005584926	0.011191683	-0.025891004	-0.0074199936	-0.09718121	0.021245861	-0.028199539	-0.049578656	0.059539568	-0.045926355	-0.014301877	0.052316584	-0.028910384	0.1047874	-0.0020411317	0.014412917	0.09250134	0.1084237	0.17091654	-0.0010691442	0.18265948	-0.024556698	-0.041502684	0.010124566	-0.04721284	-0.014522435	-0.09111939	0.0066444776	-0.008721175	0.43107477	0.07391055	0.0070466287	-0.03576234	0.0710128	-0.013625966	0.0029034794	-0.09234559	0.1649114	-0.038512606	0.13606322	-0.056646116	0.04161333	0.027950453	0.07688764	0.0030253886	-0.03779095	-0.028152294	0.03622537	0.010112955	0.060579885	-0.011843203	-0.10747828	0.06320066	-0.15871605	0.39727888	-0.006428265	-0.006514009	-0.015645804	-0.027450345	0.056754343	-0.03757052	0.033319846	0.0017294566	-0.042001795	0.02696101	0.021952918	-0.019014861	0.03226262	0.020098498	-0.11638494	-0.17719775	-0.009321602	0.04370234	0.06013719	-0.024423707
U107	0.028750451	-0.08091694	-0.032239027	0.05625609	-0.010790035	-0.033420905	0.065555215	-0.0023541932	-0.13036294	0.004516242	0.24675699	-0.0045750556	0.01746718	0.014616345	-0.020768523	-0.007684857	0.16949123	0.046363838	-0.13698384	-0.044572085	-0.07809483	-0.05058987	-0.008475238	-0.023152964	0.124207176	-0.12796502	0.061638474	0.02936018	0.005953833	-0.0070913997	-0.015514921	-0.0021861498	0.009344433	0.024896167	0.016287971	0.036973737	-0.13607141	-0.00197565	-0.0054423143	-0.006963057	-0.008531172	0.017888121	0.0976898	0.15078162	-0.020804267	0.095627785	-0.0205222	-0.00086283777	-0.10586309	-0.013344951	-0.16962369	-0.033061348	0.013398923	0.0012762644	0.012649097	-0.021149013	-0.0033148942	-0.09042575	0.022760632	-0.03364847	-0.049407218	0.050991543	-0.043349355	-0.014577368	0.05058961	-0.03008464	0.10118854	0.00069433125	0.00874342	0.09831512	0.10675142	0.16920343	-0.0013094696	0.17669381	-0.023856247	-0.03872649	0.010754762	-0.044970963	-0.01988236	-0.08684918	0.011893461	-0.007105885	0.42163506	0.07508503	0.012656234	-0.031517617	0.066555314	-0.010924188	0.0016575775	-0.09592654	0.1514377	-0.034212317	0.12567866	-0.051112965	0.037488308	0.028755212	0.077158175	0.002744441	-0.040855702	-0.024253178	0.0378605	0.011724598	0.055854026	-0.011076814	-0.099636644	0.058283065	-0.14462984	0.3877347	0.0018105675	-0.007829144	-0.015470138	-0.021369789	0.05392371	-0.035687268	0.030084597	-0.00048781396	-0.037951995	0.02831149	0.018874388	-0.019028995	0.031229228	0.025215443	-0.11117918	-0.167856	-0.008204062	0.03922676	0.061745852	-0.022758942
