from_id	to_id	weight
U10	U517	1
U228	U30	1
U10	U75	1
U16	U201	1
U10	U172	1
U23	U633	1
U46	U16	1
U16	U305	1
U16	U35	1
U1278	U341	1
U16	U26	1
U228	U5	1
U8	U64	1
U23	U231	1
U16	U517	1
U10	U5	1
U375	U30	1
U16	U46	1
U793	U341	1
U63	U5	1
U5	U63	1
U5	U10	1
U231	U13	1
U3	U1630	1
U517	U1116	1
U1096	U2	1
U10	U377	1
U10	U1116	1
U10	U122	1
U23	U188	1
U3	U25	1
U3	U16	1
U10	U1684	1
U1612	U1096	1
U10	U724	1
U10	U184	1
U271	U16	1
U81	U26	1
U8	U141	1
U10	U450	1
U16	U265	1
U16	U81	1
U16	U1815	1
U1815	U16	1
U16	U1116	1
U340	U1	1
U1116	U517	1
U16	U271	1
U8	U107	1
U23	U93	1
U8	U485	1
U8	U461	1
U10	U128	1
U26	U81	1
U517	U16	1
U341	U793	1
U23	U375	1
U8	U724	1
U1187	U404	1
U22	U155	1
U8	U784	1
U8	U757	1
U8	U961	1
U611	U1963	1
U8	U1211	1
U1963	U611	1
U8	U934	1
U8	U280	1
U351	U7	1
U11	U564	1
U8	U1259	1
U1116	U16	1
U81	U16	1
U265	U16	1
U8	U1116	1
U404	U1187	1
U8	U513	1
U75	U10	1
U37	U10	1
U16	U10	1
U88	U10	1
U84	U10	1
U172	U10	1
U40	U10	1
U48	U10	1
U517	U10	1
U81	U10	1
U188	U10	1
U1	U1361	1
U1	U1815	1
U8	U1684	1
U439	U485	1
U231	U23	1
U8	U202	1
U23	U190	1
U1483	U11	1
U325	U11	1
U10	U48	1
U30	U184	1
U30	U659	1
U10	U565	1
U10	U16	1
U10	U37	1
U30	U375	1
U931	U184	1
U1096	U1612	1
U30	U2013	1
U8	U1499	1
U8	U249	1
U1	U292	1
U598	U508	1
U341	U1278	1
U8	U269	1
U1	U167	1
U1630	U3	1
U1612	U3	1
U10	U284	1
U375	U437	1
U437	U375	1
U375	U23	1
U188	U23	1
U14	U21	1
U11	U194	1
U486	U1148	1
U201	U16	1
U8	U827	1
U1148	U486	1
U8	U508	1
U8	U495	1
U1555	U11	1
U8	U501	1
U8	U792	1
U8	U723	1
U10	U118	1
U10	U40	1
U351	U676	1
U676	U351	1
U93	U23	1
U26	U16	1
U1095	U1116	1
U117	U589	1
U177	U209	1
U171	U402	1
U158	U39	1
U1957	U99	1
U84	U508	1
U63	U28	1
U15	U851	1
U231	U351	1
U15	U126	1
U201	U93	1
U351	U231	1
U109	U24	1
U228	U184	1
U228	U454	1
U650	U130	1
U231	U85	1
U228	U235	1
U851	U15	1
U228	U424	1
U676	U45	1
U152	U98	1
U517	U98	1
U129	U1124	1
U111	U116	1
U1124	U129	1
U98	U152	1
U63	U317	1
U98	U517	1
U375	U98	1
U754	U576	1
U437	U202	1
U63	U202	1
U319	U98	1
U63	U589	1
U404	U98	1
U341	U98	1
U28	U446	1
U115	U39	1
U404	U39	1
U341	U39	1
U1595	U98	1
U28	U63	1
U116	U1733	1
U158	U386	1
U40	U37	1
U351	U116	1
U188	U1427	1
U236	U46	1
U909	U46	1
U72	U46	1
U93	U1990	1
U93	U201	1
U263	U1153	1
U93	U213	1
U93	U208	1
U112	U589	1
U65	U263	1
U93	U375	1
U650	U270	1
U194	U138	1
U163	U598	1
U138	U194	1
U755	U93	1
U93	U698	1
U698	U93	1
U375	U93	1
U93	U755	1
U208	U93	1
U213	U93	1
U1427	U188	1
U755	U271	1
U46	U98	1
U598	U175	1
U386	U158	1
U236	U116	1
U126	U15	1
U116	U37	1
U270	U650	1
U1733	U116	1
U45	U676	1
U228	U89	1
U565	U152	1
U270	U589	1
U40	U133	1
U40	U33	1
U19	U75	1
U21	U321	1
U24	U109	1
U89	U184	1
U95	U98	1
U98	U95	1
U713	U133	1
U28	U133	1
U33	U40	1
U270	U472	1
U46	U72	1
U1990	U93	1
U744	U236	1
U201	U48	1
U755	U48	1
U375	U48	1
U98	U1116	1
U48	U127	1
U1483	U69	1
U1733	U236	1
U98	U404	1
U98	U341	1
U355	U1630	1
U48	U208	1
U48	U201	1
U1630	U355	1
U598	U367	1
U48	U755	1
U48	U375	1
U19	U12	1
U98	U12	1
U402	U48	1
U171	U48	1
U798	U35	1
U35	U798	1
U75	U167	1
U28	U25	1
U145	U451	1
U48	U25	1
U167	U75	1
U163	U12	1
U380	U219	1
U75	U25	1
U265	U386	1
U100	U1155	1
U100	U184	1
U81	U140	1
U25	U28	1
U25	U48	1
U380	U52	1
U52	U380	1
U25	U132	1
U386	U265	1
U84	U12	1
U355	U1574	1
U754	U1228	1
U271	U755	1
U598	U63	1
U12	U116	1
U39	U341	1
U12	U284	1
U39	U404	1
U133	U12	1
U98	U1595	1
U39	U115	1
U12	U163	1
U63	U228	1
U236	U744	1
U39	U1085	1
U194	U22	1
U40	U98	1
U52	U93	1
U54	U40	1
U133	U115	1
U98	U40	1
U958	U1297	1
U98	U16	1
U89	U262	1
U437	U16	1
U8	U3	1
U213	U98	1
U254	U16	1
U24	U1062	1
U16	U254	1
U24	U319	1
U16	U437	1
U8	U41	1
U16	U620	1
U1	U144	1
U1	U1085	1
U39	U386	1
U98	U75	1
U98	U121	1
U39	U141	1
U194	U152	1
U98	U2	1
U380	U93	1
U899	U93	1
U98	U45	1
U502	U31	1
U39	U1727	1
U611	U872	1
U35	U142	1
U3	U98	1
U142	U35	1
U333	U285	1
U75	U93	1
U93	U52	1
U118	U10	1
U514	U964	1
U121	U98	1
U16	U98	1
U98	U271	1
U63	U112	1
U98	U285	1
U195	U404	1
U964	U514	1
U98	U46	1
U98	U247	1
U404	U195	1
U3	U238	1
U219	U380	1
U98	U111	1
U1205	U171	1
U1	U1547	1
U141	U39	1
U15	U285	1
U561	U130	1
U1485	U1266	1
U1266	U1485	1
U231	U118	1
U1727	U39	1
U111	U98	1
U23	U16	1
U116	U98	1
U565	U16	1
U247	U98	1
U319	U24	1
U271	U98	1
U1547	U24	1
U657	U208	1
U171	U1205	1
U146	U11	1
U133	U39	1
U1364	U1726	1
U1726	U1364	1
U98	U3	1
U127	U335	1
U213	U3	1
U116	U41	1
U93	U2	1
U335	U127	1
U9	U290	1
U2	U98	1
U208	U657	1
U1364	U24	1
U98	U755	1
U11	U691	1
U386	U39	1
U98	U676	1
U40	U54	1
U2	U93	1
U827	U48	1
U1085	U39	1
U1085	U48	1
U8	U1522	1
U8	U984	1
U8	U1161	1
U8	U987	1
U238	U3	1
U45	U98	1
U8	U58	1
U8	U290	1
U98	U213	1
U48	U827	1
U116	U285	1
U142	U129	1
U142	U88	1
U24	U1364	1
U75	U98	1
U24	U208	1
U48	U1085	1
U116	U163	1
U676	U98	1
U98	U290	1
U755	U98	1
U88	U142	1
