	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
U1	0.09177481	0.6664332	-0.12867004	-0.5749695	0.57512647	-0.32384342	-0.19327532	-0.058323465	-0.101509586	0.3438246	0.24726865	0.17788702	-0.34461555	0.25036812	0.3734941	-0.3566048	0.11292309	0.7440462	-0.36231282	0.0230162	0.16396889	-0.1920484	0.17719854	-0.053355265	0.020390907	0.018202107	-0.4650233	-0.030742548	-0.19435342	0.1512785	-0.16413805	0.50077367	-0.2517853	0.23987052	0.0049862135	0.114116564	-0.3071895	0.0071103144	0.29898924	0.49883842	-0.11336424	-0.58062655	0.80857813	0.11082644	0.36041686	-0.04281159	0.07147398	0.60462147	-0.04585979	-0.6796162	0.5692745	-0.2566099	-0.07572873	-0.12965342	0.19060257	-0.13944918	-0.25248176	-0.27186242	-0.44383198	0.33264923	0.41323024	0.18908621	-0.5634365	-0.1541884	0.020437527	-0.11442944	0.012758827	0.21273361	-0.09697898	0.21499698	0.061777096	0.2681825	0.54559106	0.15134631	-1.0472528	-0.27064505	0.22807726	-0.21121743	-0.31023622	-0.19904628	0.3830184	0.011117972	-0.26591018	0.05042351	-0.1864283	0.21901801	0.43293506	-0.03148582	0.15240325	0.14013807	-0.06336175	0.05910213	-0.21884444	-0.6145665	-0.19836238	0.2893891	0.025599776	-0.050754793	0.23258364	-0.6406728	0.73126763	0.026680175	-0.41895097	0.17686786	-0.06752927	0.12609042	-0.7408511	0.10475563	0.3618653	0.65812767	0.009397347	0.122641884	0.4674885	0.0283355	0.41479206	-0.09670129	0.072420835	0.14887735	0.2124761	0.6137831	0.045261938	-0.53921264	0.39976305	-0.2384599	-0.38988	0.004882038	0.34770808	0.6395138
U10	0.14060298	0.9089086	-0.17314339	-0.8033591	0.76238745	-0.39772257	-0.25049365	-0.054219436	-0.14813006	0.45062461	0.32700917	0.23748879	-0.47883472	0.3148568	0.50938374	-0.47872174	0.16084577	1.014031	-0.5163674	0.05039388	0.2152426	-0.24424812	0.2229703	-0.04030961	0.058815368	-0.020493265	-0.6556761	-0.03482103	-0.26125318	0.18937051	-0.2448744	0.6816565	-0.32331246	0.3283793	0.019071104	0.16977918	-0.43242842	0.028457096	0.38390878	0.67981803	-0.14796105	-0.799918	1.1021849	0.15805063	0.468225	-0.034990914	0.11094076	0.80722314	-0.040664732	-0.9339127	0.7889887	-0.35459438	-0.10278179	-0.13445227	0.23857355	-0.1982745	-0.33336744	-0.35899046	-0.6024977	0.4418564	0.5482821	0.25882107	-0.783932	-0.21813408	0.03351058	-0.17926213	0.014705859	0.2594825	-0.120530926	0.29060942	0.09369175	0.3497939	0.72913074	0.20438576	-1.4041194	-0.33146036	0.27822357	-0.27758464	-0.41077328	-0.28098282	0.5341928	0.020347152	-0.3458692	0.05554259	-0.2778486	0.28956723	0.5477227	-0.058708772	0.2178775	0.20609732	-0.103422806	0.050049365	-0.2938249	-0.830396	-0.23757878	0.40437683	0.03500679	-0.06452979	0.3144618	-0.878119	0.9812165	0.04316166	-0.54284596	0.25635546	-0.06105437	0.13781117	-0.9881399	0.119507074	0.47540194	0.8876649	0.0111786565	0.1578002	0.65766144	0.016359132	0.554392	-0.14618616	0.06176032	0.19969305	0.26471782	0.83224374	0.05875192	-0.7230738	0.5326774	-0.32126823	-0.53532547	-0.0186756	0.49241674	0.8838035
U100	0.009796147	0.22268216	-0.057396635	-0.17013103	0.22610264	-0.16523746	-0.082000956	-0.033280194	-0.005674021	0.117368646	0.1274728	0.044229213	-0.10282326	0.087969795	0.105152875	-0.120302774	0.0290528	0.2806105	-0.13499683	-0.037647102	0.06892655	-0.05428049	0.06353048	-0.04317907	-0.0293969	0.056251463	-0.14106806	-0.050247956	-0.07132715	0.0580171	-0.037100412	0.24650183	-0.12225349	0.06925535	-0.0071750144	0.033713117	-0.068182506	0.0071160477	0.11849615	0.15777905	-0.044953976	-0.24162008	0.3369546	0.041031215	0.18171613	-0.018585263	-0.009670321	0.18312712	-0.005749544	-0.2574658	0.18594618	-0.079520844	0.012098885	-0.09168564	0.07153784	-0.08834832	-0.09249407	-0.092256606	-0.17093544	0.10726998	0.16636093	0.04026546	-0.18118775	-0.035575725	0.01816285	-0.024267195	-0.022681272	0.10235446	-0.026091933	0.08411538	0.02412925	0.10650022	0.16397603	0.08335398	-0.46679485	-0.1072131	0.111646086	-0.12289159	-0.13307089	-0.095692866	0.0980494	-0.051941562	-0.123710625	0.029099377	-0.069694564	0.073302366	0.18026707	0.03658399	0.059827905	0.02651882	0.00080186315	0.045788776	-0.12253075	-0.24300607	-0.045359913	0.07896831	0.0048160907	-0.024393234	0.059632722	-0.23945464	0.28031495	-0.0008668497	-0.19291216	0.022115512	-0.057674862	0.07740885	-0.25355747	0.07668804	0.1567638	0.26951435	0.037128996	0.016129708	0.19590335	0.042392295	0.15444377	-0.047876023	0.07911481	0.04634458	0.108219646	0.23247804	0.035349187	-0.18836746	0.114208266	-0.061484456	-0.14731757	0.023378244	0.09693507	0.22022863
U1000	-0.031388775	-0.037085667	-0.0028568767	0.04719969	-0.008081749	-0.011432311	0.012741119	-0.017795514	0.0011560314	-0.026633212	0.008569942	0.0328612	0.013825553	0.009346873	-0.011970293	0.018413164	-0.020104025	-0.01563368	0.007123311	0.010142495	-0.013104699	0.016841387	-0.031105861	-0.00065913424	-0.03570452	0.014358173	0.01940966	-0.020366065	0.0032638866	-0.011318419	0.036868628	-0.0078045167	-0.01573883	-0.012548914	-0.014696713	-0.0051417327	0.009650635	0.017452963	-0.0141453855	-0.036675937	-0.0045712497	0.0028161602	-0.019279022	-0.004269586	-0.012339214	0.0040993895	-0.024071816	-0.042333335	0.01414892	0.005865964	-0.008383113	0.025670772	0.012129617	-0.012435481	-0.004704042	-0.00818363	0.03688325	0.0013373162	0.02050561	-0.0027252212	-0.026538055	-0.029216776	0.032439526	0.019434057	-0.005471294	0.00013455655	-0.010486136	0.00030487403	-0.0013872758	-0.001102013	0.008909088	-0.014287446	-0.029088443	0.0044244216	-0.0015970152	-0.0033196271	0.01694994	-0.017109368	-0.0016153911	0.021830825	-0.030885475	-0.013645159	0.0094606085	-0.012605412	0.014938647	-0.00993001	-0.008222701	0.020714661	0.0025236579	0.00097176223	-0.0048591187	0.013517198	-0.012027553	0.03578864	0.030627988	-0.040821835	0.0056187143	-0.016251111	-0.01905642	0.011018989	-0.0039402153	-0.013145337	-0.005286351	-0.018563518	-0.018811373	0.00018907804	0.037334625	0.028763795	0.0067004086	0.0035303868	0.007403682	-0.027317794	0.0038599484	0.013522237	-0.013260251	0.0023307484	0.004466176	-0.0022392406	-0.00834695	0.0026136637	-0.0053179436	0.013346423	-0.039352186	-0.0038044062	0.0014249415	0.020141546	-0.018775381	-0.025935024
U1001	0.0011667556	-0.091425285	0.03290113	0.059380993	-0.09322397	0.050134066	0.048665952	-0.008013269	-0.008801766	-0.05853923	-0.047289964	0.005137308	0.037035838	-0.023535622	-0.018616442	0.016354822	-0.016659144	-0.10981122	0.057337776	0.030137826	-0.03045701	0.024812734	-0.01557285	0.0116342185	0.004638941	-0.0070766695	0.05069548	0.049208447	0.012242453	-0.028879398	0.022616569	-0.08462086	0.043122686	-0.02010322	0.0061490345	-0.0010021683	-0.00077632535	-0.0037319427	-0.04000617	-0.060842972	-0.008289373	0.10201907	-0.14518647	-0.02142699	-0.07049961	0.011581217	0.0037404073	-0.04478842	0.0054669892	0.09814848	-0.063500084	0.034210388	-0.050032657	0.04280319	-0.009691795	0.055565123	0.03529407	0.049404204	0.062000647	-0.032203298	-0.0705578	-0.03557933	0.0326461	0.01910999	-0.010422064	-0.00016990397	0.017731505	-0.009616851	0.012406028	-0.039504126	-0.011617707	-0.04754927	-0.036730755	-0.022107182	0.19324633	0.014709555	-0.035334915	0.054366186	0.025599252	0.04365031	-0.059854142	0.01787306	0.042247705	-0.02734311	0.016735645	-0.03299082	-0.06291637	-0.0072376207	-0.010607475	-0.005199687	-0.011307476	-0.022984214	0.051149312	0.0785508	-0.008782621	-0.049187258	-0.021838982	0.019308772	-0.026651975	0.10822007	-0.09769057	-0.0033613618	0.09998281	-0.027777532	0.0057220017	-0.012059098	0.094347656	-0.029583335	-0.07087303	-0.09960195	-0.028313242	0.006580461	-0.05576644	-0.025186226	-0.066003166	0.025579583	-0.018947927	-0.017331164	-0.02226118	-0.096440904	-0.0047411495	0.055128258	-0.022312257	-0.0049002524	0.056017946	-0.015518397	-0.028373517	-0.08992433
U1002	0.040790018	0.1499037	-0.008228887	-0.13742273	0.108170584	-0.025647314	-0.027414594	-0.0081123	-0.03992333	0.0631619	0.019499559	0.039432522	-0.082109675	0.047358543	0.077387944	-0.059878685	0.032297015	0.15153548	-0.07894547	0.019159252	0.03173945	-0.045752555	0.020902641	0.012785055	0.025988277	-0.023729954	-0.11184233	0.019699724	-0.040442865	0.013730135	-0.048042186	0.07476933	-0.02717296	0.054016672	0.015625032	0.02635388	-0.07880494	0.00089402497	0.048356023	0.12287727	-0.009532563	-0.11555952	0.15943423	0.035552975	0.04292717	-0.00946321	0.036093157	0.12805851	-0.013884839	-0.1346643	0.13502003	-0.06656063	-0.03434149	0.006961806	0.028084183	-0.008148689	-0.03639349	-0.05012414	-0.08383446	0.06566902	0.075922415	0.05423818	-0.107445806	-0.042304672	0.010088158	-0.0401648	0.003151952	0.023593523	-0.011039637	0.03948667	0.015877135	0.049511123	0.114283204	0.016884878	-0.1875998	-0.03675021	0.015243109	-0.018554062	-0.054261073	-0.03720458	0.08462864	0.019344121	-0.03300956	0.00847587	-0.043050885	0.035595875	0.055592597	-0.034031913	0.025871223	0.04545439	-0.030060047	-0.016999159	-0.023605883	-0.10843939	-0.04444295	0.08244979	0.02074476	-0.005840975	0.049506415	-0.12970902	0.13392808	0.015293159	-0.04775316	0.058160786	0.016196802	0.0006936351	-0.1601383	-0.009680046	0.05521468	0.12426993	-0.020348707	0.036521446	0.10316312	-0.020962294	0.07235781	-0.023034643	-0.02807293	0.039510988	0.028900677	0.10531239	0.0019709233	-0.111435235	0.097211935	-0.0523777	-0.08753061	-0.013809797	0.080546655	0.14791134
U1003	-0.029580219	-0.09043614	-0.009125438	0.10337388	-0.033244174	-0.029597213	0.003956676	-0.030420063	0.038753524	-0.05091414	0.022164825	-0.009677902	0.043586954	-0.028943134	-0.057787202	0.031706594	-0.041573267	-0.05576651	0.021417473	-0.037469752	-0.015998147	0.03371008	-0.021348711	-0.018359099	-0.03885312	0.040438913	0.061412178	-0.049047694	0.020279493	-0.025709014	0.04889098	0.034452014	-0.023021713	-0.028942067	-0.024824373	-0.00023671053	0.058593787	0.016997986	-0.020450752	-0.08684061	-0.0038283225	0.029695261	-0.03811121	-0.005884692	0.01684975	0.006498432	-0.05670654	-0.08703763	0.04616261	0.043646507	-0.066602804	0.06579639	0.055483274	-0.014680862	-0.008891864	-0.04560212	0.038170144	0.046862513	0.032137576	-0.03039987	-0.030484723	-0.053592734	0.070615545	0.031674713	-0.010569675	0.015567331	-0.024145344	0.0058563864	0.031520654	-0.008600769	0.005899613	-0.022208642	-0.09939372	0.009412734	-0.011299133	0.026370337	0.023495872	-0.022485714	0.0060414956	0.009929481	-0.08162598	-0.059084725	-0.010705393	-0.013957992	0.01617167	-0.033322148	-0.018757552	0.050301556	-0.0054375394	-0.03421449	0.039349675	0.03763944	-0.034680683	0.041750137	0.05131215	-0.06413073	-0.009530878	0.014017444	-0.052360944	0.02141669	-0.051513307	-0.018304683	-0.022463098	-0.056976818	-0.026312945	0.03130053	0.078685805	0.036405303	-0.0050955284	-0.015858645	0.04699955	-0.026153209	0.018594006	0.03456281	-0.03344726	0.008517591	0.061721824	-0.018466633	0.01877153	-0.032657485	0.01094475	0.04947495	-0.09052437	0.021919154	0.011363102	0.03243487	-0.059776265	-0.065148294
U1004	0.034952357	0.16194241	-0.009253247	-0.14978248	0.11635569	-0.03773182	-0.027949963	0.002779558	-0.03578606	0.06860446	0.0349769	0.04321974	-0.09223208	0.05296556	0.092940815	-0.063594736	0.030745352	0.16620255	-0.08421245	0.02688317	0.035583034	-0.047748186	0.020910814	0.013086565	0.01962911	-0.025909457	-0.11990182	0.010880488	-0.036650155	0.011946358	-0.052174915	0.086497515	-0.037272967	0.06081482	0.017943256	0.024006985	-0.08578072	-0.00522477	0.040952746	0.1300314	-0.007283628	-0.1259376	0.17440674	0.03621385	0.05894798	-0.00433723	0.033724032	0.13072233	-0.010634355	-0.15418538	0.14626242	-0.06987531	-0.030364968	0.0007580058	0.03305806	-0.015172835	-0.038788613	-0.06979709	-0.088756226	0.0679676	0.08218154	0.06461424	-0.12151496	-0.04433368	0.014304622	-0.03913303	0.0020934332	0.02226594	-0.013352321	0.039960053	0.01900654	0.046824377	0.12546133	0.017854817	-0.20613141	-0.046649538	0.014113933	-0.025835507	-0.0565632	-0.04145652	0.09974414	0.028207185	-0.034530632	0.0014017877	-0.042905085	0.045261253	0.07097672	-0.02955751	0.030590031	0.044234414	-0.0424657	-0.007038893	-0.033088006	-0.121044345	-0.03729192	0.08086933	0.030166237	-0.008483303	0.051918495	-0.14425205	0.15045592	0.021152584	-0.061224874	0.05973057	0.009351042	0.0011505419	-0.16513856	-0.0036130687	0.061752744	0.13515368	-0.023424923	0.03540883	0.10223366	-0.015872205	0.0924073	-0.025380751	-0.026049463	0.04525716	0.028480733	0.1294318	0.0022996922	-0.12158552	0.09865768	-0.053843	-0.09603395	-0.018638602	0.09702424	0.15090714
U1005	-0.011137745	-0.057960168	0.016525732	0.03233725	-0.051937055	0.057710916	0.035084188	0.004649433	-0.009148631	-0.03423622	-0.049757216	0.011505378	0.02783285	-0.019821523	-0.0032686717	0.05144942	0.0004680396	-0.056501914	0.05339563	0.023625422	-0.0054654703	0.0121009275	-0.013338712	0.004632804	-0.0013354106	-0.003813613	0.03134514	0.013776579	0.0047303895	-0.029874818	0.0041054846	-0.075412065	0.05168759	-0.013168615	0.0039606052	-0.0069994004	-0.0053872657	-0.02061889	-0.043413498	-0.043236464	-0.013288414	0.07895215	-0.11436283	0.0035181777	-0.07336874	0.013707613	0.007485002	-0.02917707	-0.007670327	0.08348405	-0.028246488	0.029707361	-0.012152635	0.045172475	-0.00096519943	0.05017302	0.016248541	0.029225113	0.05323121	-0.024947038	-0.037925877	-0.017201748	0.032294374	0.0053110444	-0.009076508	0.021330755	0.0174021	0.0018086154	-0.0046640034	-0.04009419	-0.00672389	-0.035273835	-0.026053568	-0.012320951	0.16408321	0.018562607	-0.04161179	0.03453306	0.05306729	0.041058738	-0.003753622	0.038615845	0.068944804	-0.030115249	0.026038911	0.0041827	-0.05052155	-0.01056052	-0.011243195	0.0005427876	-0.0026024869	-0.010166381	0.045782957	0.0764817	-0.00580738	-0.047238693	-0.0030741906	0.0022120003	-0.0063897045	0.057959266	-0.07878952	-0.008638497	0.07301321	0.027528735	0.01565668	-0.018890675	0.061593518	-0.031381786	-0.04996978	-0.08654668	-0.027423464	0.0062246136	-0.053216696	-0.00716908	-0.031892553	0.01170304	-0.024289442	-0.02245621	-0.008684882	-0.071519814	-0.019047141	0.042865258	-0.019149315	0.0038212773	0.037224848	-0.015221328	-0.0020878555	-0.06971388
U1006	-0.034366112	-0.098492615	0.016659694	0.09611541	-0.067290075	0.011429853	0.011645079	-0.0109016	0.028435273	-0.04326419	-0.010290974	-0.011970639	0.055909142	-0.04990631	-0.0742571	0.08257873	-0.013202784	-0.04891925	0.050573885	-0.04781235	-0.0076148133	0.039533425	-0.028744675	0.0026383954	-0.029709825	0.01642693	0.04342126	-0.049040277	0.035081305	-0.024239931	0.04786398	0.0053922497	0.014234942	-0.03289975	-0.019344125	-0.016495284	0.04990443	0.013163604	-0.063350074	-0.09258279	-0.016890315	0.052064493	-0.0874368	-0.017679647	-0.028925728	0.003876468	-0.023978537	-0.12764761	0.04408549	0.07665096	-0.0809363	0.06567572	0.04096198	-0.006561221	-0.034124993	-0.030669965	0.047706142	0.047910757	0.058087084	-0.050028827	-0.055142723	-0.050077133	0.087403715	0.030144041	-0.005429062	0.030475717	-0.01739853	-0.0148179075	0.018232433	-0.009444931	-0.016476743	-0.046906635	-0.12759897	0.0062512294	0.0481966	0.037456803	0.0010007452	0.011660426	0.03658038	0.035977334	-0.066195175	-0.042456858	0.011097515	0.0031591384	0.010027265	-0.04259097	-0.057246026	0.05986418	-0.034925103	-0.02230648	0.031455755	-0.0040890547	-0.01583805	0.054185532	0.08277367	-0.102992855	-0.014668351	0.011160952	-0.045154475	0.049456365	-0.10894056	-0.03865023	0.029369254	-0.038481496	-0.020646585	-0.013347225	0.12924232	0.009616461	-0.036969215	-0.07609372	0.038174435	-0.033933245	-0.010909835	0.029240027	-0.07029059	0.010235114	0.0058950186	-0.02480736	-0.0018389389	-0.06713765	-0.005398872	0.087856546	-0.10859109	0.0343106	0.05022368	0.016095888	-0.061052445	-0.1062588
