	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
U1	0.103658445	0.062051438	-0.113764636	0.06818557	-0.1926603	-0.14101757	0.30822614	-0.32325593	0.068778545	0.13193719	-0.17739597	0.14871216	0.03011721	0.1138039	0.27862406	0.14361896	0.45333135	0.3045024	-0.15724754	0.24754143	0.016126841	-0.25321355	0.41762942	0.06813648	-0.20635308	-0.22937362	0.57288563	0.54730576	-0.007351605	-0.017378751	-0.05429958	0.17575838	-0.2828734	-0.05795599	-0.20554952	0.24579999	0.043620892	-0.37562522	-0.16345963	-0.1979609	-0.06638136	-0.03588825	0.2677099	-0.02322322	-0.0117889205	-0.14569442	0.106312566	0.09652149	0.17297137	-0.684765	0.05378882	0.3591046	0.22870633	-0.36672935	0.3522246	0.39153796	0.4042958	0.4183697	0.5468991	-0.38923976	-0.062088385	0.065369	-0.055977087	-0.1578109	-0.07696034	-0.3572432	0.042318553	0.1913836	0.28204268	0.043677084	-0.0028652702	0.18555298	0.10945058	-0.011930969	0.19864465	0.016843218	0.117853	-0.13926484	0.19234851	-0.053675737	0.057590116	0.16832076	0.005241868	-0.2867281	-0.028948309	0.09546089	-0.11673329	-0.10302244	-0.3074819	-0.229954	-0.4035689	0.40167427	0.04144746	0.19396116	-0.0018839454	-0.033886638	-0.07301462	-0.13218497	0.23245731	-0.19642855	-0.23145407	-0.107817724	-0.13856976	-0.23288652	-0.2103839	0.047699634	-0.14270115	0.31171155	0.05198954	-0.26063558	0.018048987	0.14224395	-0.31943235	0.19362359	0.025992941	-0.35126927	0.009686364	-0.44983774	-0.15258242	-0.053159878	0.33443218	-0.07353746	-0.023460913	0.010255063	-0.20936914	-0.31113476	-0.12970528	0.046271548
U10	0.4743433	0.18665102	-0.3125895	0.13940902	-0.20345606	-0.54189795	0.668747	-0.4270747	0.048293065	0.22845918	-0.52134305	0.109557286	0.116066195	0.0769646	0.5006218	0.44711903	1.0567445	0.6464229	-0.2623389	0.30333903	0.21790434	-0.28105202	0.2989675	0.470194	-0.05050598	-0.36022374	0.8525214	0.7581439	-0.13139455	-0.10754654	-0.2750381	0.106680155	-0.68984145	-0.023783341	-0.27075067	0.44547823	0.13970192	-0.5410765	-0.06642873	-0.054427907	0.18460336	0.0336544	0.6046486	0.0046352656	-0.12826727	-0.627856	0.44246814	0.30772105	0.11393959	-0.89549947	-0.09250441	1.0344889	0.3595673	-0.6147123	0.5704276	0.8559461	0.5321583	0.80076635	0.8241419	-0.6236663	-0.24324423	0.0344638	-0.05078754	-0.16887157	-0.017686192	-0.39349824	-0.04514605	0.2156473	0.3138455	-0.07028307	-0.16465537	0.4590794	-0.0072622197	-0.07619913	0.31982186	-0.20114791	0.22411229	-0.028898997	0.16816182	0.2156381	0.1991093	-0.15100054	0.009139216	-0.73095995	0.22193465	0.15789525	-0.22007084	-0.12000331	-0.30522645	-0.4841182	-0.6848647	0.7159879	0.21827775	0.33020902	0.13713613	0.06778949	-0.116471745	-0.31249073	0.70337325	-0.21124904	-0.018136743	-0.23796688	-0.33382803	-0.6150978	-0.6254999	0.17492941	-0.3900093	0.5765162	0.07162664	-0.2715597	0.41622826	0.16691282	-0.5304357	0.6214984	-0.21072873	-0.51721495	-0.45332456	-0.6043289	-0.34425247	-0.2894836	0.85241413	-0.33938268	0.3400905	-0.051549073	-0.2903913	-0.4668159	-0.04545848	0.27694505
U100	0.05132836	0.025633868	-0.035803996	0.01171983	-0.09816576	-0.035582524	0.16463447	-0.17529522	0.021020114	0.0775517	-0.07417741	0.08050891	0.01609317	0.051615994	0.12664008	0.052416086	0.21923609	0.11636216	-0.08072018	0.104371786	0.0059510544	-0.13575025	0.22143313	0.015419503	-0.1282101	-0.10569158	0.29856408	0.2900825	0.0009389828	-0.00398193	-0.022576133	0.09536921	-0.13115422	-0.015971938	-0.09771492	0.088669956	0.024812939	-0.18385047	-0.077031605	-0.121424325	-0.05153742	-0.03016292	0.1125552	-0.013623223	-0.01352082	-0.07286461	0.03885126	0.057512786	0.09012925	-0.35307166	0.036592938	0.16454491	0.087112926	-0.18303281	0.16117087	0.16881762	0.19888061	0.20878243	0.27110308	-0.18656023	-0.02602139	0.0341747	-0.021177482	-0.07874304	-0.041472528	-0.1964301	0.0065383837	0.096900985	0.15169752	0.043749243	-0.005329161	0.06874997	0.059176017	-0.002571446	0.0837511	0.022516668	0.07212	-0.07732415	0.10457937	-0.04586113	0.014754073	0.10193821	-0.010120814	-0.12102255	-0.023076814	0.058415428	-0.034959752	-0.04870148	-0.15264803	-0.10066378	-0.17432351	0.183895	-0.00046302215	0.124615766	-0.016562438	-0.022065971	-0.020907104	-0.051109776	0.08742321	-0.096297674	-0.12746248	-0.043392584	-0.07278979	-0.10682303	-0.06742667	0.017176352	-0.053235814	0.1450321	0.024036096	-0.12628892	-0.009405917	0.06628376	-0.15922016	0.086290956	0.026890446	-0.17886929	0.031036047	-0.22261542	-0.07873568	0.0047762617	0.14392331	-0.021786999	-0.051199038	-0.007422679	-0.110169254	-0.14991626	-0.052352816	-0.01653913
U1000	0.022768823	-0.01422118	-0.007980831	-0.018191658	-0.02230221	-0.04029651	0.029959796	0.010986152	-0.027395472	0.0062455116	-0.022049265	-0.027521107	-0.0035806438	-0.021036668	-0.011479126	0.035997488	0.013391387	0.01839697	0.010176887	-0.021740178	0.01946642	0.024547674	-0.053577285	0.036176655	0.0452063	-0.0004017474	-0.014193451	-0.039402224	-0.03465818	-0.025169935	-0.047750216	-0.015498181	-0.012104355	0.0068870606	0.031483486	0.0004435219	0.008461691	0.008007936	0.027814902	0.015834728	0.027517624	0.009130228	0.012649226	0.005362107	0.0018425887	-0.06506246	0.024062153	0.029911183	-0.019446015	0.04740303	0.002718879	0.048684597	-0.027852252	0.010814301	0.008772697	0.018860988	-0.015335638	0.010663971	-0.01919178	0.0077511617	-0.026240254	-0.009580428	0.016662592	0.014379019	0.008199188	0.016384339	-0.034428056	-0.03125602	-0.032455157	-0.010898242	-0.010295069	0.024589559	-0.050016943	-0.010956412	-0.027324766	-0.025621187	0.017918784	0.05137656	-0.005864038	0.044465672	0.019158073	-0.067595944	-0.02865771	-0.027323188	0.059287444	0.0052519077	0.009045042	0.009255223	0.012372843	-0.008324344	-0.0027962122	0.008672819	-0.006603561	-0.012309234	-0.010540743	0.012183876	0.0021978081	0.0124710705	0.02581631	0.072095886	0.07781872	-0.017855708	0.00016041007	-0.012247378	-0.018027963	0.017523225	-0.015648792	-0.0063109985	0.0048473035	0.021760907	0.046472218	-0.033575583	-0.010732297	0.010803827	-0.044342913	0.0454546	-0.04850176	0.026794545	0.00393585	-0.0016727443	0.036432512	-0.015179182	0.03214521	-0.013288057	0.006027631	0.016975092	0.04021489	0.003956315
U1001	-0.043027814	-0.018603908	0.0140649285	-0.025577022	0.07771675	0.054196574	-0.08300752	0.07647533	-0.0066154953	-0.028632293	0.03494147	-0.019414637	0.009013487	0.006623319	-0.067582466	-0.056583926	-0.11641802	-0.09096989	0.019819189	-0.062727936	0.00042676204	0.0855435	-0.07042212	-0.054066323	0.055209033	0.042502187	-0.16096157	-0.16430318	-0.0020257013	0.01292584	0.0067785843	-0.04620185	0.122089155	0.0035257067	0.0695351	-0.07694869	-0.003021351	0.065604396	0.017862426	0.009647871	-0.02015822	0.035324845	-0.086278506	0.0023220167	0.01921889	0.06429599	-0.04220229	0.0018022759	-0.020039126	0.17645009	-0.017609447	-0.12676542	-0.03242725	0.089807525	-0.09612071	-0.073984526	-0.084585406	-0.12132009	-0.16334409	0.11046262	0.0037591793	-0.026762355	0.037372522	0.037468188	-0.0014625113	0.056860127	-0.011123901	-0.06456257	-0.06121417	-0.00444984	0.020401947	-0.052501265	-0.026007146	0.012668989	-0.067818634	-0.02107967	-0.033475652	0.009053945	-0.022394877	-0.007105813	-0.03219077	0.0033772388	0.008846115	0.0777165	-0.0009003333	-0.0076695587	0.032555394	0.031720806	0.095816016	0.054518424	0.079567716	-0.12483664	-0.010728738	-0.06827213	-0.009894125	0.020178601	0.026491288	0.05446214	-0.07242192	0.04931988	0.057250723	0.009501237	0.050171837	0.07415414	0.063734144	-0.028906275	0.028272107	-0.097610764	-0.03439952	0.060668167	0.00948108	-0.0440691	0.05267096	-0.050246548	0.0026941795	0.08375757	0.00611859	0.08812295	0.041875586	0.030625647	-0.1079199	0.027909162	-0.032740466	-0.0257666	0.04230876	0.10330529	0.025393177	-0.010068458
U1002	0.08977756	0.018848667	-0.067607574	0.04409466	-0.021227278	-0.13068154	0.10947107	-0.040585052	0.0037733768	0.017036648	-0.112067066	-0.0047757686	0.011928566	0.036386427	0.08340682	0.11419165	0.15630656	0.12726232	-0.054330517	0.061278697	0.047645103	-0.04910192	0.013374591	0.10608548	0.04094445	-0.07001852	0.103473276	0.05932437	-0.042054087	-0.04958444	-0.092042916	0.0134240305	-0.118463345	-0.024749378	0.00051964796	0.10824446	0.019467285	-0.103503525	0.006662133	0.009050275	0.031470783	0.06004744	0.12811804	0.004878959	0.0052452087	-0.12758678	0.09063649	0.043321468	-0.007282356	-0.095147684	-0.0041547134	0.2022902	0.053934418	-0.07493828	0.082265906	0.15418449	0.074575886	0.115850605	0.11786292	-0.079053834	-0.049162686	-0.011864094	-0.017194834	0.00085708126	0.02568544	-0.057065055	-0.0025451023	-0.011364492	0.029999645	-0.031796552	-0.022927437	0.0933276	-0.03272277	-0.008896029	0.037459455	-0.052562468	0.03868572	0.034161206	0.025925145	0.08801012	0.0805507	-0.059182823	-0.010296624	-0.15886427	0.05353777	-0.0013604206	-0.03508797	-0.014771288	-0.02379781	-0.106238596	-0.13128512	0.09574157	0.063142076	0.0013803095	0.041481018	0.01697354	-0.03536549	-0.042470533	0.1600152	0.028087575	0.06769216	-0.09213003	-0.07659559	-0.09887798	-0.110948056	0.026247885	-0.09014575	0.08343709	0.014293447	-0.04084707	0.11210194	0.02634241	-0.09123003	0.11912657	-0.0829218	-0.03989586	-0.12397311	-0.07315628	-0.04049541	-0.07034162	0.16432154	-0.068965696	0.0672178	0.0073849848	-0.042598348	-0.030067483	-0.0061784973	0.078807786
U1003	-0.02474196	-0.0024514205	0.01766834	-0.016274264	-0.008706237	0.043473784	-0.009533749	-0.031986825	0.0031432868	0.008842653	0.03709258	0.025535675	-0.006724069	0.014645802	0.00022264943	-0.028763004	-0.023108654	-0.024187662	0.0064114286	0.010489571	-0.024726655	-0.018635912	0.05481074	-0.04529478	-0.04951029	-0.0022823522	0.025211122	0.032527827	0.019882854	0.019948862	0.020870738	0.02390477	0.018515676	0.0091662835	-0.021425609	-0.016951915	0.00441718	-0.012800688	-0.016524425	-0.032265253	-0.02950735	-0.022385582	-0.019649617	-0.012975423	0.0085758595	0.04586475	-0.022856906	-0.010497825	0.020921407	-0.04768284	0.0140194325	-0.042108867	-0.0059158336	-0.010354358	0.009113548	-0.018525477	0.016009584	-6.936118e-05	0.025336906	-0.006909037	0.0121463565	0.0112045705	0.0039053238	-0.0068959575	-0.020735633	-0.031658247	0.007838501	0.02199642	0.031463526	0.029927991	0.021097615	-0.019631807	0.018681861	0.008417995	0.012311573	0.03102972	0.012190235	-0.018741371	0.024091158	-0.044194993	-0.021921787	0.057777245	0.003260602	0.03379694	-0.030544927	0.0139629245	0.011501219	-0.017047087	-0.03729559	0.016980104	0.01744184	-0.002883438	-0.027584936	0.017455392	-0.018184174	-0.02144974	0.0034671861	0.0037467177	-0.042690687	-0.026204137	-0.06592859	0.015126109	0.011729592	0.021518826	0.045259476	-0.009759836	0.017384905	-0.0076880613	0.0032909815	-0.020121604	-0.043635387	0.005622658	0.0034295209	-0.037285503	0.03480253	-0.017668232	0.062208686	-0.021180764	0.0061638355	0.03870988	-0.027203485	0.032128002	-0.057147063	0.008927257	-0.0028410153	-0.018904397	-0.023648597	-0.042348057
U1004	0.08652108	0.026152173	-0.055597156	0.016565239	-0.069736145	-0.108599894	0.09371882	-0.0418973	0.0073498986	0.0022930086	-0.098361105	-0.01983044	0.008500794	0.022136552	0.085934415	0.083711974	0.14691527	0.12435248	-0.041699372	0.055024963	0.035306368	-0.039087445	0.013046706	0.11338748	0.0065862066	-0.026887344	0.09967923	0.06473142	-0.034366325	-0.040185887	-0.07484647	0.011025247	-0.108775705	-0.019938951	-0.028071592	0.08125521	0.037642535	-0.06954425	0.010686608	0.0036022617	0.030629642	0.038697023	0.0942547	0.0015065284	-0.010073779	-0.11906626	0.076140605	0.05857118	0.009103466	-0.10426213	-0.02837146	0.1688442	0.08130447	-0.09779796	0.06823488	0.144993	0.07275989	0.12722422	0.111234896	-0.088985264	-0.050878726	-0.003655076	-0.0026811776	-0.01347925	0.0052155517	-0.049613588	-0.005877188	-0.012528287	0.006674826	-0.019475134	-0.024319503	0.09263264	-0.03391089	0.0064031705	0.036464766	-0.039984733	0.023832057	0.032162327	0.016830787	0.08432652	0.0676569	-0.05877334	-0.032973506	-0.1306798	0.05407892	0.03313773	-0.025047716	-0.015681243	-0.022604976	-0.069572	-0.10883258	0.1053652	0.01621156	0.017321773	0.005107767	0.004637556	-0.040663134	-0.03494336	0.13929227	0.013021102	0.057621263	-0.061350454	-0.07044497	-0.076667055	-0.11334196	0.014511338	-0.06222909	0.095020704	0.0033860062	-0.031783514	0.1025266	0.020163588	-0.070352495	0.10731508	-0.047937043	-0.01825273	-0.075312436	-0.08745573	-0.029783778	-0.049750183	0.15820359	-0.046574287	0.078311466	-0.0003742203	-0.039576124	-0.033467747	0.007886305	0.08312656
U1005	0.009397214	-0.031652555	0.005481428	-0.0016556687	0.0075636986	0.008265032	-0.032328483	0.058913674	-0.01683758	-0.018364172	0.023013653	-0.047602057	0.021709708	-0.008043147	-0.023072783	0.0009690095	-0.057066366	-0.017032249	0.0076014	-0.024756426	0.005987361	0.029096462	-0.059872314	0.0039085615	0.027172368	0.02716858	-0.06958946	-0.072205395	-0.0014559664	-0.010981544	-0.0022498271	-0.02845301	0.03882408	-0.0015186225	0.034217987	-0.04515414	-0.021604856	0.03855305	0.011865454	0.018944556	0.013166287	0.014688924	-0.019458225	0.015527381	0.02404013	-0.008327938	-0.006362303	0.008761609	-0.026670702	0.08883962	-0.010907748	-0.029313795	-0.04340729	0.027522376	-0.035160646	-0.0319949	-0.04356566	-0.060151152	-0.047905482	0.047254764	0.014183249	-0.004675107	0.0003582416	0.034566723	0.020840984	0.038238406	-0.00014491286	-0.039652243	-0.037191723	0.002216175	-0.007769799	-0.006019555	-0.010218771	0.011798999	-0.042227283	-0.0044664633	0.007422654	0.03052159	-0.010011284	0.007385953	0.012507546	-0.040612303	-0.013513165	0.040490657	0.036865808	0.022755148	0.020164736	0.01362177	0.027710205	0.02270797	0.036234517	-0.039891418	-0.010624251	-0.03090376	-0.026332991	0.012744592	0.0056763045	0.041400407	-0.023992233	0.060223997	0.0777659	0.009989462	-0.0006551938	0.028121982	0.005445548	0.0030305386	0.013640301	-0.041942593	-0.0027894515	0.047437746	0.008990847	-0.022913028	0.037550915	-0.02890198	-0.029928245	0.06560263	-0.01036239	0.075663865	0.030160915	0.013298607	-0.030344088	0.00087412074	-0.0006704894	-0.02817804	0.03496157	0.05541338	0.027380086	0.01090458
U1006	0.0057650693	0.011301646	0.001623055	0.004090898	-0.032270566	-0.008700736	0.041780815	-0.067933664	0.007442647	0.02522107	-0.010178613	0.03296712	0.0027186018	0.019234844	0.040641326	0.013171119	0.058475193	0.03798557	-0.022625834	0.03859001	-0.0045483494	-0.0491724	0.08406378	-0.0069605797	-0.050307486	-0.035352804	0.09713283	0.09714068	0.0028828774	0.0016610874	0.0019091847	0.035812356	-0.04131067	-0.005421612	-0.0439085	0.025028856	0.0039327564	-0.061127663	-0.026004141	-0.044060647	-0.02167349	-0.01409426	0.030553538	-0.010325974	0.0051730266	-0.0034865914	0.0022081267	0.014605202	0.030929232	-0.1292936	0.01887108	0.034635406	0.02647929	-0.06210804	0.057443544	0.054913405	0.06909843	0.06380597	0.093314715	-0.06320888	-0.007642548	0.017127555	-0.0047400664	-0.021752296	-0.02571283	-0.071502455	0.007297884	0.040446732	0.05401299	0.022524562	0.006173664	0.021215845	0.021287285	-0.004777547	0.03056978	0.017267883	0.021236792	-0.020209668	0.042714827	-0.026122654	0.0016337149	0.04766019	0.0034282885	-0.02922426	-0.015397551	0.015655857	-0.01260929	-0.020898264	-0.06226276	-0.029458439	-0.054394495	0.0587766	-0.0012173682	0.029839274	-0.013936929	-0.011154423	-0.009781274	-0.016236449	0.014406126	-0.029935645	-0.059492562	-0.007439199	-0.018315798	-0.0233313	-0.014882661	0.0031974139	-0.007826036	0.049052097	0.0067607607	-0.047892287	-0.016812	0.026022334	-0.049133837	0.012803082	0.020906825	-0.051509444	0.021361008	-0.078175716	-0.016221043	0.006822882	0.041000873	0.0045183785	-0.024419984	0.013621271	-0.036771383	-0.05406864	-0.03302269	-0.01108906
