	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
U1	0.06283398	0.33466586	-0.018275913	0.034763988	-0.20951962	-0.32002145	0.21690977	-0.000499567	-0.075367264	0.21106783	-0.6713093	0.4217422	-0.24969386	-0.036266714	0.041272733	0.02203832	0.23248313	-0.17924647	0.16663566	-0.07693155	0.20646176	0.052315067	0.00760857	0.17087805	-0.21327046	-0.17007047	0.19793513	0.1752342	0.021274563	0.44798344	-0.03044669	-0.04616316	-0.008406443	0.049253568	-0.1295382	0.058455065	-0.13121438	-0.092520386	-0.13674851	0.06870142	0.109681554	0.016722927	-0.063771605	0.16137098	0.034252457	-0.10464795	0.07092081	0.31300738	-0.21444225	-0.035260063	0.029559236	0.14958741	-0.002359936	0.3025128	0.0250583	-0.24880512	-0.026969971	-0.051533803	0.0487721	-0.097074345	0.1092753	-0.042313635	-0.007985467	-0.10910439	0.17164129	-0.11895173	-0.0040159095	0.017515585	-0.021799	-0.08465264	-0.49857607	0.09026864	-0.07624928	0.24778636	0.04842625	-0.0034713093	0.100057065	0.033165686	0.07787788	0.010025902	-0.021940017	-0.69493824	-0.025682665	0.0015846603	0.11194901	-0.2062124	-0.36334518	0.06934865	0.24536076	-0.3102541	0.0024836338	-0.032548107	0.19016576	0.08409603	-0.015005901	0.24669878	-0.058504846	0.16614005	-0.12695196	-0.17265859	-0.11026928	-0.022003781	-0.13906124	0.07830993	0.3076967	-0.08601452	-0.03883244	0.039281305	-0.0018739551	-0.026932396	0.023676325	0.48181212	-0.22603253	-0.16341652	-0.33587217	0.0597178	0.23615126	-0.1406817	-0.21278638	-0.1466586	0.09413726	-0.06924115	-0.012936773	-0.16426605	0.1549172	-0.20616631	-0.0134842135	-0.09953905
U10	-0.09471723	-0.059552312	0.07984921	-0.056559943	0.06257671	-0.2733117	-0.036433514	0.094489194	-0.008234522	-0.0705466	0.41076347	-0.33895063	0.009070229	0.05649773	-0.07956146	0.1498335	0.06481543	-0.068037756	-0.227851	0.06058468	0.29138333	0.060708273	0.30527848	0.26632404	0.0465179	0.06908473	-0.22585201	0.0876884	-0.09482545	-0.16163278	-0.036672335	-0.050908636	-0.08531072	0.025489343	-0.11061585	0.007611152	-0.17843895	0.15967365	0.08149992	0.108878195	-0.13045415	-0.13703504	-0.015904712	-0.0423821	0.020823473	-0.10852024	-0.20720837	-0.40260878	0.012397602	0.047233	0.0071076234	0.21873815	-0.116930276	-0.09357885	0.06077015	-0.0017432123	-0.053629667	0.14583877	-0.08513637	-0.074515276	0.12781082	-0.08285894	-0.12859401	-0.22387055	-0.14397916	0.038859263	0.20258522	-0.19391233	0.1374556	-0.052726842	0.3363398	0.06777623	0.123929836	0.054456078	0.053841367	-0.05803372	0.0028441418	-0.07715209	-0.028652325	0.102012694	-0.14011756	0.17771971	0.63930565	-0.22419322	-0.01641752	0.26826087	-0.08878516	0.003956219	-0.116967514	0.16052382	-0.110912845	0.024418583	0.16552112	0.13464172	0.009256594	-0.020271452	-0.045711633	0.11567169	0.1891647	-0.09812777	-0.13132316	-0.06005651	-0.006043365	-0.028052261	-0.25066105	-0.063251786	0.08139782	-0.07492513	0.08108391	0.08768862	0.05783226	-0.083683625	-0.38246137	-0.13561904	-0.023855306	0.21807232	0.14694096	0.09353384	0.0764255	-0.19530801	0.14034535	-0.20716639	-0.14732695	0.08017358	-0.2956905	-0.21160105	-0.19464377	0.3070434
U100	0.02685296	0.16930065	-0.011819094	-0.0058280043	-0.072503746	-0.16280268	0.06418061	0.058828466	-0.07272911	0.066795036	-0.27158427	0.0760621	-0.069342025	-0.018730566	0.012978356	0.009486083	0.0837253	-0.023820652	0.059623532	-0.020521833	0.079054356	0.08801375	0.043774497	0.060998727	-0.017094068	-0.051559582	0.022965197	0.06304405	-0.026371334	0.100958705	-0.009612938	-0.08644034	-0.0022693023	0.06752691	-0.08049674	0.01514357	-0.0139845805	0.010938305	-0.06585188	0.036472715	-0.012418552	-0.06118325	-0.042267494	0.07616067	-0.00038617663	-0.092899084	0.02558858	0.11491686	-0.078422695	0.0067983754	0.029002316	0.086534716	-0.005090665	0.086804375	-0.04595293	-0.08990581	-0.0083677955	-0.01330955	0.050853964	-0.050703503	0.05074137	-0.019949064	-0.044117957	-0.10800563	-0.016630862	-0.054558203	0.04686078	0.08011551	0.010908186	-0.037044227	-0.05831152	0.029464927	-0.015962336	0.07566438	0.07187931	-0.0025227256	0.046060123	0.011965424	0.02018319	0.018033642	-0.017755179	-0.26146632	0.044746388	-0.029281754	0.04199473	0.0041717626	-0.13643627	-0.015323449	0.08354081	-0.16351247	-0.013346827	-0.019617511	0.06987886	0.034849733	0.060394697	0.056358356	-0.012433384	0.109984554	-0.03525615	-0.11403052	-0.058444005	-0.033999823	-0.06409042	0.028560393	0.019086372	-0.03787662	0.029901301	-0.020589039	-0.039608248	-0.005963658	0.004535258	0.092332944	-0.12238096	-0.1647569	-0.14937425	-0.046325684	0.053866	-0.013824711	-0.05978736	-0.05207793	0.057921723	-0.0756119	-0.07541585	-0.045690153	-0.020610705	-0.06434156	-0.013600373	-0.026949285
U101	0.03573209	0.12268022	-0.035285376	0.03910055	-0.16222268	0.018267885	0.034031432	-0.044373386	-0.021188568	0.087082535	-0.3766953	0.26359177	-0.05886868	-0.06521644	0.04866177	-0.015643828	0.029336724	-0.049635693	0.16368324	-0.057500005	-0.0971781	-0.018500093	-0.11482815	-0.062072583	-0.099477634	-0.07544459	0.11129235	0.032506604	0.017779145	0.15231133	0.03906936	-0.06380678	0.047099072	0.024910728	0.061923765	0.021170983	0.049860623	-0.092455454	-0.028644249	-0.027973846	0.09465992	0.037103638	-0.035610348	0.08052239	0.0023109429	-0.056879617	0.08772109	0.27534315	-0.036982972	0.0057517122	-0.0024946248	-0.057998627	0.072464004	0.128567	-0.047117207	-0.09916626	0.012053177	-0.054011606	0.07697262	-0.019754827	-0.049922124	0.025876692	0.07983468	0.093841836	0.08370924	-0.0367836	-0.09197542	0.09061465	-0.022803845	-0.012599483	-0.21733017	-0.01905036	-0.09321438	0.088829376	0.011859303	-0.028016502	-0.0070316717	0.09070489	0.046613473	-0.008232051	0.050993636	-0.2895648	-0.23789275	0.03376571	0.06310532	-0.17373824	-0.12065845	-0.0052026156	0.11867891	-0.15651332	0.043463737	-0.03592112	-0.0006571859	-0.041448954	0.014781453	0.0845858	0.06303245	-0.009331841	-0.071164146	-0.060853533	0.06889757	-0.0075332103	-0.089532346	0.0009799302	0.16317543	-0.023201777	-0.026153214	0.06527057	-0.054348223	-0.0663166	0.011889283	0.086809516	0.051221788	0.012727622	-0.12764403	-0.067094155	0.035222396	-0.08002264	-0.098176815	0.019074183	-0.047358498	0.02947719	0.07097671	-0.045482088	0.12568405	0.048717193	0.10260195	-0.16183291
U102	-0.044758677	-0.09828389	-0.047969416	-0.012050407	0.15985316	0.11276096	-0.02221508	0.010802291	0.036073864	-0.16792746	0.23860773	-0.12504625	0.059852894	0.040872917	-0.0027694912	-0.073480874	-0.03368877	0.12236387	-0.05927065	0.030826285	-0.040950064	0.038869087	0.004408315	-0.06334702	0.105098754	0.08365953	-0.0473	-0.023379728	0.054232985	-0.022699453	0.00068004243	0.07337722	-0.038950577	-0.010026569	-0.016911883	-0.076150455	0.03769617	0.04095029	-0.007280372	-0.039756913	-0.06908885	0.020679707	0.028085234	-0.10068965	0.04993183	0.13469155	0.002510419	-0.06938491	-0.012004662	-0.008858312	0.0019391305	-0.11882784	0.06511095	-0.1590834	-0.0018341921	0.16855213	0.05004997	0.008027673	0.046159294	0.08194191	-0.05007918	0.06467429	-0.014051421	0.0915216	0.060121812	0.046555206	0.0142384125	0.0038089976	-0.016696056	0.0015813168	0.2017597	-0.07384254	0.0432669	-0.10532366	-0.041186474	0.0270646	-0.05463326	-0.028172776	-0.120826155	-0.0057296483	0.015022682	0.22254975	-0.13341182	0.12862282	-0.091162965	0.033567134	0.22887476	-0.010795729	-0.11874963	0.13371257	-0.028015155	0.003408228	-0.08143294	-0.068745	-0.02209601	-0.080183506	-0.06456864	-0.06571974	-0.056600023	0.12313346	-0.07379274	0.042849906	0.036013767	0.029909581	0.013366818	0.015895784	0.06419305	-0.114725046	-0.08418534	-0.014786799	-0.03592903	-0.055079233	0.16960688	0.026726907	0.15010452	-0.009934266	-0.07541831	0.044998184	0.08500599	0.06312673	-0.038373042	0.09911126	0.014098959	0.064408585	0.0066744015	0.108388826	-0.0007766383	0.049754962
U103	0.1025169	0.117898196	-0.0026936159	-0.044441544	-0.10575282	0.1508964	-0.046765305	-0.03498119	-0.10576832	0.029608749	-0.14500955	0.041629	0.01558952	-0.05135014	0.083154574	-0.10947384	-0.18809444	0.11337531	0.22725272	-0.014029322	-0.37878016	0.028508727	-0.12346696	-0.14797802	-0.017287206	-0.011003919	-0.030109953	-0.13625906	-0.056907117	-0.10582175	-0.004439626	-0.21357384	0.054034226	0.07672297	0.056576036	0.033657745	0.21193747	-0.07809062	0.008729029	-0.020622134	-0.059085593	-0.034262497	-0.06745174	0.11438055	-0.04188389	-0.028514612	0.12946248	0.2855674	0.106274836	0.116974115	0.0097741075	0.007590741	0.030352872	-0.032456093	-0.12012788	-0.04231761	-0.05642275	-0.057375535	0.12224643	0.012440284	-0.06072306	0.02836577	0.09290463	0.053876285	-0.15152809	0.010479106	0.020123687	0.41414228	-0.076323815	0.003955882	0.22200555	-0.028403807	-0.1454628	-0.09655025	0.0814665	0.037489682	-0.11948241	0.16902201	-0.037211083	0.021053798	0.105053335	0.00084143877	-0.22279197	0.030327462	0.026119232	-0.0025983453	0.008047214	-0.121151954	0.15378682	-0.1166386	0.048688993	-0.037872054	-0.098753765	-0.0017690491	0.11343362	-0.06014379	0.05303242	-0.005357245	0.08298506	-0.10459788	0.1275756	-0.045718957	0.0061824247	-0.1348966	-0.077273294	-0.005701975	0.032393526	-0.027812313	-0.04661724	-0.038724773	-0.037020802	-0.48720133	0.14230016	-0.050698686	-0.013310958	-0.37830818	-0.07073155	0.06941827	0.029659884	0.11346896	-0.047244623	0.057283405	-0.063987926	0.0020007566	0.016279899	0.13500413	0.18314782	-0.21313125
U104	-0.124551356	-0.4720313	0.15847877	-0.009505121	0.0787474	0.4024092	-0.24027805	-0.23511988	0.10626111	-0.16833453	0.85678536	-0.2004306	0.147779	0.0585166	0.075698435	0.052920204	-0.3183127	0.029741734	-0.13147411	0.044601914	-0.32439083	-0.40286258	-0.18040211	-0.15724067	-0.08970553	0.15577114	-0.12620075	-0.07467283	0.01963181	-0.26773322	-0.02304189	0.12710144	0.0050787935	-0.19399077	0.2632343	-0.017514776	0.038217288	-0.07788377	0.23972824	-0.068687424	-0.026458632	0.114122905	0.11158261	-0.22955252	0.0027148966	0.15500106	-0.121666394	-0.24522671	0.36149973	0.064902425	-0.08875963	-0.13867918	-0.0060690288	-0.24280691	0.15761428	0.22935902	-0.1121611	0.07170065	-0.2503379	0.106422246	-0.14713918	0.05197157	0.2559076	0.4090534	0.035104506	0.22155821	-0.116318054	-0.19718118	0.0048775245	0.034391098	0.31710067	-0.07909465	-0.09414587	-0.14965236	-0.14532615	-0.026672266	-0.28223845	0.053173378	-0.088177964	0.054928184	0.053306736	0.6738576	-0.016572632	0.03908854	-0.054252468	-0.011302948	0.2079663	0.037604094	-0.1460588	0.5590365	-0.005602116	0.011503035	-0.15773408	0.01190103	-0.2284281	-0.102491334	0.07182038	-0.34069481	0.26921827	0.15544516	0.16688581	0.019672357	0.18777367	-0.21397036	-0.01585297	0.084353425	-0.093174204	0.052608825	0.19516432	-0.03559487	0.018787669	-0.45879018	0.17507237	0.51670516	0.34545672	0.118934244	0.05099875	0.016526682	0.19079421	0.022304043	-0.13728254	0.14651951	0.22867918	0.15880333	0.013345286	0.12161894	0.02248819	0.087967314
U105	-0.1091184	-0.07639855	-0.0413614	0.022623532	0.2758724	-0.101993695	0.09063552	0.059125096	0.09884851	-0.18520662	0.20255727	-0.1249897	-0.017654687	0.065372124	-0.07987513	0.02395694	0.19841999	0.032283656	-0.25802693	0.05348765	0.37147853	0.061009284	0.14971556	0.13111265	0.10231507	0.074037224	0.013365954	0.14136997	0.13975625	0.09975898	0.0054017883	0.23388489	-0.10902319	-0.05677131	-0.15325053	-0.104654804	-0.1940678	0.15122493	-0.08120377	0.008554133	-0.006707022	0.038867444	0.07578037	-0.15785705	0.082467936	0.12520437	-0.12146272	-0.3045466	-0.16566075	-0.11747414	0.008018492	-0.09388411	0.055641692	-0.09825442	0.10478426	0.15217558	0.097923145	0.05359137	-0.02669581	0.040880874	0.027139198	0.054235384	-0.11685771	-0.044876818	0.19397381	-0.022772929	0.01198092	-0.3306232	0.050355494	-0.042308778	0.011113167	-0.03402561	0.17559424	0.0097127315	-0.07329658	0.035647415	0.079853185	-0.2156366	-0.096360415	-0.022391774	-0.08505353	0.080602035	0.11694008	0.09905569	-0.10538334	0.061855115	0.17552379	0.11780544	-0.23003145	0.18709947	-0.07427138	0.03731496	0.036133856	-0.019296773	-0.093320005	0.035081517	-0.13747755	-0.0022725463	-0.16626935	0.14849475	-0.24716662	0.039848167	0.004294684	0.20311981	0.11876485	-0.021618227	0.062116515	-0.1333177	-0.066889875	-0.011708208	-0.020220246	0.44797564	-0.009691732	-0.04350992	0.083789825	0.2739698	0.02223751	-0.038937762	0.014949643	-0.054180186	0.042765602	0.00446283	0.03396879	0.0050291065	-0.026737683	-0.06417501	-0.18321697	0.23160666
U106	-0.056334376	-0.14549434	0.035159074	0.0074792346	0.015154342	0.10083519	-0.072374225	-0.09822729	0.067894965	-0.039998148	0.2411032	-0.017169725	0.0074340138	0.013404379	0.021495098	-0.0017083772	-0.084509894	0.0006519621	-0.010923992	-0.006253546	-0.08668269	-0.13437606	-0.06698969	-0.014685418	-0.030933294	0.06917281	-0.027244832	-0.0069782557	0.01940931	-0.01626718	0.007200718	0.060916383	-0.00057061634	-0.07422258	0.09910467	-0.0009084204	-0.018982109	-0.042581044	0.07620171	-0.031436995	-0.001278393	0.05197818	0.04262542	-0.05725325	0.006686529	0.07073199	-0.037964344	-0.009507474	0.094080694	0.0044886814	-0.022164391	-0.07519513	0.00783352	-0.043101773	0.05412451	0.06825596	-0.039909273	0.0385857	-0.09582511	0.014054201	-0.05573844	0.0298448	0.08717942	0.14385377	0.07149368	0.07907188	-0.040397752	-0.06082896	-0.012076257	0.007171309	0.04294537	-0.019292552	-0.026816955	-0.045148	-0.06291789	-0.024331894	-0.077243514	0.036667466	-0.032413717	0.02779242	0.019662267	0.13737941	-0.05826322	0.048839487	-0.020163301	-0.029366866	0.043839827	-0.0031333119	-0.032601207	0.16657738	-0.028359862	-0.006717179	-0.03313336	-0.009164993	-0.1089381	-0.0415794	0.005253017	-0.11038028	0.03593471	0.044535324	0.04280516	0.05208926	0.034629084	-0.053672485	0.088429466	0.002258303	-0.006257172	0.008706932	0.05878923	-0.027881492	0.010610852	-0.07475601	0.07181709	0.1601609	0.09699629	0.0742253	0.052017104	-0.029162455	0.055914596	0.0077011883	-0.04536247	0.07873396	0.0879777	0.031708594	0.024701983	0.009205545	0.018856859	0.025979128
U107	0.008654647	-0.0013476014	0.07115109	-0.0131757995	-0.122293696	-0.007986754	-0.043461263	-0.043232743	-0.028227936	0.04549432	0.007623613	0.030741356	-0.028428782	-0.05091241	0.052502304	0.031793024	-0.06847013	-0.05861959	0.05024092	-0.018751362	-0.0996338	-0.1079895	-0.013349578	0.019745693	-0.08194086	-0.02343516	-0.04312213	-0.00404663	-0.06728127	-0.0056459233	0.004342381	-0.08154185	0.02076716	-0.0030265735	0.061587784	0.044096567	-0.02115218	-0.054581255	0.080011845	0.01408476	-0.00931733	-0.018540045	-0.055187732	0.055054363	-0.01314067	-0.05403743	-0.0115183825	0.06673603	0.08646358	0.06034282	-0.016705425	0.055941004	-0.034871425	0.043546833	-0.0026754236	-0.07387826	-0.06790047	0.009126581	-0.033019736	-0.049280453	-0.004530117	-0.025942273	0.08453754	0.040041197	-0.030323215	0.022048717	-0.00037634512	0.045260113	0.013163916	-0.0041106725	0.013007037	0.011862302	-0.08396123	0.033751994	0.01737085	-0.028811906	-0.073759556	0.08224009	0.038802937	0.043717217	0.0073631927	-0.068038285	0.058825664	-0.07069953	0.029546123	-0.025269754	-0.11852814	-0.03290259	0.082288854	0.012109965	0.0014323713	-0.029589342	0.031496786	0.06502699	-0.03420732	0.024743542	0.060368877	-0.018390642	0.111176535	-0.09815273	0.07408152	-0.013373099	0.0027456665	-0.0854515	-0.025154341	-0.032603204	-0.024725268	0.046375208	0.08295286	-0.024843909	0.052226502	-0.13951862	-0.07047996	0.055529766	-0.051373437	-0.02092629	0.09256456	-0.021368489	-0.011047014	-0.041465342	-0.0128898155	-0.011172245	0.009903997	-0.0017562676	-0.017353686	-0.04544237	0.005384039	-0.026540117
