	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
U1	0.32852745	0.11192505	0.26118618	0.553172	0.31587565	-0.12899162	0.063959375	0.08064236	-0.13396105	-0.050849065	0.011383679	-0.2606216	-0.22454882	-0.0074584507	-0.5305909	0.1403107	0.14841743	0.05488934	-0.030985856	-0.09096435	-0.28374258	-0.21957137	-0.5004872	-0.31985378	-0.08424041	0.16787593	0.010822991	-0.06265132	-0.15675554	-0.036751725	-0.15745376	0.0412868	0.010036333	-0.0047943294	-0.30546367	0.21226035	0.19393215	-0.025453104	-0.21771681	0.1348395	0.1045929	-0.16266882	0.22302447	-0.098668434	-0.07011718	-0.013664031	0.055757523	0.19101028	-0.1924704	-0.0071137687	-0.0074115186	0.13306463	-0.12390191	0.32133645	0.043620624	-0.06481189	0.21079019	-0.12488948	-0.07538431	0.07254931	0.14861593	0.17716202	0.09679798	0.12280372	-0.2038371	0.26677892	0.22362494	-0.090569496	0.25630462	0.15795329	0.094661996	-0.33855355	-0.22794381	-0.0048226817	-0.06433688	0.13065583	0.2111951	-0.021613486	0.18596296	-0.41095567	-0.09606495	-0.073471814	-0.021906056	-0.18429036	-0.1393364	0.000255974	0.4392195	-0.031620044	0.043821756	0.12905525	0.19575186	0.041718297	0.11444994	0.040075134	-0.1535139	0.1465173	0.15646996	0.4215446	0.06300145	-0.371144	-0.11934613	0.015719822	0.059571117	0.25907135	0.2497429	0.21455678	-0.0035224361	0.2461301	0.0866206	-0.1790974	0.03692293	0.09170568	0.26542208	0.08459788	-0.12715021	-0.07264973	-0.14934719	-0.12305391	0.03920731	-0.3179773	0.02154072	0.01835025	0.06841292	-0.037302587	-0.32931823	-0.17512651	0.009047493	-0.28294277
U10	-0.06866251	0.18361162	0.31843218	-0.4867442	-0.11325267	0.0315418	0.04133384	-0.07341447	-0.008049546	0.17116062	0.089767985	0.16912983	0.21468651	-0.012236493	0.19152501	-0.06435418	-0.17151764	0.09697789	-0.039627478	0.016426668	0.15755075	-0.004662847	0.18420312	0.3084489	0.08139503	-0.06409049	0.0057849027	0.13331975	0.0048692003	0.006262373	0.14529584	0.012412483	0.027935136	0.124695316	0.17878805	-0.044155613	0.024956286	-0.054647267	-0.2173414	-0.17773333	-0.044248138	0.26607144	-0.2308989	-0.05686819	-0.0041518984	0.14512518	0.084865965	-0.005297033	-0.13156533	0.05022426	0.32708046	0.11036265	-0.10054639	-0.26438144	0.013566877	0.06399842	0.051801745	0.07654396	0.25935367	-0.03570941	-0.10051258	-0.09263721	-0.08311492	-0.033826437	0.043834127	-0.13142474	0.12058251	0.05591865	-0.16317657	-0.002847461	-0.20059796	0.37458465	-0.0488572	0.09109159	0.011133999	-0.30092093	-0.012816265	0.09622264	-0.15253603	0.17056006	-0.10940921	0.16981205	0.10135788	0.1846939	0.08147616	-0.17533788	-0.30027762	-0.018029206	0.19382617	-0.020141397	-0.067698404	-0.15920414	-0.07589358	-0.061818875	-0.08539872	0.2405073	-0.0060858354	-0.11244249	-0.1594052	0.028154848	0.02980461	0.13428323	0.10090709	-0.08177162	-0.036022913	-0.033347987	-0.09408981	-0.07533847	-0.042662553	0.10317007	-0.069250695	0.14424212	-0.10560119	-0.03992835	-0.006885309	0.0645038	0.12731631	0.22330806	-0.109708674	0.18566671	0.15180221	0.055051632	-0.074217044	0.10477686	0.029654454	0.31249157	-0.007021578	0.037574604
U100	0.08156529	0.1346582	0.32747367	0.03545195	0.10870178	-0.019241262	0.09017007	0.005890576	-0.021692008	0.012993582	0.037689805	-5.824864e-05	0.03207954	-0.011125967	-0.17376857	0.015942596	-0.07776637	0.049886737	-0.02435743	-0.013379365	-0.0049432684	-0.080821455	-0.12586284	0.024255298	-0.003573658	0.026388306	0.009148212	0.048511334	-0.02791674	-0.037816964	-0.044869598	0.004904865	0.022593971	0.053689793	-0.04006634	0.071731165	0.10505951	-0.08014353	-0.16176894	-0.0015076008	0.03093376	0.08807487	-0.057419322	-0.0673467	-0.0069587277	0.049951628	0.06845398	0.07162069	-0.13433062	0.012720482	0.13948664	0.09606438	-0.081823766	0.028049752	0.018872477	0.017131332	0.09190382	-0.02318361	0.060736127	0.03391972	0.042110473	0.01836108	-0.0013874318	0.0045912783	-0.111424156	0.042426925	0.14901462	-0.016509203	-0.0033727642	0.010850407	-0.079243526	0.084423736	-0.10205497	0.050176337	-0.059618365	-0.14868045	0.15352438	0.026927529	0.019170221	-0.07341582	-0.0815174	0.07354957	0.020641973	0.066106126	-0.062976465	-0.08485827	-0.0006701872	-0.020023774	0.074742876	0.0074958075	0.029397832	-0.06503415	-0.023968816	0.0056066345	-0.12613185	0.25244823	0.06374299	0.12824589	-0.041722566	-0.06268698	-0.057302605	0.07202795	0.066684805	0.068599574	0.08448943	0.09079963	-0.06097937	0.034238603	0.04267868	-0.048445433	-0.018360998	0.09844117	0.06634617	0.00029566884	-0.08202636	0.014011433	0.022095978	0.032581154	-0.06904998	-0.04337258	0.06255366	0.0073722447	0.010862099	0.037038866	-0.070674226	0.06804671	-0.012141207	-0.09352149
U101	0.1327722	0.17219473	0.3984591	0.03564263	0.1507165	-0.025831789	0.08198807	0.009975357	-0.026650343	0.012220178	0.04152409	-0.0139639955	0.04084614	-0.00033695786	-0.21564732	0.010888927	-0.10930503	0.044860315	-0.021086417	-0.020046785	-0.028492777	-0.12003437	-0.14683905	0.031489436	-0.0066786427	0.023523387	0.015433458	0.051301822	-0.05832092	-0.024932431	-0.038130675	0.019443998	0.019185506	0.05310096	-0.04804278	0.09304047	0.12965271	-0.0787053	-0.21050751	-0.009009985	0.030202307	0.11742006	-0.06721096	-0.10397381	-0.0075610997	0.061445497	0.080734774	0.11350627	-0.15969037	0.027073681	0.1540724	0.13418439	-0.13028598	0.05147941	0.019256882	0.019315684	0.10260491	-0.019731019	0.091077805	0.045335267	0.06458647	0.022910997	-0.0016077715	0.013656039	-0.12977606	0.05139299	0.20476913	-0.028459718	-0.003987059	0.028514683	-0.079052076	0.08222722	-0.12808752	0.05875522	-0.06503418	-0.17017238	0.19235569	0.051895093	0.016625457	-0.07943224	-0.109465666	0.07244178	0.03036642	0.071530394	-0.06742946	-0.117742695	0.025736779	-0.02760579	0.11739515	-0.0029754154	0.06672953	-0.08707258	-0.024869166	0.009854256	-0.14617072	0.30422905	0.06648759	0.15320703	-0.04669516	-0.10216759	-0.061894845	0.056206644	0.084542796	0.06780161	0.120775945	0.0890114	-0.07384849	0.04093798	0.038479563	-0.061753616	-0.0280534	0.14779149	0.088450894	0.009165355	-0.095958605	0.026029121	0.03964638	0.06588374	-0.07172597	-0.048255958	0.09090745	0.024430033	0.019525737	0.046687413	-0.10575332	0.09478982	-0.011281915	-0.1196693
U102	0.010646366	-0.15774934	-0.35792422	0.0128487125	-0.14710352	-0.033539303	-0.1537276	-0.004004419	-0.05786202	0.07541231	-0.089874566	-0.112029575	-0.09381428	0.02040567	0.15947777	-0.020261584	0.23570707	-0.062005583	-0.011446533	0.014013298	-0.12503324	-0.015414961	0.09306623	-0.08303293	0.03062474	0.019183427	0.0052289627	-0.08739895	-0.018595897	0.039940566	0.14469883	0.06703597	-0.03737765	-0.08856185	0.010855801	-0.0370918	-0.1166954	0.16297118	0.105905645	-0.02970428	-0.059760973	-0.16231132	0.19579484	0.028067973	-0.046326295	-0.07264138	-0.09279566	-0.015925849	0.09386945	-0.004924452	-0.12510052	0.006171225	-0.0035258816	-0.0068221428	0.010921867	-0.053961195	-0.024685627	0.032485593	-0.06155908	-0.06703611	-0.051085208	0.014133289	0.02434308	0.12433669	0.18406335	-0.012814479	-0.1561585	-0.021425735	0.09999189	0.08043953	0.14572945	-0.19467631	0.08458173	-0.03731115	0.09131172	0.26158863	-0.2208188	-0.060372464	-0.0022237264	0.045163807	0.048254866	-0.10005558	-0.012014123	-0.2234444	0.13657963	0.09633667	0.14380074	-0.002971475	0.0031731867	0.09615504	0.011440536	0.10388982	0.14965302	-0.0068861656	0.15358117	-0.328852	-0.062646426	-0.08097493	0.008359132	-0.068098724	0.08403596	-0.07054282	-0.016288474	-0.03941233	-0.09860869	-0.12124175	0.08368354	0.03527051	-0.07121934	0.056985743	-0.010577761	-0.078562364	-0.03658272	0.02745682	0.10132231	-0.04081942	-0.08249073	0.05631326	0.11277796	0.017282113	-0.027610593	0.023189038	0.0046749804	-0.07247706	0.029659726	-0.0893581	0.022815868	0.038031578
U103	0.20140359	-0.057895914	-0.07556902	-0.028124265	-0.08005372	-0.09111905	-0.22251627	0.0007090252	-0.1524888	0.1519102	-0.17032593	-0.22613199	-0.09553683	0.038039185	0.112798825	-0.06415355	0.24454486	-0.11086406	-0.080936514	0.02867549	-0.26143414	-0.2166061	0.100372694	-0.011715405	0.09549308	0.09996222	0.06034696	-0.093543634	-0.11843301	0.10392023	0.29760808	0.20599939	-0.046921168	-0.12976351	0.083102144	0.032508165	-0.060812924	0.20330977	-0.1732113	-0.17050186	-0.11477753	-0.056004725	0.32148612	-0.16836727	-0.11709203	-0.09702904	-0.12903118	0.17984933	-0.09610891	0.018726934	0.012354952	0.2708752	-0.26728478	-0.011557579	0.017853178	-0.051233344	0.043680344	0.034491606	0.07124188	-0.11320686	0.023321794	0.07302618	0.13076936	0.2750307	0.19556797	-0.023623638	-0.031720303	-0.12264415	0.16308211	0.25408497	0.18734042	-0.21073833	0.022179708	0.026893754	0.10741008	0.16495135	-0.12693481	0.038114753	-0.10099886	0.07085918	-0.12169742	-0.04957751	0.022893919	-0.3653433	0.19428536	-0.040446594	0.28978655	-0.11677709	0.2761173	0.1268561	0.19150855	0.003247312	0.28533491	0.03857738	0.090745375	-0.122935705	-0.10915165	-0.0249921	-0.095215656	-0.30364677	0.0940976	-0.11642912	0.12963235	-0.04829376	-0.04323235	-0.22660387	0.0626207	0.03914838	-0.10250552	0.077051915	-0.13031428	0.12915319	0.010652848	0.067823686	0.07358862	-0.020532722	-0.044380106	0.35624275	0.16789243	0.03243528	0.12864707	0.055197563	0.021796128	-0.050714027	-0.012518987	0.09547092	-0.033523586	-0.04040104
U104	-0.0925102	-0.22669627	-0.5737301	-0.008037649	-0.21544518	-0.018050719	-0.18910763	-0.012107469	-0.03870444	0.053167842	-0.09190905	-0.07921559	-0.096681744	0.015371064	0.26450902	-0.016289445	0.28184736	-0.06856806	-0.0034988886	0.0100695565	-0.080260195	0.0590666	0.146368	-0.10450024	0.008246576	-0.0029801521	0.0030246787	-0.102430955	0.01930431	0.040543914	0.12535875	0.021274343	-0.038982995	-0.09603929	-0.0025973544	-0.093427934	-0.18775588	0.14857687	0.24126792	0.003683444	-0.07677449	-0.23496905	0.19895454	0.10127697	-0.038072422	-0.09620748	-0.106301345	-0.08350454	0.1813068	-0.012319805	-0.20585403	-0.09788721	0.10401089	-0.053270325	-0.004479578	-0.059021503	-0.047512345	0.029405609	-0.12512219	-0.071256086	-0.08328509	-0.029723797	0.0146702435	0.088818185	0.21957797	-0.022403445	-0.2750645	0.011889226	0.07321181	0.009767327	0.15000853	-0.23414513	0.15917271	-0.06429524	0.10373032	0.3292596	-0.3076821	-0.11442053	0.020905305	0.06565232	0.122845635	-0.13159025	-0.037931796	-0.22609493	0.14286885	0.17504494	0.10276486	0.038056575	-0.09747934	0.09484927	-0.05386529	0.15401506	0.1480667	-0.008110968	0.2115015	-0.48333034	-0.06809033	-0.16184507	0.040569432	-0.002092667	0.10687402	-0.0844295	-0.04928713	-0.055650804	-0.15547097	-0.14318071	0.110849485	0.030359115	-0.0764931	0.081113495	0.035191864	-0.18229495	-0.062241428	0.03202554	0.15097362	-0.04006821	-0.1178252	-0.022912424	0.13781524	0.01997956	-0.09805423	0.0245815	0.00018688291	-0.098853335	0.09000711	-0.17246635	0.027653627	0.08468565
U105	-0.075724766	0.090425745	0.16760151	-0.42611894	-0.13982841	0.027517635	-0.008759584	-0.0618663	-0.0030724723	0.13615146	0.018105865	0.120234184	0.18029279	-0.017037636	0.22450492	-0.10798368	-0.12100348	0.019158274	-0.044953503	0.030717917	0.108940795	-0.018887639	0.25614285	0.2874833	0.06511335	-0.040649675	0.012366138	0.09406382	0.026705291	0.01571105	0.19725753	0.035499413	0.0111066485	0.05522546	0.19031268	-0.074975975	-0.022345431	0.000253262	-0.122772865	-0.2059868	-0.09447038	0.2119888	-0.12503996	-0.07542917	0.008929379	0.0507373	0.019308992	0.0012924895	-0.07612285	0.022173125	0.22549906	0.12625007	-0.07281692	-0.25472525	-0.00022176746	0.051511895	0.0097141825	0.07697332	0.18651356	-0.045487963	-0.058286175	-0.077074155	-0.02188801	0.005596993	0.095550105	-0.119761795	0.029014945	0.0016833928	-0.1459275	-0.0008663833	-0.11160122	0.29647085	0.049970005	0.08611899	0.020418197	-0.22654964	-0.03658487	0.07641862	-0.15797777	0.22023925	-0.08215747	0.121805035	0.0648915	0.088938914	0.11307588	-0.13268988	-0.22853407	-0.024824351	0.18745604	-0.032725092	-0.031255025	-0.12744579	0.0010987185	-0.03208935	0.0060998537	0.14273748	-0.057522748	-0.15971695	-0.14985748	0.051615972	0.05664252	0.055503316	0.093821876	-0.11877409	-0.09125424	-0.11193746	-0.07126854	-0.08964515	-0.04837787	0.118084855	-0.085961826	0.111035705	-0.13053711	-0.022325851	-0.0050640665	0.055862777	0.121597596	0.26785907	-0.07092558	0.17500561	0.12563619	0.02231487	-0.04469747	0.046101123	0.123728104	0.23796722	-0.04809855	0.06390394
U106	-0.018922843	-0.083285004	-0.1789206	0.11501626	-0.049651016	-0.0371193	-0.06409451	0.012964334	-0.04775563	0.0070732087	-0.046677165	-0.05858145	-0.09357555	0.000105998246	0.01406341	0.021469664	0.1560329	-0.0073947217	-0.008805856	0.0017068926	-0.050340883	-0.0058345664	-0.022241056	-0.12284658	-0.019776387	0.051444836	0.0019707978	-0.052467152	0.0060932767	-0.0104234405	0.018973025	0.016443381	0.005041752	-0.044745434	-0.051553585	-0.009217041	-0.040550824	0.027457977	0.09944935	0.042908974	-0.016421163	-0.09976643	0.13093066	0.025559518	-0.0071291802	-0.04798063	-0.04977548	-0.008375346	0.046098497	-0.020574262	-0.09261853	-0.008488958	0.048793275	0.03705922	0.013389043	-0.03829542	0.018966995	-0.013093684	-0.09417588	-0.008370209	0.002618663	0.026231341	0.035984553	0.041728884	0.058037758	0.042624515	-0.09951113	-0.02810595	0.077409945	0.013264533	0.09454824	-0.16541687	0.04817209	-0.04004822	0.016976165	0.15660776	-0.08106487	-0.075057514	0.06881219	-0.024826586	0.03737282	-0.07875948	-0.028223988	-0.11280962	0.03221509	0.089322396	0.11123784	-0.0007674955	-0.043617424	0.05302436	-0.023086349	0.075605385	0.08345866	0.03049304	0.05194378	-0.15690121	0.009394851	-0.00040559098	0.03109773	-0.040256236	0.0032901661	-0.027207946	0.0009120079	0.05089958	-0.023540478	0.003143195	0.022388713	0.049643826	0.0076600835	0.017207861	0.013810039	-0.061254114	0.028604079	-0.00053457916	0.03426488	-0.0355857	-0.06504029	-0.043523658	0.051815014	-0.04500792	-0.05152906	-0.019442221	0.0040152417	-0.051113494	0.011043478	-0.14022654	-0.0005603095	0.006084401
U107	0.018089365	-0.10413667	-0.21802413	0.1336523	-0.028313883	-0.050077844	-0.06781869	-0.006928265	-0.011839766	0.01102611	-0.05535949	-0.09309713	-0.11870803	-0.0013819118	-0.029370107	-0.039074104	0.12792866	-0.054184433	-0.022674622	-0.007185124	-0.092342615	-0.010333911	0.016989667	-0.06852527	-0.03909585	0.07410914	0.015790142	-0.061345454	-0.0084494725	0.015204619	0.04194617	0.010429712	-0.0140753435	-0.04881463	-0.04136423	-0.018758724	-0.060806237	0.05509019	0.064593166	-0.0062221196	-0.05378017	-0.13598594	0.17273708	0.010348465	-0.0018892717	-0.08896191	-0.053899743	0.026180835	0.07116236	-0.00013135513	-0.12743615	-0.03588082	0.024617137	0.020874385	0.0055213487	-0.050686345	-0.010064714	-0.0038119256	-0.100049354	-0.046638634	0.012079725	0.030341253	0.048257902	0.075692326	0.021820875	0.059045378	-0.05945847	-0.022796907	0.05426523	0.01574026	0.07402794	-0.16784224	0.073692024	-0.00804867	0.0144229075	0.17733228	-0.070065275	-0.014882439	0.002101699	-0.015273184	0.055070452	-0.05172658	-0.021086749	-0.16082089	0.053968392	0.063899815	0.18336302	0.029317532	-5.0198927e-05	0.03894051	0.049722627	0.061183065	0.12444713	-0.007491713	0.114694074	-0.18182367	-0.060521327	-0.008862793	0.016922781	-0.06293443	0.03196667	-0.059037738	0.012624506	-0.015550585	-0.042680442	-0.042144135	0.034910273	0.045634035	-0.018774241	-0.027735116	0.027958361	-0.04767844	-0.018832603	0.0215341	0.0046084	-0.047346517	-0.07523633	-0.027234573	0.067221805	-0.07544301	-0.027611457	0.016347269	0.016450634	-0.08540714	-0.00050766766	-0.13795702	-0.026717195	-0.021685801
