	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
U1	0.0074481866	0.03149492	0.008629419	0.006766063	0.1567431	0.006320155	0.004008063	-0.0048646196	0.070169106	0.028009556	0.10118234	-0.07065946	0.103698805	0.063745014	-0.006450256	-0.13889271	0.003657598	0.01881572	-0.1908714	-0.049298793	-0.013578406	0.07102723	0.016293846	0.007975115	-0.0038172535	0.11926132	-0.009323804	0.019381419	-0.084868744	-0.0420537	0.007879587	0.012630076	0.022437312	-0.033889953	-0.0115694115	-0.009649254	-0.011366625	-0.04235745	-0.03172436	-0.026744775	-0.021716675	0.04035691	-0.015916543	-0.008528715	0.0032381471	0.004892946	-0.0060909092	-0.018113786	-0.015700473	0.027907448	0.101686604	-0.0065100687	0.037878994	0.006404088	0.03773014	-0.005332945	-0.0542404	0.07727946	-0.004759411	-0.16544981	0.010011469	-0.014075866	-0.036593065	-0.038729854	0.070374995	0.09175574	0.023022853	-0.0018253317	0.028568517	0.21259493	0.012748605	-0.06986211	0.12370579	0.045168545	-0.05102516	-0.060964454	-0.023071958	0.029902356	-0.0019002561	0.101157546	-0.037521057	0.052128956	-0.0052254237	-0.019695608	0.008318515	0.036899302	0.07842608	0.06912056	-0.07413892	0.0073056673	0.07667044	-0.03899229	-0.05679021	-0.07085482	0.020209758	0.0033985823	0.09589331	0.0046258355	0.046457134	-0.090398565	-0.04494708	0.07817312	-0.06034932	0.063072905	0.084694505	-0.016976357	0.0022732746	0.02917905	-0.03554983	0.10106385	-0.011895897	0.0056974324	0.06567297	-0.028254004	0.045171205	-0.029950341	-0.030823022	0.080579214	0.01912113	-0.0518904	-0.28731662	-0.0486987	0.015524719	-0.12280547	0.030377166	-0.118980296	-0.018515473	0.07868331
U10	0.0449398	0.012187347	-0.033001132	-0.046392802	0.18302952	0.05580061	-0.03592317	0.03417016	0.031027377	0.052637253	0.05088128	0.13339436	0.021708053	0.08798765	-0.030639421	-0.10305687	0.08588763	-0.003705609	-0.10706207	-0.043887954	-0.10380279	0.06564691	0.001215878	0.080578625	-0.0046469	-0.09756135	0.0160004	0.020277947	-0.097506456	-0.085008845	0.013766753	0.11698393	0.040592264	0.08241575	-0.0020581782	0.043794755	0.025009774	-0.08640524	0.038604207	-0.041865773	0.0072698845	0.031377807	-0.058127843	0.030133946	-0.045915168	0.021799942	-0.014505761	0.01299299	-0.0023442698	0.012759147	0.064094685	0.029638208	0.046280146	0.07391571	0.050268676	-0.009166572	-0.047625467	-0.007716505	0.018724766	0.05573421	0.022613697	-0.012956411	-0.084722854	-0.08620383	0.0705367	0.03107775	-0.079344675	0.056661077	-0.022262316	0.11308808	0.06579885	0.02256151	0.05567253	0.04509326	-0.063584015	-0.009216361	-0.031534426	0.055751093	-0.029270247	0.053035505	-0.03572119	0.034952015	-0.01514077	0.018648272	-0.084200844	0.062921725	0.07445264	0.116207555	-0.1093091	0.012342337	0.08375874	-0.117886335	-0.04042992	0.0071297497	-0.04704059	0.057873763	0.09082535	0.011854855	0.065430954	-0.19341405	-0.045450192	0.024688164	-0.04298267	-0.0074713347	0.14535174	0.046612196	0.035922557	0.007354192	-0.022593025	0.09777582	0.0007164341	-0.0013426542	0.15524161	0.07911567	0.091985464	-0.07707114	0.039597735	0.09904655	0.09875615	-0.03664855	-0.3087181	-0.060285095	-0.0018360536	-0.15739095	-0.042075828	0.041205443	0.0012254815	0.14718789
U100	0.103672884	-0.021968864	-0.12155396	-0.12201028	0.10702189	0.09131206	-0.11619454	0.13084489	-0.106217325	0.06473074	-0.082034856	0.41557267	-0.16996115	0.092371315	-0.019723598	0.05520469	0.13164629	-0.0022715225	0.1564858	-0.0044488586	-0.20881596	-0.051600724	0.0038645668	0.20210668	-0.011530484	-0.43044883	0.02663545	0.02186121	-0.033619694	-0.119714156	0.017062802	0.19221951	0.052213065	0.25532365	0.045502707	0.15858515	0.09378157	-0.08320213	0.16430151	-0.0009901596	0.06050482	-0.0048922026	-0.08979971	0.07273602	-0.12117784	0.075728334	-0.017578896	0.074383825	0.07135152	-0.03915501	-0.046843816	0.07576227	0.015468607	0.17379618	0.08479515	0.019351318	-0.024001777	-0.18372513	0.08137274	0.442681	0.0052142562	-0.020808673	-0.09124815	-0.12200619	-0.012205107	-0.1752618	-0.24615021	0.12375419	-0.112033814	-0.14026016	0.14405076	0.19997875	-0.14911218	0.06006721	-0.052412912	0.123425454	-0.04639383	0.08326682	-0.07928423	-0.090415426	-0.048760287	-0.018170057	-0.021557968	0.07496569	-0.21980295	0.066638865	-0.015270631	0.1340091	-0.073622584	-0.009280521	0.05198047	-0.17341454	0.0298727	0.1803605	-0.12515734	0.08904572	-0.031343628	-0.010027145	0.059692867	-0.2656291	0.023337616	-0.092192866	0.042511825	-0.13587552	0.15415318	0.16434503	0.056038782	-0.05852904	0.03288422	-0.017996117	0.023706755	-0.007182251	0.21184786	0.24521263	0.10814257	-0.104032226	0.12765706	0.055906616	0.14338757	0.037810467	-0.19647984	-0.053144705	-0.004913268	-0.08322155	-0.19419453	0.3351754	0.039482746	0.1829086
U101	0.08871721	-0.006247231	-0.07638122	-0.09455884	0.13064228	0.06311807	-0.09181153	0.08123823	-0.044656664	0.0776893	-0.011362119	0.27541545	-0.09372203	0.0804305	-0.019290097	-0.017217357	0.10743045	-0.0156013565	0.024331152	-0.03337386	-0.15432122	0.015231101	-0.0022272654	0.13978094	0.005286063	-0.2734003	0.018265544	0.024392655	-0.07321872	-0.11953485	0.014379319	0.15666825	0.05383255	0.18409786	0.019490493	0.11053744	0.06178766	-0.08814389	0.10800387	-0.023378585	0.048328992	-0.00025698403	-0.079562955	0.051631555	-0.086843014	0.057773232	-0.00016470766	0.05921032	0.04413433	-0.0096619725	0.013522002	0.050185084	0.016024968	0.12060879	0.088551596	0.015868371	-0.039662767	-0.11064813	0.060168322	0.26770073	0.02725861	-0.022858657	-0.08533678	-0.09858529	0.030411229	-0.08690096	-0.18130344	0.09882644	-0.061869893	-0.011022799	0.10672918	0.1174375	-0.032304384	0.04087087	-0.07824463	0.06310974	-0.044748813	0.078065604	-0.059454553	-0.009279853	-0.04609289	0.012592146	-0.020002421	0.061539754	-0.15344359	0.085910015	0.017971063	0.11948003	-0.10302351	0.0013283257	0.08048329	-0.14665696	-0.011669946	0.100393094	-0.07899636	0.086820066	0.015685815	0.010222767	0.07290467	-0.24073403	-0.017719153	-0.032511216	0.006275963	-0.06956854	0.14289136	0.11902167	0.07121512	-0.02530252	-0.004513193	0.034580562	0.012482839	-0.0007654654	0.19819817	0.15819001	0.09610593	-0.09734007	0.074703716	0.0913266	0.10512614	0.010302491	-0.2504509	-0.061175186	-0.010042807	-0.11280418	-0.124102205	0.19399548	0.024364375	0.17803039
U102	0.101894	-0.018666243	-0.11212213	-0.114605084	0.103981234	0.08193895	-0.114595786	0.12311534	-0.0986198	0.06754676	-0.07413231	0.38587984	-0.15933119	0.08864237	-0.013451194	0.046955183	0.11988833	-0.0018088537	0.14122579	-0.010799846	-0.19455077	-0.045523945	0.0043355785	0.18848805	-0.0077837193	-0.39859137	0.025130108	0.022590565	-0.03462068	-0.11857933	0.014584664	0.17974485	0.052712608	0.24241677	0.04186021	0.15121199	0.08664325	-0.08039928	0.15195729	0.00040904037	0.059432782	-0.0012731049	-0.085128166	0.06779066	-0.11476098	0.07408706	-0.012152607	0.07067733	0.06734409	-0.03566379	-0.03811422	0.073445246	0.012817467	0.16539556	0.08573195	0.017454172	-0.0276287	-0.1724452	0.07839115	0.41312328	0.00807897	-0.022274131	-0.08717216	-0.11392139	-0.0067694522	-0.16434726	-0.23313801	0.11910015	-0.1022271	-0.124501355	0.13641946	0.18928513	-0.13515933	0.05988196	-0.05661147	0.115215614	-0.04596433	0.082430184	-0.07617299	-0.08066307	-0.04704663	-0.013853395	-0.020745397	0.073043846	-0.20703858	0.06630787	-0.015631396	0.12554918	-0.07412165	-0.009546739	0.0535168	-0.16009443	0.022837756	0.16510424	-0.113011286	0.08576305	-0.02881864	-0.0038167858	0.060036376	-0.25138116	0.018527733	-0.081092134	0.03693428	-0.123825856	0.15041277	0.15812199	0.057038993	-0.052023627	0.02840764	-0.016168216	0.020630129	-0.0049548293	0.20134203	0.22743249	0.103468865	-0.0991417	0.114519514	0.059030116	0.13077714	0.038808793	-0.18973263	-0.051227614	-0.002018656	-0.081297226	-0.18035711	0.3077539	0.035666242	0.17865378
U103	0.12293806	-0.0059273983	-0.09608646	-0.112931535	0.20355274	0.079775035	-0.121932484	0.110663876	-0.054551322	0.106043756	-0.007397216	0.3532839	-0.10073478	0.116398744	-0.012770254	-0.03535118	0.13178003	-0.017995369	0.003223313	-0.055082906	-0.20276593	0.023485547	0.0006639585	0.17384589	0.0005210133	-0.3375059	0.021174435	0.04655154	-0.104501225	-0.16413154	0.017838767	0.19320962	0.07442393	0.23610336	0.008860103	0.15569653	0.06791593	-0.11433197	0.13451079	-0.0266276	0.066161096	0.013066646	-0.10078589	0.072724886	-0.11645113	0.08300222	-0.005768607	0.07888044	0.05382509	-0.018040672	0.041031096	0.06890098	0.014893632	0.14422368	0.12953891	0.023575634	-0.0611833	-0.14092813	0.085176796	0.32789472	0.031066515	-0.04006487	-0.109267466	-0.13608989	0.057831265	-0.119220555	-0.22826348	0.13672708	-0.07546953	0.012287214	0.13184223	0.14536537	-0.030356593	0.06302124	-0.12188496	0.06614206	-0.06908134	0.10219618	-0.08010704	-0.0011088182	-0.06540921	0.021774756	-0.032471973	0.082305044	-0.2048065	0.11232399	0.018384343	0.15674353	-0.14507961	0.0070266887	0.104460984	-0.18365927	-0.02847482	0.11697826	-0.09093432	0.118645325	0.032881517	0.03369294	0.09900962	-0.32140514	-0.02636989	-0.023201158	0.0055155805	-0.0790974	0.2034618	0.15995438	0.093078494	-0.024381725	-0.004288002	0.04850701	0.004303204	0.008570464	0.24325801	0.1909848	0.13321094	-0.13087301	0.08733439	0.13182889	0.13196813	0.019743932	-0.34401894	-0.08095801	-0.010344418	-0.16268192	-0.16490969	0.23005094	0.032363374	0.251172
U104	0.094748564	-0.01071857	-0.10042388	-0.103666596	0.12918116	0.07863851	-0.1013122	0.11084158	-0.074291535	0.07007306	-0.048986573	0.34884578	-0.12541524	0.09231997	-0.013527602	0.014808698	0.11617354	-0.004686022	0.087948695	-0.019898731	-0.1821289	-0.019601775	0.0018830309	0.17214309	-0.006562721	-0.35056296	0.022462862	0.0249973	-0.05144696	-0.1175084	0.015393127	0.17240152	0.05068195	0.21934858	0.032723553	0.13557403	0.07713262	-0.084686406	0.13269177	-0.012504402	0.05339963	0.0046260958	-0.082215615	0.061189562	-0.10384381	0.067669	-0.01254724	0.062073167	0.05556656	-0.025594646	-0.014159899	0.067017764	0.021654535	0.14912279	0.08385271	0.0139646605	-0.034855563	-0.1439297	0.06781959	0.35367694	0.012877722	-0.021358034	-0.09068922	-0.11528669	0.010373992	-0.12903176	-0.21117668	0.11033579	-0.08814328	-0.07568386	0.12383865	0.15966718	-0.09415299	0.060045745	-0.06310642	0.089753054	-0.046335697	0.08141046	-0.07043075	-0.05366708	-0.04729221	-0.00082026003	-0.016739428	0.06658867	-0.188638	0.06965754	0.000979431	0.12918061	-0.089051485	-0.0047420943	0.062328696	-0.15814464	0.0070253713	0.13727371	-0.1020812	0.086292855	0.00030463748	0.0018797573	0.06475741	-0.25300387	0.0045840894	-0.05832581	0.021425502	-0.10255099	0.15485601	0.14105184	0.057207722	-0.04126899	0.017658774	0.010449298	0.016658047	-0.0015391709	0.19966994	0.2039948	0.10404004	-0.10099877	0.099195234	0.069952026	0.12700506	0.024451056	-0.22957121	-0.05615348	-0.0026257816	-0.10239063	-0.15859723	0.2594606	0.029596593	0.18293151
U105	0.0026375386	-0.04209162	-0.0031476193	0.0012094022	-0.047792938	0.012433254	-0.027937977	0.010891199	-0.008236503	0.00069888774	0.0036566928	0.032980382	-0.043281388	-0.008249251	-0.00842152	0.029922422	-0.031056713	-0.0010336292	0.04470429	0.009750515	-0.038234875	-0.0012968895	0.0068301056	0.0052250726	-0.012029453	-0.02177738	0.0010929897	-0.0032111655	0.013015995	-0.009497258	0.002522258	0.019779645	0.00211055	0.019817214	-0.0045012645	0.005300392	-0.004956181	0.0019035456	0.007068803	0.026334308	-0.007220337	0.0022429465	-0.01238809	0.021244967	-0.01947809	0.027300872	-0.0059471284	0.012933637	0.036795214	-0.022029925	-0.00067466777	0.029741712	-0.01853469	0.018222515	0.020796543	-0.0045566633	-0.0037154986	-0.028070722	0.0003680922	0.064129375	-0.003759271	0.0066792555	-0.009936667	0.0129848225	0.005372786	-0.0344136	-0.024673985	0.025620705	0.0072189355	-0.05614735	0.011828372	0.029465992	-0.030984543	0.0039421655	0.00015173852	0.034334455	-0.0035446067	0.0006366931	-0.0016381466	-0.00558052	-0.008458508	0.020195503	-0.011141501	-0.0020354183	-0.023952119	-0.026213802	-0.017679717	-0.011518856	0.037078213	0.004332273	-0.011337619	0.007076319	-0.0005868671	0.027348548	-0.0031124488	-0.0073744874	-0.019019444	-0.025950188	0.010180201	-0.004797469	-0.005568232	-0.011363933	-0.010488026	0.0049874573	0.0120772235	0.0117882565	-0.0054925987	0.0036569787	-0.003400337	-0.026121719	-0.008908197	-0.005464412	-0.011036933	0.020473054	0.020273767	-0.012939466	0.032381494	-0.0075386483	-0.00035485066	0.008009142	0.05259317	-0.0026465096	0.015665589	0.01726105	0.0009239288	0.05016718	-0.014412149	0.011066555
U106	0.07667543	-0.010352409	-0.054735664	-0.060933564	0.06695316	0.032287378	-0.08153721	0.069330394	-0.058670636	0.061106544	-0.025139103	0.19414897	-0.09507264	0.055166088	0.013791778	0.016218457	0.051801488	-0.008963034	0.059443444	-0.037100434	-0.1067352	-0.01080426	-0.00021769246	0.09984714	-0.005573879	-0.20818134	0.01176162	0.022974214	-0.029158967	-0.093075156	0.0016892646	0.10515443	0.04503913	0.14723742	0.016833028	0.09933852	0.040610913	-0.05422132	0.08232836	-0.0018533145	0.04367896	0.0009958087	-0.05324614	0.04204397	-0.07601932	0.06407158	0.009037297	0.052451227	0.044754744	-0.02577245	0.008153069	0.047341242	-0.003763056	0.08685591	0.07231483	0.015043538	-0.02967729	-0.100633495	0.051922787	0.22927105	0.017177843	-0.026264828	-0.05001507	-0.06221114	0.015117387	-0.0944336	-0.1398656	0.068433024	-0.047208693	-0.04863578	0.07313818	0.10866361	-0.05224273	0.023032956	-0.06746173	0.0566401	-0.03747771	0.05640962	-0.043195367	-0.024255112	-0.028593803	0.003997733	-0.01205015	0.058507703	-0.122065425	0.054697588	-0.027379014	0.07314877	-0.057508767	-0.0029743798	0.046918362	-0.081164256	-0.0073615937	0.080586255	-0.050799463	0.05383058	-0.019048896	0.0150348805	0.04639481	-0.1568876	-0.010245571	-0.03045233	0.014288174	-0.055044025	0.09698166	0.10690624	0.050134126	-0.02234469	0.005349187	-0.010576395	0.00057521556	0.006741499	0.12060059	0.11684188	0.057578046	-0.06415161	0.04933747	0.058765344	0.048698626	0.03374807	-0.11879821	-0.032122497	0.009395192	-0.05327519	-0.10107746	0.15197772	0.02094834	0.13088357
U107	0.03444336	0.012586918	-0.012714354	-0.044863466	0.24746014	0.0718569	-0.020050552	0.023433859	0.077190846	0.05018831	0.101073414	0.09953661	0.07950326	0.11058715	-0.051156875	-0.1632393	0.09269864	0.010973382	-0.19921544	-0.06260762	-0.11462962	0.097404316	0.009372292	0.07923293	-0.015320494	-0.01819997	0.014573384	0.016109614	-0.13396959	-0.09436782	0.021495469	0.11895528	0.037056345	0.059087254	-0.017188348	0.02353844	0.00980373	-0.10533134	0.0070609804	-0.053393517	-0.022088261	0.052572895	-0.0665217	0.037976786	-0.033945646	0.008233355	-0.029080143	-0.00060471985	-0.025413733	0.021351183	0.10705339	0.023028556	0.061326627	0.07609732	0.05052932	-0.019236084	-0.064639755	0.041127205	0.0027405922	-0.04055614	0.022392616	-0.007134756	-0.10409276	-0.10502027	0.10568393	0.08331522	-0.044861645	0.059868425	0.004570078	0.21874094	0.07116458	-0.015946992	0.10877266	0.06149466	-0.07003519	-0.036657695	-0.031987544	0.06708618	-0.018863335	0.09970547	-0.04549223	0.06223785	-0.024142295	-0.007200922	-0.07050607	0.059955485	0.12755366	0.13596661	-0.1382052	0.013121427	0.10076703	-0.13076293	-0.05899871	-0.029387895	-0.04983081	0.05819916	0.14745808	0.01642397	0.09007731	-0.21671544	-0.07190818	0.04957242	-0.08533014	0.022504557	0.172932	0.016632693	0.025582872	0.020918116	-0.043790318	0.15237263	-0.011058349	-0.0069208746	0.16639102	0.05785687	0.120678365	-0.08955779	0.036294486	0.12598965	0.12226233	-0.07119356	-0.42093545	-0.08293098	0.01236997	-0.21744607	-0.0044724513	-0.022508178	-0.015542081	0.1756373
