	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
U1	0.08992346	-0.06587795	-0.0017244956	0.02400859	0.14586674	0.0015168925	-0.02457727	-0.0001506398	0.0037152676	-0.013056643	0.12871452	0.17514972	0.014970277	-0.022365956	0.03183267	0.01319216	0.0044222362	-0.10452306	0.070996046	0.014227195	0.0479156	0.0463385	0.026884628	-0.032303482	0.038458772	-0.056683138	-0.07910212	-0.0035856692	0.058526188	-0.0052567767	0.020790836	-0.050123226	-0.07003899	-0.049540028	0.07080024	-0.05270611	0.028634587	-0.031180445	0.024613269	0.02456296	0.011934857	0.052928228	0.03913197	0.019641375	0.03785311	0.03972622	0.039424673	-0.05014185	-0.004135583	-0.0008959705	0.08162908	-0.0009296102	0.026171912	0.11043462	-0.011281495	0.079515874	-0.072812825	0.047195185	0.008805547	0.052665807	-0.055406258	0.0012399586	-0.07253326	0.006003948	-0.0052366857	-0.15789194	0.06473268	0.039145738	-0.06464845	-0.02794049	0.13018677	0.032045655	0.054809965	0.009870698	0.068291746	-0.09076879	0.062125348	-0.05853548	-0.1386722	0.0056679305	0.016371442	0.023245787	0.008858279	-0.058292188	0.07376031	-0.096003756	0.0965088	0.026481386	0.116442434	0.031949535	0.014378775	0.037163187	0.0527699	-0.09026036	0.0003098746	0.026429312	-0.033505846	-0.026955316	-0.059425954	-0.064155735	-0.083548196	-0.040278107	0.04227634	0.006998429	0.088929795	-0.004851579	-0.09267375	0.18656336	0.080390766	-0.15527444	0.0031117788	-0.026968425	-0.021783894	-0.019639907	-0.010155937	-0.06697303	0.003531956	0.03728984	0.01672769	0.0022882614	-0.08463575	-0.0117588565	0.0008892333	0.010307139	-0.044174276	-0.07155415	-0.0034059912	0.00039091008
U10	-0.019622382	0.014145354	0.0052851196	-0.013193986	0.10959614	0.009633148	-0.008266465	-0.026578989	0.023955727	-0.00056603923	0.06447729	-0.04243096	-0.013224741	-0.013367099	0.007029835	0.018991804	0.016183974	0.03580542	-0.0309026	0.012010078	0.010181012	-0.009221188	-0.026651924	0.009960743	-0.027642934	0.024637612	-0.047135722	-0.008564977	0.006168487	0.011466755	0.026961802	0.027576448	0.012005268	0.0573163	0.025197394	0.023373105	-0.005414052	-0.013752317	0.013255311	0.015567779	0.019124985	-0.01267487	-0.0034038003	0.0021080505	0.1361847	0.047974423	0.011383993	-0.023241412	0.0011344985	0.02147403	0.033583615	0.01899518	0.029922385	0.046102032	-0.0030134073	0.0034775238	0.04240016	0.035441913	-0.012385453	0.019673428	0.018807024	0.04620632	-0.09027585	0.011989942	-0.00756796	0.07473305	0.054224525	-0.040618975	0.0126219895	-0.015094439	-0.07512121	-0.111047655	-0.027831191	0.015930697	-0.026165375	-0.09948622	0.010071486	0.016338473	0.20500779	0.007665864	-0.022333644	0.0038905053	0.029135557	-0.024798507	0.06323155	-0.05049021	-0.015557315	0.0047796164	0.009927613	0.029693991	0.022025904	-0.002468464	0.042283732	0.014349397	0.025879407	-0.012801463	-0.0075148307	-0.012745393	-0.047733407	0.024705658	0.03620252	-0.015297352	0.0036779263	0.021729335	0.00013988395	0.014744853	-0.06581376	0.023625776	-0.02040121	-0.08172214	-0.031666137	0.0021364521	-0.024977753	0.06753	-0.006855934	0.002799103	0.008703261	0.031399302	-0.007226388	-0.010064705	0.056798972	-0.008284988	-0.02167562	0.051176697	-0.006567153	0.017682489	-0.005895331	0.033016156
U100	-0.17106877	0.15736733	-0.07748626	-0.021966126	-0.2261154	0.015353518	0.06244504	-0.04096132	0.004873354	0.014284395	-0.1672172	-0.32368708	-0.035189245	0.053643487	-0.054147884	-0.049865708	-0.04404308	0.16931264	-0.14941896	-0.036730915	-0.107725546	-0.08203176	-0.027123706	0.042010494	-0.07331231	0.054471277	0.08791264	0.07265444	-0.111737825	0.062672585	-0.006925812	0.12403977	0.12366825	0.08726216	-0.15718947	0.20391446	-0.026790433	0.119367816	-0.06955083	-0.016004577	0.03596493	-0.110206634	-0.0365997	-0.025384726	0.027742438	-0.023324845	-0.031968147	0.092741616	-0.00045259297	-0.01645317	-0.14446265	0.008179678	-0.00047471724	-0.116322234	-0.020772457	-0.08415326	0.1297774	-0.0031091536	-0.007950067	-0.12180163	0.10462735	-0.0054110466	0.013985618	0.06574624	0.026688753	0.24303256	-0.081291534	-0.07607462	0.13260858	0.011257617	-0.25146997	-0.052872457	-0.009112785	-0.08052826	-0.14196108	0.040743023	-0.08288581	0.07155719	0.22026578	-0.020657208	-0.0142835025	-0.009743829	0.04909732	0.110645674	-0.11964882	0.119869485	-0.17233224	-0.041256934	-0.21337426	-0.015949119	-0.011817176	-0.033200696	-0.08137048	0.16888489	0.014722296	-0.049802765	0.036355477	0.023076914	0.13113452	0.12840945	0.11977224	0.05214805	-0.062463976	0.044708945	-0.21245228	0.012408566	0.10971114	-0.30948707	-0.13388354	0.24614672	-0.0099468	0.06992916	0.054210387	0.0681702	0.008880948	0.110859156	0.0105779	-0.051418424	-0.0031696116	-0.021831721	0.20423746	0.0424367	-0.015983038	0.0024914145	0.011600931	0.09253372	0.024171904	0.036402445
U101	-0.024805479	0.026186103	-0.01311587	-0.01401604	-0.06341052	0.005012069	0.02771427	-0.019871058	-0.009823604	0.0014798092	-0.030930605	-0.048487395	-0.0007807869	0.015248936	-0.004704696	-0.018285355	-0.008782374	0.020421924	-0.0446525	0.0003575422	-0.025359502	-0.013314788	-0.0070539596	-0.00086466037	-0.00034173002	0.016714497	0.020298187	0.022701781	-0.025675286	0.011333178	-0.0015545161	0.011069319	0.031820245	-0.00075565465	-0.030605122	0.052365128	-0.010406494	0.02430238	-0.010350997	-0.006144218	0.01740595	-0.013038177	0.0049398923	-0.0005115927	0.00086770486	0.017592678	-0.004852165	0.022444487	-0.009030202	-0.0062654307	-0.011168564	0.0008413724	0.0022284202	0.00938208	-0.005944374	-0.0024823847	0.0150385685	-0.0034905046	-0.000983323	-0.029767495	0.023021039	-0.00628771	-0.019859869	0.02654301	0.010266344	0.022480847	-0.022294862	0.018524352	0.020802546	-0.0043679383	-0.024987636	0.03417597	0.025852626	-0.022689996	-0.016954893	0.019351853	0.0014438923	0.0076462887	-0.014018051	-0.005702717	-0.0149976965	-0.010630157	0.02211751	0.027852546	-0.043723606	0.015149973	-0.026056232	-0.031789966	-0.03264526	0.010751414	0.0047419034	0.010453697	-0.014019837	0.019455059	0.0123879025	-0.020095402	0.013522474	0.0015521386	0.027307263	0.03213592	0.005386417	0.0043919114	-0.0073022386	0.025033915	-0.0433842	0.008031813	0.02900882	-0.06044376	-0.0022118492	0.07204754	-0.0020465623	0.00233857	0.008399265	0.012758251	-0.011164617	0.017119484	-0.0052865623	-0.008182203	0.0029964587	-0.017050687	0.032965634	0.024414882	-0.010856505	0.0027754002	0.0016863244	-0.00043468457	0.014871192	0.01281639
U102	-0.14651248	0.12740587	-0.068477586	-0.01521327	-0.24981314	0.012529429	0.06901734	-0.039599735	0.001607635	0.022878984	-0.16116239	-0.27226228	-0.028606763	0.047767173	-0.042467833	-0.036583945	-0.043634012	0.12523913	-0.14732733	-0.030990519	-0.09512574	-0.081580944	-0.02952349	0.04097455	-0.05162516	0.046925336	0.08940108	0.07255221	-0.10756193	0.043458134	-0.003011968	0.091554895	0.10689388	0.066060156	-0.14215016	0.18529017	-0.021522561	0.10954804	-0.06825812	-0.013862439	0.029476764	-0.08784954	-0.035389315	-0.015879104	-0.022711523	-0.014838809	-0.037498623	0.07893954	-0.007529444	-0.008461128	-0.12689799	0.012176437	-0.0020082877	-0.10891563	-0.01802732	-0.070192136	0.09794595	-0.022884937	-0.014814652	-0.107636854	0.09203479	-0.0048733903	0.046658024	0.06810528	0.0289306	0.17488976	-0.09067371	-0.032364346	0.11180782	0.010606479	-0.18736824	0.0012994818	-0.012694591	-0.07256554	-0.11810193	0.08312095	-0.080046974	0.064882874	0.11527653	-0.0104124565	-0.012386957	-0.008995469	0.051484298	0.104932584	-0.14952394	0.12625341	-0.15751588	-0.055751465	-0.19701146	-0.019058406	-0.0072978754	-0.03122753	-0.08193668	0.14477913	0.024674073	-0.042243853	0.023679055	0.021500718	0.10670675	0.1185381	0.087830424	0.041342594	-0.066486396	0.041630425	-0.17852806	0.0036023557	0.12389164	-0.29499313	-0.09259167	0.2697546	0.0071667647	0.061284482	0.04559409	0.044934727	0.00879314	0.103645355	0.005457693	-0.054753695	0.002346321	-0.041332223	0.14759831	0.042610295	-0.017933488	0.0054469155	0.015887622	0.07081012	0.021009887	0.026444132
U103	-0.087451234	0.06745571	-0.04287309	-0.016286595	-0.34680519	0.0005032668	0.09324177	-0.036925696	-0.008980746	0.03950662	-0.20971417	-0.16550942	0.0009798643	0.03359278	-0.0044468353	-0.014254011	-0.028496303	0.028368596	-0.17176569	-0.030956	-0.07754883	-0.0775706	-0.05113136	0.022208499	0.01074346	0.07623811	0.11359277	0.073735714	-0.09620453	-0.003253431	-0.003679677	0.008483116	0.08012297	0.0023691133	-0.14042893	0.15417686	-0.023373824	0.06123261	-0.050933715	-0.039931823	0.023982449	-0.04148549	-0.03032026	-0.010951467	-0.1741324	0.03382925	-0.040080577	0.034739077	-0.032469094	0.009925911	-0.076887846	0.012564053	0.0008736666	-0.112313196	0.00026094355	-0.07019769	0.024753258	-0.11106959	-0.010134629	-0.08188129	0.083243944	-0.016894525	0.14518933	0.08047767	0.039336767	0.027205288	-0.12727429	0.07522638	0.05450095	0.027566373	-0.021890253	0.16944377	-0.00086555793	-0.043604545	-0.07111927	0.2219087	-0.07077702	0.060276378	-0.16623966	-0.016070725	-0.005995945	-0.012986162	0.07335351	0.10763304	-0.23895997	0.18663086	-0.14320698	-0.1143986	-0.17524776	-0.012129066	-0.0035342872	-0.058465242	-0.112517975	0.08538218	0.06645489	-0.02033695	0.010109084	0.011980176	0.059236124	0.09984628	0.016311124	0.032258894	-0.08386476	0.060434006	-0.10093361	-0.010968142	0.19257423	-0.26346564	0.021685626	0.38820267	0.047684986	0.01771408	0.038967416	-0.025863368	0.007968061	0.08942756	-0.015983624	-0.07816344	0.009648323	-0.09754642	0.023989754	0.055804074	-0.013390564	0.009975646	0.036978196	0.008524728	0.017844027	-0.0039127856
U104	-0.15605861	0.13966984	-0.06761696	-0.022523755	-0.22004771	0.012490064	0.061705675	-0.035889152	0.003424325	0.013328828	-0.16454995	-0.2927858	-0.029237444	0.05177798	-0.053331085	-0.036108002	-0.038245715	0.15542813	-0.14209121	-0.030413903	-0.09827221	-0.07836641	-0.029205041	0.0480043	-0.062985905	0.05386328	0.08878871	0.062559284	-0.101352215	0.050121583	-0.0082292585	0.11040555	0.11292875	0.08500415	-0.14211287	0.1801052	-0.026432117	0.10282942	-0.069057725	-0.017204974	0.026927484	-0.0955144	-0.033949338	-0.021676643	0.010419103	-0.02416688	-0.03970675	0.08548139	-0.0033493529	-0.009853245	-0.13013443	0.006540334	-0.004423783	-0.11346519	-0.018654816	-0.08585423	0.11763477	-0.017734213	-0.0069441358	-0.10844484	0.095771626	-0.0046579535	0.032990403	0.051798984	0.02271116	0.22031309	-0.08118262	-0.062505536	0.11787779	0.012882076	-0.22364539	-0.03969463	-0.018640267	-0.068695545	-0.12956512	0.058185138	-0.08336028	0.07570065	0.19113173	-0.015405265	-0.009987231	-0.014116549	0.04006017	0.10056735	-0.11728013	0.1182968	-0.1578659	-0.038783737	-0.20002839	-0.017315846	-0.011035912	-0.032855056	-0.074470416	0.15068288	0.016156463	-0.045875806	0.03393617	0.023685656	0.11805404	0.117172286	0.11380944	0.052825324	-0.06078887	0.03209211	-0.18853581	0.010844715	0.11229265	-0.29086867	-0.12138526	0.2384334	-0.0066774217	0.060750864	0.04917468	0.058155477	0.016432997	0.1065892	0.0058661844	-0.05092525	-0.007663324	-0.020236325	0.17229661	0.037380066	-0.008760299	0.0035373745	0.016365968	0.08651015	0.020398708	0.025186809
U105	-0.03621183	0.05728021	-0.04649279	0.028482964	0.11979858	0.012690702	-0.054021455	-0.01913736	-0.015656935	-0.0067337337	0.05402141	-0.108251356	0.0053003365	-0.033700228	-0.023958523	0.0015212363	-0.039420724	0.084871046	0.014796524	0.0018305217	0.001806984	0.014413616	0.019914847	0.011130409	-0.058303457	-0.034647886	-0.050889626	-0.008164061	-0.034798384	0.061636887	0.02692884	0.06528279	0.043987863	0.06907399	-0.01573179	0.051373724	-0.007340314	0.049140982	-0.0407754	-0.0018051106	-0.03192718	-0.027520418	-0.01375921	0.019364428	0.12058968	-0.061221913	0.010863376	0.042538926	0.010334355	-0.005924467	-0.04550718	-0.0023464903	0.0035215379	0.003837346	0.017168425	0.029545855	0.10394396	0.079910465	0.017760864	-0.04029767	0.01919429	0.01701529	-0.103526875	0.016011959	0.0010593124	0.10968671	0.01943359	-0.113380685	0.054242056	-0.020684803	-0.13267694	-0.1599444	0.0165792	-0.027857674	-0.04274057	-0.12269847	-0.045262907	0.021158013	0.21299103	0.0033506854	-0.002445036	-0.0046019275	-0.0009131385	-0.008261274	0.07307585	-0.0601614	-0.015486293	0.09245161	-0.007597287	0.015773982	-0.0033773705	0.028977823	-0.0060888287	0.08116973	-0.036471173	0.019883843	-0.012764331	-0.01774518	0.02032734	0.0058338395	0.029731646	0.04045334	0.0116875	0.0040552327	-0.03627496	0.012215813	-0.054108746	-0.017388757	-0.07635654	-0.109026626	-0.03803893	0.01483087	-0.010078084	0.04958636	0.022214845	-0.008428807	0.063753106	0.024252374	0.005030201	0.04714734	0.08264796	-0.011852013	0.009820604	-0.019803913	-0.034698807	0.03923296	-0.0048642303	0.039947446
U106	-0.054209355	0.07831233	-0.026745342	-0.0068221753	0.05165256	0.017443888	-0.002801374	-0.019715015	0.008217434	-0.011663127	0.018299412	-0.12192645	-0.010421066	0.0036195833	-0.02814494	-0.021737225	-0.010751469	0.12024177	-0.031308632	-0.007982818	-0.013815165	-0.0037915031	-0.0022084666	0.007479089	-0.047803942	0.013618242	-0.032204732	0.0064019267	-0.033126373	0.065280266	0.0072525144	0.08801654	0.04170759	0.06014501	-0.034997705	0.08196578	0.005450004	0.031699255	-0.019761108	-0.007612435	0.02218524	-0.06763539	-0.0044181766	0.009561823	0.14460312	-0.014130477	-0.02112928	0.02679126	0.018780049	-0.031425644	-0.032273334	0.004395594	-7.3567964e-05	0.0050930367	0.006437579	0.0013399748	0.08828203	0.07008473	0.0065495884	-0.043218043	0.045082957	0.0027551434	-0.12952359	0.038739864	0.0025706922	0.15859146	0.00083078817	-0.081122726	0.064081386	0.0046898457	-0.1658906	-0.13344984	0.025287116	-0.027455224	-0.060062855	-0.106023446	-0.00728151	0.02792247	0.24584901	-0.023212152	-0.0048720175	-0.003278292	0.023388665	0.013860496	0.051798783	-0.031694934	-0.050451063	0.049472474	-0.03166004	0.027464882	-0.0007546324	0.011839965	0.0075300047	0.0652339	-0.020958396	-0.015868643	0.017514111	-0.012417344	0.043332808	0.0334526	0.06687385	0.0048381384	0.0035959478	0.017868593	-0.08980794	0.013506089	-0.035949398	-0.04980381	-0.08168536	-0.047696196	-0.028659292	0.015709486	0.013218585	0.04506046	0.00030352175	0.031319026	0.022414548	0.030185997	-0.0064728176	0.027064588	0.13710636	0.00976691	-0.011518379	0.003170934	-0.013884472	0.042611465	-0.0076012304	0.031672027
U107	-0.035518054	0.0049538296	-0.023103066	-0.026548432	-0.440227	-0.0061726845	0.14187132	-0.031724952	-0.016276876	0.051338468	-0.2052748	-0.02623228	-0.007566591	0.06505687	0.021489039	-0.015978973	0.0014552623	-0.077302195	-0.18365026	-0.0200764	-0.075833686	-0.0931167	-0.057909966	0.02093176	0.06874768	0.062224947	0.15341723	0.09238846	-0.082887195	-0.053109467	-0.006984108	-0.07184909	0.0450136	-0.06502494	-0.10687515	0.12362349	-0.0018200921	0.041564252	-0.037163775	-0.015954537	0.030874645	0.011285999	-0.008557234	-0.015213037	-0.31025302	0.0762032	-0.04160431	-0.0014287969	-0.045359805	0.004576732	-0.051978797	0.020816393	0.01066417	-0.07980065	-0.015201409	-0.050360948	-0.08475325	-0.1691386	-0.037120897	-0.04163795	0.04749051	-0.023015365	0.23231463	0.10383489	0.060241964	-0.15137202	-0.15671231	0.2088628	-0.018042497	0.0011102501	0.14116618	0.35287583	0.0020946627	-0.036972404	-0.011216648	0.3357189	-0.033176508	0.024026178	-0.44710806	0.0016387426	-0.010069816	0.000260527	0.08556217	0.107045874	-0.33917093	0.2122417	-0.11692023	-0.1820651	-0.16622733	-0.040291622	0.0035722263	-0.058924578	-0.12290056	0.024809107	0.080804095	-0.035891775	0.0049942452	0.04405883	0.023193209	0.09100065	-0.057402287	-0.012893812	-0.07120873	0.06301212	-0.061904736	-0.040143963	0.23531137	-0.26615095	0.11516182	0.46150464	0.09665184	0.008168321	0.04296422	-0.07741326	-0.011968775	0.07180607	-0.06359527	-0.10030416	0.019189717	-0.143428	-0.09749205	0.07667838	-0.04333303	0.029234786	0.05589128	-0.03770208	0.014977019	-0.023390835
