from_id	to_id	weight
U447	U601	1
U509	U18	1
U447	U601	1
U66	U525	1
U484	U32	1
U77	U482	1
U81	U213	1
U834	U293	1
U513	U660	1
U608	U225	1
U447	U601	1
U484	U18	1
U543	U32	1
U526	U959	1
U654	U288	1
U446	U506	1
U295	U348	1
U326	U117	1
U142	U602	1
U2	U978	1
U2	U207	1
U526	U32	1
U471	U571	1
U730	U18	1
U691	U117	1
U308	U731	1
U608	U225	1
U22	U286	1
U194	U63	1
U441	U306	1
U697	U250	1
U663	U447	1
U663	U506	1
U298	U491	1
U298	U680	1
U22	U1	1
U298	U811	1
U298	U811	1
U330	U730	1
U298	U385	1
U1	U65	1
U1	U169	1
U169	U1	1
U1	U65	1
U1	U169	1
U678	U486	1
U235	U767	1
U235	U594	1
U136	U288	1
U22	U266	1
U22	U326	1
U469	U842	1
U757	U612	1
U741	U572	1
U532	U525	1
U947	U302	1
U512	U117	1
U294	U683	1
U659	U393	1
U594	U339	1
U201	U594	1
U314	U65	1
U182	U12	1
U117	U57	1
U201	U46	1
U201	U594	1
U201	U433	1
U201	U546	1
U594	U235	1
U142	U602	1
U393	U659	1
U201	U793	1
U218	U120	1
U218	U372	1
U64	U615	1
U602	U142	1
U64	U615	1
U28	U539	1
U65	U314	1
U60	U294	1
U163	U840	1
U64	U615	1
U319	U235	1
U22	U27	1
U9	U26	1
U65	U314	1
U201	U594	1
U201	U281	1
U117	U691	1
U532	U525	1
U380	U521	1
U512	U117	1
U288	U594	1
U117	U314	1
U288	U136	1
U269	U667	1
U314	U117	1
U117	U314	1
U25	U386	1
U140	U680	1
U117	U314	1
U525	U532	1
U56	U1231	1
U525	U494	1
U974	U18	1
U117	U70	1
U314	U65	1
U12	U14	1
U65	U314	1
U767	U235	1
U314	U65	1
U13	U553	1
U506	U446	1
U553	U13	1
U117	U57	1
U602	U142	1
U56	U1231	1
U22	U27	1
U30	U21	1
U6	U657	1
U327	U158	1
U120	U660	1
U385	U415	1
U385	U504	1
U587	U1238	1
U660	U120	1
U176	U63	1
U120	U660	1
U9	U26	1
U329	U447	1
U660	U120	1
U784	U266	1
U193	U973	1
U129	U267	1
U660	U120	1
U36	U362	1
U660	U513	1
U66	U525	1
U36	U1220	1
U446	U22	1
U510	U32	1
U394	U321	1
U3	U780	1
U46	U295	1
U144	U384	1
U55	U1069	1
U90	U158	1
U55	U30	1
U68	U36	1
U90	U278	1
U64	U615	1
U138	U176	1
U591	U820	1
U121	U288	1
U204	U415	1
U190	U268	1
U567	U159	1
U10	U190	1
U627	U656	1
U144	U384	1
U401	U18	1
U66	U366	1
U90	U158	1
U29	U525	1
U29	U341	1
U29	U783	1
U29	U513	1
U29	U581	1
U820	U591	1
U73	U691	1
U30	U55	1
U281	U222	1
U318	U923	1
U159	U141	1
U159	U567	1
U237	U437	1
U27	U300	1
U21	U30	1
U748	U747	1
U842	U469	1
U447	U663	1
U12	U659	1
U30	U21	1
U835	U634	1
U757	U1105	1
U338	U144	1
U634	U835	1
U30	U55	1
U305	U590	1
U30	U18	1
U98	U119	1
U164	U71	1
U98	U267	1
U415	U204	1
U415	U326	1
U415	U796	1
U1130	U295	1
U144	U384	1
U969	U506	1
U421	U75	1
U468	U55	1
U260	U840	1
U567	U159	1
U108	U973	1
U108	U159	1
U660	U120	1
U2	U207	1
U37	U381	1
U12	U18	1
U634	U835	1
U22	U1105	1
U369	U297	1
U115	U397	1
U47	U84	1
U883	U183	1
U224	U957	1
U267	U525	1
U377	U405	1
U267	U98	1
U267	U129	1
U295	U22	1
U198	U958	1
U22	U390	1
U509	U351	1
U35	U24	1
U106	U418	1
U28	U663	1
U27	U300	1
U506	U663	1
U202	U34	1
U579	U601	1
U578	U18	1
U72	U117	1
U72	U534	1
U1069	U55	1
U1069	U908	1
U90	U278	1
U295	U1130	1
U830	U663	1
U376	U525	1
U294	U60	1
U222	U281	1
U7	U257	1
U908	U720	1
U525	U617	1
U7	U908	1
U338	U1002	1
U9	U242	1
U129	U18	1
U720	U908	1
U266	U840	1
U108	U576	1
U617	U525	1
U129	U840	1
U447	U767	1
U108	U576	1
U767	U104	1
U767	U447	1
U9	U242	1
U22	U1171	1
U125	U298	1
U125	U187	1
U125	U18	1
U14	U397	1
U283	U193	1
U283	U426	1
U92	U74	1
U7	U908	1
U689	U529	1
U7	U863	1
U9	U242	1
U31	U225	1
U31	U225	1
U22	U450	1
U393	U696	1
U517	U104	1
U22	U757	1
U22	U757	1
U269	U576	1
U796	U415	1
U188	U372	1
U46	U757	1
U696	U393	1
U53	U537	1
U178	U184	1
U72	U51	1
U46	U757	1
U46	U978	1
U46	U858	1
U31	U225	1
U9	U242	1
U67	U321	1
U9	U242	1
U757	U424	1
U9	U242	1
U9	U242	1
U22	U266	1
U9	U242	1
U9	U242	1
U767	U235	1
U11	U18	1
U343	U537	1
U267	U98	1
U865	U756	1
U184	U406	1
U330	U571	1
U22	U840	1
U269	U44	1
U22	U27	1
U18	U974	1
U24	U456	1
U269	U165	1
U451	U76	1
U22	U27	1
U415	U204	1
U449	U186	1
U22	U27	1
U326	U654	1
U449	U59	1
U22	U27	1
U31	U225	1
U449	U114	1
U31	U98	1
U67	U18	1
U870	U194	1
U406	U250	1
U33	U525	1
U156	U858	1
U267	U129	1
U267	U60	1
U167	U168	1
U738	U18	1
U660	U247	1
U104	U194	1
U35	U747	1
U660	U513	1
U517	U104	1
U660	U120	1
U660	U120	1
U517	U104	1
U429	U319	1
U14	U397	1
U14	U126	1
U14	U594	1
U661	U328	1
U188	U18	1
U441	U306	1
U129	U267	1
U513	U165	1
U11	U361	1
U757	U44	1
U757	U274	1
U168	U167	1
U50	U105	1
U136	U288	1
U343	U451	1
U11	U361	1
U309	U160	1
U167	U431	1
U295	U348	1
U294	U60	1
U334	U165	1
U178	U38	1
U117	U57	1
U10	U112	1
U32	U379	1
U483	U92	1
U32	U526	1
U117	U326	1
U447	U84	1
U39	U473	1
U84	U47	1
U32	U469	1
U117	U57	1
U32	U244	1
U32	U359	1
U188	U372	1
U32	U193	1
U32	U213	1
U79	U94	1
U129	U267	1
U57	U840	1
U32	U648	1
U298	U18	1
U521	U752	1
U835	U634	1
U204	U835	1
U32	U716	1
U204	U835	1
U204	U835	1
U660	U120	1
U10	U112	1
U117	U57	1
U10	U112	1
U755	U298	1
U156	U858	1
U426	U668	1
U426	U283	1
U330	U730	1
U64	U615	1
U615	U527	1
U426	U52	1
U572	U741	1
U60	U294	1
U572	U18	1
U426	U18	1
U38	U178	1
U424	U757	1
U148	U747	1
U543	U32	1
U182	U12	1
U306	U441	1
U1019	U18	1
U691	U73	1
U418	U106	1
U235	U319	1
U739	U18	1
U319	U235	1
U286	U628	1
U295	U904	1
U148	U840	1
U835	U1081	1
U904	U44	1
U23	U178	1
U689	U594	1
U517	U104	1
U15	U800	1
U67	U601	1
U72	U51	1
U343	U451	1
U689	U594	1
U138	U176	1
U58	U183	1
U46	U858	1
U594	U689	1
U594	U288	1
U120	U660	1
U15	U840	1
U23	U178	1
U72	U51	1
U302	U18	1
U67	U157	1
U517	U104	1
U31	U225	1
U22	U757	1
U72	U51	1
U22	U757	1
U23	U178	1
U537	U576	1
U215	U969	1
U67	U119	1
U755	U295	1
U302	U947	1
U33	U914	1
U594	U689	1
U72	U51	1
U1081	U835	1
U204	U835	1
U204	U835	1
U235	U319	1
U295	U348	1
U835	U1081	1
U2	U207	1
U204	U835	1
U204	U415	1
U215	U622	1
U235	U594	1
U163	U840	1
U235	U767	1
U119	U98	1
U35	U506	1
U267	U129	1
U72	U51	1
U239	U216	1
U517	U104	1
U31	U225	1
U594	U183	1
U117	U72	1
U835	U1081	1
U594	U235	1
U1081	U835	1
U31	U225	1
U31	U1091	1
U840	U260	1
U30	U55	1
U7	U410	1
U30	U696	1
U5	U372	1
U756	U562	1
U198	U273	1
U198	U301	1
U5	U756	1
U5	U372	1
U446	U506	1
U5	U372	1
U48	U133	1
U5	U96	1
U372	U555	1
U5	U406	1
U271	U7	1
U30	U55	1
