	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
U1	-0.08176324	-0.045950383	0.036354408	0.079526946	-0.02522168	-0.028960545	-0.01753028	0.01434312	0.053980537	-0.01727912	0.060988273	-0.11406635	0.0031956462	-0.039942153	-0.03215012	-0.06364511	-0.011332458	0.06509405	0.03770381	-0.008726474	0.11856444	-0.02535229	-0.025173938	-0.12309037	0.10505073	-0.06691835	0.0064062797	0.018437542	0.063323125	0.035334624	-0.06802771	0.024119666	-0.023907343	0.04722353	-0.07757365	0.002508597	0.008263096	-0.21780959	0.0075098956	0.03465768	0.0053854124	-0.047101498	0.06736153	-0.03716562	-0.10568674	0.006471942	0.037872456	-0.009987796	0.0905817	-0.024094062	0.092451066	0.08631678	-0.0024873514	0.04655892	-0.095723	-0.066644296	-0.013846483	-0.03330524	-0.0780302	0.015487585	-0.00030053733	0.051399004	0.03371268	0.019665772	-0.11199146	0.10324345	-0.01655084	-0.065046035	0.0011179927	-0.06292577	0.057140127	0.026821489	-0.0024085003	0.030452758	0.004876999	-0.05667389	0.016878655	0.02781564	0.01680325	-0.04010667	-0.055391703	0.014750829	0.07885849	0.022869416	0.11850312	0.030832034	-0.06740484	0.07235566	0.020190366	0.0012135219	0.05442424	-0.0223431	0.039808076	0.020056501	-0.027506195	0.007219505	-0.016906016	0.015281808	-0.012098354	0.09490455	0.07465391	0.021826515	0.06550331	-0.018035978	-0.008822714	-0.13972375	-0.053510476	0.08973827	-0.08147257	-0.0764734	-0.04954307	-0.062029693	-0.042253956	0.024637122	-0.022165343	-0.013262212	0.09095412	-0.028523741	-0.023743663	0.001845486	-0.029103955	-0.009838797	-0.017078824	-0.14724655	0.021005495	0.036834236	-0.041778427	0.058969907
U10	-0.1631375	-0.077103876	0.08823559	0.18753226	-0.056365773	-0.096073836	-0.04488653	0.056419317	0.112137765	-0.023343941	0.11290455	-0.22161241	-0.011548777	-0.0532983	-0.047295246	-0.11800966	-0.01987049	0.16369511	0.089851215	-0.007867493	0.25888374	-0.07881779	-0.039605156	-0.248102	0.2349171	-0.11885877	0.020630764	0.042205397	0.12308322	0.08324522	-0.1279897	0.048674654	-0.086227074	0.12874478	-0.20418462	-0.00550873	0.022831734	-0.43004745	0.0045396592	0.054755017	0.04221531	-0.10210942	0.12540242	-0.067125075	-0.20593263	-0.008933681	0.057717033	-0.05969534	0.17916632	-0.04531704	0.1590257	0.20963524	-0.0035402118	0.110693865	-0.18566556	-0.13037606	-0.015862796	-0.06018673	-0.146591	0.050682366	-0.009508644	0.11454108	0.043457247	0.026245601	-0.25460136	0.22395222	-0.034567446	-0.13977233	0.039307337	-0.16731603	0.09581258	0.07849932	-0.016618967	0.0469823	0.000110357534	-0.113339595	0.01538777	0.071930036	0.033401735	-0.09753497	-0.12678239	0.07517022	0.17802662	0.02712303	0.21495447	0.07901751	-0.15077119	0.17471063	0.06508651	-0.025917428	0.11087327	-0.05995614	0.097936176	0.06417786	-0.08695947	0.012024306	0.0060853953	0.03617925	-0.051228512	0.19474962	0.15175362	0.04098573	0.13609394	-0.01731934	-0.02036731	-0.27844912	-0.1151224	0.18128249	-0.18189539	-0.18736665	-0.13635086	-0.15747528	-0.100252666	0.05373444	-0.06485816	-0.04231207	0.22811024	-0.07329024	-0.049584687	0.03305023	-0.059491523	-0.005190581	-0.072182715	-0.2877062	0.032720823	0.030118303	-0.06777196	0.12812588
U100	-0.23069067	-0.09738589	0.11879653	0.27076685	-0.07854246	-0.13328005	-0.071849324	0.08810099	0.16494745	-0.032035545	0.16322036	-0.30386028	-0.0056260675	-0.07000354	-0.072073944	-0.15155089	-0.03915374	0.23058908	0.13153291	-0.01383676	0.36286098	-0.11157459	-0.060668174	-0.34174174	0.32286468	-0.16713318	0.03131055	0.051306497	0.17393506	0.11716643	-0.1761274	0.07923916	-0.11567302	0.17663202	-0.27580428	-0.015863188	0.033363767	-0.59322244	-0.001145673	0.06933209	0.06179139	-0.14844617	0.17836574	-0.09981707	-0.28381705	-0.015294875	0.085447684	-0.0805248	0.23442699	-0.06371473	0.22242922	0.31976283	-0.00815874	0.15402687	-0.24943441	-0.17890984	-0.019324332	-0.081282414	-0.21040691	0.061669692	0.00012865849	0.15834877	0.064032376	0.03611296	-0.36029026	0.31234932	-0.048378967	-0.20301923	0.046435583	-0.23006284	0.12961307	0.10645857	-0.01501101	0.072701536	-0.0046885004	-0.15641026	0.020409923	0.10046825	0.042048104	-0.13400966	-0.17262574	0.11966269	0.24207813	0.035404507	0.29734603	0.11640542	-0.2193951	0.24443193	0.08308494	-0.033912618	0.1517518	-0.07614434	0.12609708	0.07966182	-0.12640294	0.024846122	-0.002602975	0.03047122	-0.076303475	0.27652943	0.20991407	0.05831987	0.17573789	-0.022711916	-0.025610778	-0.38165992	-0.16139163	0.24949718	-0.25019005	-0.26438504	-0.18620576	-0.2101827	-0.15042932	0.07299673	-0.10600501	-0.059169117	0.31959474	-0.100564346	-0.061003175	0.056789573	-0.0929783	-0.013615128	-0.10509586	-0.39483905	0.04590306	0.03972026	-0.08917845	0.17233843
U1000	0.06262741	0.026175285	-0.057879873	-0.071711935	0.012479529	0.055991482	0.002451907	-0.047804717	-0.073155075	-0.002508544	-0.05189742	0.101812005	-0.003774459	0.0064422456	0.027555814	0.05323199	-0.0043309107	-0.068557054	-0.03636811	-0.023062686	-0.09523601	0.04110722	-0.0012189024	0.11398781	-0.12347991	0.061319523	-0.0037651514	-0.013067703	-0.080197856	-0.057835396	0.08227115	-0.0014705253	0.06709375	-0.06199143	0.09868855	0.006850605	-0.012697682	0.18166007	0.013154574	-0.02370556	-0.034734827	0.045625072	-0.057604942	-0.009537869	0.11668494	0.0060820673	-0.009086899	0.038555358	-0.0870249	0.012192897	-0.042175215	-0.052812956	-0.0039468277	-0.051102005	0.11362964	0.0644406	-0.01203241	-0.00075773674	0.053641237	-0.03991524	0.012472756	-0.061796274	-0.00225155	-0.010577505	0.107433274	-0.089550465	0.02248668	0.055908084	-0.014064047	0.077991776	-0.07264409	-0.011242957	0.01998616	-0.027781252	0.00030045304	0.035808947	-0.019289818	-0.029883808	-0.027744781	0.03477897	0.066498615	-0.056840867	-0.073808804	-0.0060326634	-0.07163334	-0.054443162	0.07139415	-0.059179664	-0.060128022	0.029018236	-0.05903262	0.037808355	-0.07357883	-0.034884926	0.04739182	0.016687816	-0.020371683	-0.014401203	0.02631272	-0.07588765	-0.06684293	0.0013681699	-0.06452849	-0.0017462575	0.05208997	0.14074235	0.03784672	-0.06662425	0.0568828	0.07294495	0.07511245	0.059061088	0.061172023	-0.033816196	0.0129129	0.01976897	-0.09671965	0.021801671	0.03056471	-0.00726231	0.039644912	-0.011268965	0.026031177	0.11493547	0.016841497	0.0016622973	0.039860923	-0.075532444
U1001	-0.09135559	-0.04219819	0.04735007	0.10157071	-0.028894868	-0.045513958	-0.028544901	0.02529162	0.06822375	-0.011099713	0.06907263	-0.12793869	-0.009970729	-0.036214154	-0.02948422	-0.06618591	-0.010457041	0.084212475	0.047293276	-0.008414783	0.14385934	-0.039746195	-0.028859803	-0.13848622	0.1252153	-0.06606501	0.010851839	0.021444112	0.073595226	0.041810594	-0.06850108	0.031648356	-0.038834803	0.06725339	-0.10172205	-0.0014198236	0.0094694095	-0.23981196	-0.00024553528	0.033761296	0.021979334	-0.05596236	0.0733101	-0.03871359	-0.11989936	-0.0011964049	0.038072996	-0.01977622	0.10089514	-0.02814963	0.08926499	0.11148152	-0.008348259	0.066008136	-0.10527484	-0.07711389	-0.0072263754	-0.042488392	-0.08153479	0.020802207	-0.0005861493	0.07158381	0.023629084	0.017816529	-0.14007625	0.12649839	-0.015508937	-0.07901828	0.0148277655	-0.09056231	0.053022973	0.04600877	-0.0041915616	0.028449357	0.0054117637	-0.066322304	0.008735411	0.042047992	0.020748386	-0.04959147	-0.06851444	0.031885035	0.09410045	0.018437736	0.12670158	0.039671026	-0.080578595	0.09741849	0.027919445	-0.009961815	0.060788058	-0.031050172	0.051971626	0.032857995	-0.04322128	0.012639385	-0.00405731	0.021011714	-0.021315705	0.109812	0.08677898	0.01678227	0.07449874	-0.014403906	-0.0071083205	-0.16622184	-0.06911288	0.10905691	-0.09987626	-0.10914981	-0.07294276	-0.084742196	-0.057038985	0.027232392	-0.03250025	-0.021865683	0.12060378	-0.041314416	-0.026065245	0.014234556	-0.03334406	-0.0065435804	-0.03557121	-0.16462706	0.021162922	0.025458878	-0.04150178	0.06563858
U1002	0.05567292	-0.026417103	-0.022246998	-0.05902534	0.0027205748	0.03638433	0.020847881	-0.04855423	-0.015957506	-0.005037852	-0.026749881	0.01733219	-0.01649908	-0.020382436	-0.004095844	-0.014389591	-0.00038542628	-0.05698398	-0.027522266	-0.027383715	-0.03231999	0.040524356	0.0024168913	0.027767098	-0.053403556	0.005886985	-0.015653223	0.0091120815	-0.01276442	-0.011031152	0.0014543189	-0.021583842	0.04648065	-0.028951667	0.05966698	0.031737063	-0.026323676	0.0463186	0.029847719	0.028051235	-0.041495685	0.02760463	-0.013616973	-0.010762581	0.003484888	0.018428423	0.012536904	0.0424711	-0.004471427	-0.0031577866	0.005993978	-0.074298106	-0.016326392	-0.033807892	0.013457076	0.026654556	-0.0117511805	0.0058991928	0.029441081	-0.01279327	0.012699295	-0.029654397	0.018434376	0.034395743	0.06743999	-0.046977762	0.008184234	0.02722392	-0.040510684	0.071498014	0.00033688452	-0.019105606	-0.0023355675	0.0047270004	0.030336333	0.010219721	0.017055776	-0.022012359	0.0053460165	0.028878659	0.018526375	-0.058950685	-0.02082897	0.033185102	0.003956316	-0.005328267	0.029999863	-0.041408844	-0.03936707	0.02734615	0.004591506	0.018602628	-0.010815527	-0.0149115175	0.048813883	0.024066528	-0.021364339	0.0060855816	0.036955927	-0.02931843	-0.00607078	0.026526157	0.0032215733	-0.0104421275	0.012579157	0.030280344	0.028587176	-0.014733085	0.030207042	0.060404368	0.05731477	0.040428653	0.0513283	-0.016088676	0.04752594	0.028240502	-0.055351913	0.022058709	-0.017095577	-0.050180946	0.022289094	0.0072453916	0.04821747	0.03023154	0.0077829785	0.030773785	-0.02859766	-0.0143662095
U1003	0.10248136	-0.00030233338	-0.04782357	-0.12592256	0.022705402	0.0858115	0.059649907	-0.05927745	-0.08209993	-0.025709955	-0.07341549	0.094990574	-0.007612059	0.015275117	0.020277863	0.015938584	-0.0038447455	-0.12171479	-0.061763965	-0.01959187	-0.12790877	0.059048757	0.023748737	0.122066654	-0.13011694	0.056448035	-0.03965574	-0.0021884108	-0.064460486	-0.034608334	0.053137325	-0.061056018	0.08254165	-0.08186401	0.12295937	0.03437111	-0.03647339	0.20732915	0.027136974	-0.015041162	-0.05444905	0.06553152	-0.061163012	0.020766873	0.10605505	0.01826451	-0.022554308	0.05260654	-0.07476756	-0.0031098793	-0.041724708	-0.1418049	-0.00074806286	-0.06460905	0.100449756	0.054142848	-0.033371154	0.005486103	0.085926175	-0.020953175	-0.0059049586	-0.08309092	-0.0021998654	0.009316315	0.15883657	-0.15290186	0.023428999	0.08292085	-0.039121754	0.12373728	-0.05035397	-0.031927966	-0.025321651	-0.030139122	0.011334911	0.03721277	0.009168468	-0.052617904	-0.006432546	0.05919137	0.06483725	-0.08391108	-0.076636136	0.026949517	-0.08011777	-0.04282809	0.09610555	-0.10276848	-0.059535164	0.03744708	-0.032444194	0.034509633	-0.034203537	-0.030882608	0.08833166	0.0060782502	-0.017053477	0.005276553	0.06323378	-0.09931459	-0.070315756	0.004631986	-0.047612794	-0.007982182	0.03590594	0.14916033	0.06199414	-0.11714301	0.09238204	0.1287505	0.09832962	0.08087098	0.05815944	-0.029183233	0.069604546	0.05560659	-0.122964986	0.05134235	0.014345357	-0.038318817	0.047957797	0.019479556	0.049694102	0.11303127	-0.0028067096	0.047067862	0.023555547	-0.05454265
U1004	-0.13271047	-0.031819895	0.053072397	0.16971126	-0.034813654	-0.07502733	-0.05784118	0.07358277	0.09847536	-0.014971992	0.09980405	-0.17125636	0.017856792	-0.051108364	-0.034687497	-0.053589087	-0.0241264	0.15180953	0.090123326	-0.0066867606	0.2223608	-0.07073576	-0.05498075	-0.19154333	0.17245063	-0.07313066	0.025116006	0.010983328	0.08453281	0.04784715	-0.078173734	0.04537347	-0.06036281	0.10498969	-0.15052399	-0.036233474	0.032648742	-0.34138688	-0.008527521	0.019735558	0.047322467	-0.09743639	0.094749376	-0.06464367	-0.14590634	-0.003947369	0.049855262	-0.053182296	0.11018975	-0.020660339	0.12730196	0.21665902	-0.0065474478	0.08964774	-0.12223925	-0.10466331	-0.00020354148	-0.044163104	-0.13128337	0.03118279	0.010064907	0.1100636	0.026649483	0.026570117	-0.20579064	0.20079502	-0.017394293	-0.118964605	0.022741154	-0.14770894	0.06392937	0.056226827	0.018631525	0.039878808	-0.029917955	-0.07843153	-0.013307311	0.05112642	0.009051144	-0.08350168	-0.08332813	0.08714634	0.12267467	-0.003589964	0.15085548	0.058489285	-0.13437524	0.14485635	0.032882884	-0.015726382	0.06270781	-0.03920132	0.05333757	0.04407353	-0.09029442	0.018009104	-0.00948725	-0.0002143397	-0.07165099	0.16209674	0.12470625	0.023017477	0.07487478	-0.022369748	0.012895465	-0.20988543	-0.09083841	0.14764243	-0.14588898	-0.15202223	-0.10282637	-0.12831087	-0.091047876	0.034385655	-0.089307114	-0.055726256	0.18981592	-0.06174505	-0.010195288	0.059813082	-0.06383583	-0.02261931	-0.07577523	-0.2131423	0.02893631	0.018225165	-0.029158868	0.081335746
U1005	-0.047027707	0.0041253	0.013872679	0.09477688	-0.021325033	-0.02149928	-0.01753089	0.039461926	0.04087787	0.0006315275	0.037985977	-0.06183867	0.0104820775	-0.027849576	-0.0150744105	-0.01567367	-0.016340867	0.08583099	0.047845457	-0.0057414756	0.09586806	-0.03587938	-0.023357155	-0.08730994	0.05737281	-0.022712125	0.01980169	-0.0012455828	0.032172408	0.0063295253	-0.014418079	0.023082685	-0.034544908	0.051829368	-0.077027105	-0.023686428	0.023425456	-0.14464465	-0.005094009	-0.0029092196	0.032955036	-0.061660334	0.03032232	-0.030501803	-0.061120603	-0.0071634017	0.0182855	-0.023066057	0.04213154	-0.01663087	0.04888274	0.11271368	-0.0008797443	0.03880501	-0.036384102	-0.056542803	0.012877707	-0.021756332	-0.051538534	0.01426347	0.0106326025	0.054196693	0.00052017905	0.016899686	-0.10964245	0.08161532	0.013781714	-0.05257868	0.016761981	-0.07482827	0.021865137	0.024599528	0.0036981232	0.007687186	-0.021450719	-0.026269367	-0.018743094	0.021225318	-0.004669707	-0.03589028	-0.03919447	0.036081262	0.033922136	-0.020687953	0.056843363	0.025122818	-0.0639932	0.0489943	0.014536109	-0.0113235125	0.014404716	-0.01593548	0.0037020752	0.01510421	-0.04363154	0.0079276115	-0.013800209	-0.0035910686	-0.04645995	0.07767541	0.05520481	0.014449837	0.01309668	-0.013648575	0.014910698	-0.092127874	-0.036182586	0.057302624	-0.07349629	-0.06882818	-0.053658146	-0.06117631	-0.038873836	0.014968734	-0.04951934	-0.023933593	0.088988535	-0.027305027	-0.0041896813	0.038584337	-0.03448093	-0.007833017	-0.049446285	-0.074869394	0.021950725	-0.0067051146	0.0067504467	0.030803502
U1006	0.14140557	0.03709994	-0.10978621	-0.1866707	0.047197804	0.12949564	0.042531617	-0.10745478	-0.10076815	-0.02854286	-0.092277266	0.1907988	-0.009938249	0.00666548	0.037329722	0.0886659	-0.014819703	-0.20086372	-0.0803161	-0.013498643	-0.25123507	0.11908085	0.024265852	0.22978121	-0.23622873	0.07640356	-0.014273256	-0.018792232	-0.14036806	-0.11214969	0.08472693	-0.037599042	0.12887529	-0.14512087	0.21992457	0.05065167	-0.03419798	0.38438684	0.031639166	-0.02531438	-0.081142694	0.12973738	-0.110546	0.027022634	0.19188538	0.02929873	-0.03591568	0.089784965	-0.13917337	0.020130506	-0.12775066	-0.21090978	0.024565669	-0.1253586	0.19024442	0.11765354	-0.023525825	0.03229393	0.13913573	-0.06854638	0.005569251	-0.13215412	-0.0217766	0.0016462251	0.25817353	-0.19181815	0.05155819	0.16005588	-0.0758419	0.17888261	-0.07422633	-0.08985073	0.01185591	-0.011131381	0.013646795	0.10537971	-0.004310491	-0.03978071	-0.04425673	0.09909856	0.13298097	-0.13799027	-0.15079415	-0.005426648	-0.16919248	-0.042196907	0.16317786	-0.1896581	-0.07175125	0.093160294	-0.099541396	0.040619746	-0.114215046	-0.09168438	0.10946019	0.02325735	-0.045049377	-0.024241572	0.07495812	-0.17866671	-0.123801745	-0.029653423	-0.14434092	-0.012680247	0.047073465	0.24511057	0.08573544	-0.17803666	0.1789935	0.21196511	0.14951614	0.18275549	0.105757564	-0.052379638	0.10441124	0.035228252	-0.25053367	0.05142388	0.044376396	-0.07349484	0.06740465	0.03648143	0.09624133	0.23539215	0.0041118986	0.050994616	0.06114045	-0.15472856
