	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
U1	-0.04006722	-0.32293049	-0.04684366	0.40036651	-0.0053454125	0.03423987	-0.25830093	-0.27570048	-0.17010435	-0.09077516	0.038278017	-0.20744807	-0.20864113	-0.5203212	-0.092573546	-0.10799269	0.014673506	-0.08702672	-0.22570328	0.2644596	-0.31252328	0.003497077	-0.11999886	0.22574659	0.35852227	0.012912855	-0.07709713	-0.3278942	0.011060289	0.47338992	0.31635794	0.19798936	0.025240365	-0.029874017	-0.17565903	0.14948972	-0.45997158	-0.008597065	0.15876071	-0.0933156	0.15352756	0.0889037	0.00018038927	-0.43064323	-0.07138586	0.23952317	-0.0009800927	-0.51635736	-0.03541203	0.041963395	0.13584872	-0.24803317	-0.030385368	-0.53001326	0.2924884	0.18780215	-0.14653656	-0.18961266	-0.09753621	-0.3509006	-0.41767365	-0.19453262	-0.16892217	0.057519674	-0.0030672776	0.024468906	0.06553696	-0.1486274	-0.05065759	-0.042963065	-0.80414855	-0.22762726	-0.39217094	-0.13449237	0.21942079	0.21343608	0.0066292207	-0.20364045	0.16119094	0.23949939	0.06357135	-0.1848594	0.21431227	-0.3195162	0.28614756	-0.37654662	-0.041590534	0.40415972	-0.21225908	-0.2541409	-0.116938576	0.039363574	-0.09393271	-0.045476817	-0.09829294	0.30308756	-0.25297236	-0.086263046	-0.026670251	-0.10747122	-0.24218288	-0.24116117	-0.5490596	-0.2930127	-0.08820997	-0.6739595	-0.17377591	-0.40681458	-0.4474526	-0.084560305	-0.17659152	0.16972694	-0.276439	0.44222793	0.33640572	-0.017545814	0.15453863	0.06960565	0.10914768	-0.07773784	0.310372	0.22673327	0.2920278	-0.40533513	0.14095454	-0.081522815	-0.08146295	0.16762854
U10	-0.031395774	-0.18637863	-0.044887953	0.23593014	0.001524623	0.027084704	-0.16413845	-0.16384728	-0.10067915	-0.060410123	0.036902115	-0.13537844	-0.13977191	-0.3312394	-0.061517872	-0.06846655	0.003262875	-0.046362568	-0.13488133	0.15828401	-0.20086455	0.0013748243	-0.064395584	0.13786973	0.23859705	0.018340897	-0.043812335	-0.20829082	0.0066618817	0.29584798	0.19329388	0.12716843	0.025603257	-0.027416112	-0.09286812	0.09833399	-0.27598998	-0.014347927	0.10536492	-0.051230583	0.09306926	0.04102493	0.009355554	-0.27684885	-0.049150486	0.16371672	0.003984626	-0.32522506	-0.024162797	0.015680183	0.07878316	-0.16533634	-0.025413416	-0.3449939	0.17658174	0.11753568	-0.08278779	-0.1190423	-0.048450258	-0.22267473	-0.2576913	-0.12503219	-0.09146732	0.050615482	-0.013774091	0.0037919842	0.050339483	-0.08266748	-0.02946229	-0.025462858	-0.5064608	-0.14099891	-0.2493191	-0.08877244	0.12974033	0.122052476	-0.0071737906	-0.10944156	0.09843841	0.14712264	0.042472426	-0.11523405	0.13922872	-0.18927014	0.19033994	-0.23914036	-0.020865496	0.25976783	-0.121075474	-0.15060638	-0.057783894	0.018263606	-0.07374132	-0.028612206	-0.069199085	0.1935019	-0.15371819	-0.05913345	-0.0124090575	-0.071022026	-0.14637288	-0.14763899	-0.32493153	-0.17675	-0.04269877	-0.4160194	-0.11205819	-0.24600571	-0.28986564	-0.056165952	-0.11717157	0.11448519	-0.1634109	0.27498347	0.21112636	-0.022370672	0.10360164	0.031210849	0.07747907	-0.042452686	0.20445925	0.14436574	0.18261473	-0.26168424	0.076060034	-0.062133614	-0.04935557	0.120154165
U100	-0.012102595	0.083788425	0.00049827376	-0.09078759	-0.003873426	0.009217507	0.03994955	0.06695524	0.034518354	0.021260181	-0.013456407	0.05302596	0.048880715	0.12434394	0.02420125	0.015193878	0.022892086	0.026335526	0.062427673	-0.059481893	0.08168449	-0.0024811707	0.031030463	-0.062375758	-0.07734892	-0.0051096245	-0.0095725935	0.07118776	-0.0066525657	-0.13382274	-0.07936153	-0.04096183	0.0070330705	0.008283762	0.03929867	-0.03899831	0.10971023	-0.005052813	-0.02820562	0.0074252775	-0.029993806	0.00827857	0.038475487	0.09591415	-0.010079857	-0.022924082	0.01926016	0.12197449	-0.0012830219	-0.0045848377	-0.01642372	0.0800171	0.007233248	0.11189127	-0.045163307	-0.023928195	0.032572843	0.06532383	0.026297899	0.07717357	0.08981356	0.02729702	0.016918894	0.00800281	-0.010623825	-0.029491521	0.005017477	0.01217957	-0.010885903	0.00616822	0.15122233	0.027473839	0.09257203	0.015790012	-0.07351255	-0.045187116	-0.005472477	0.060879555	-0.027392792	-0.03606937	-0.02499251	0.029608728	-0.074141726	0.055228703	-0.06454313	0.071139574	0.015651723	-0.077039585	0.042665783	0.07586221	-0.016450986	-0.0113895275	0.04056799	0.01260847	0.024571897	-0.045030672	0.07293775	0.029798517	0.016036915	0.010867127	0.05293677	0.068999514	0.104307726	0.06549537	-0.018591039	0.16456	0.058025338	0.08134514	0.12156877	0.015319727	0.038661648	-0.03105529	0.0691915	-0.0929244	-0.054571863	-0.003078363	-0.041647855	-0.023163006	-0.018654224	0.020402558	-0.056170225	-0.05512269	-0.055756807	0.116403446	-0.009468807	0.028394	0.027827071	-0.034763057
U1000	-0.011905514	0.10107397	-0.007642684	-0.118062966	0.0049749725	-0.01491098	0.033966023	0.065317646	0.04181888	0.024397468	-0.008809167	0.051963553	0.07494991	0.143386	-0.011844134	-0.00016368227	-0.017183704	0.030211229	0.060070638	-0.03729851	0.10011699	-0.020352952	0.032383204	-0.07231092	-0.071636304	0.0046807127	0.0015739813	0.06844225	-0.0172598	-0.14976187	-0.090258956	-0.031073285	-0.0009484077	0.018051535	0.017021434	-0.072401226	0.12308795	-0.012918331	-0.053454444	0.009581863	-0.027381565	-0.012319504	0.032504212	0.12828055	0.0047025857	-0.041625917	0.00743492	0.15593697	-0.014293351	-0.013283226	-0.050537206	0.0753533	0.009805781	0.11522654	-0.031095318	-0.033984512	0.029446358	0.05008548	0.032833666	0.08384822	0.09617816	0.016985625	0.024831967	-0.020077487	0.0028756722	-0.008117326	-0.0052646208	0.021197531	-0.0021284202	0.011484418	0.19959338	0.054256618	0.090609826	0.035186198	-0.06588722	-0.05672186	-0.0006614884	0.047621455	-0.050840795	-0.049472205	-0.008154215	0.049417853	-0.058629654	0.07050096	-0.07144731	0.090371706	-0.003284879	-0.10883259	0.03758646	0.092034794	-0.009866177	0.010142216	0.035880186	0.008484977	0.035789326	-0.059353586	0.095776685	0.024567807	-0.015133614	-0.015486587	0.051687222	0.05740338	0.10485898	0.05396165	-0.013109408	0.16690458	0.029096484	0.07955478	0.13269874	0.019941896	0.045375716	-0.05243764	0.08458977	-0.113707066	-0.07559445	-0.009824306	-0.033023626	-0.0014838586	-0.020035189	0.0032576127	-0.06369434	-0.061322346	-0.06305423	0.104138285	-0.019019168	0.02306688	0.015693622	-0.039808497
U1001	-0.0029114238	-0.0012067705	0.013489634	0.0061067324	0.007349338	-0.005451671	-0.0064719412	-0.008278413	0.003514911	-0.004556758	0.0060847956	-0.0068549328	-0.014605997	-0.00014201831	0.010427266	0.007871631	-0.015711462	0.0078063663	0.020511543	-0.032048795	-0.016644018	-0.0008729481	-0.0071928315	0.00575824	0.01747776	0.018623114	-0.007891877	-0.0064735273	-0.007379325	0.0049302783	0.024976403	-0.007068705	0.003509066	-0.0033978084	0.019097375	0.016130185	-0.00946407	-0.026429344	0.012202839	-7.7947974e-05	0.020041667	0.0065017333	0.025775341	-0.024880191	-0.01879711	0.01634939	-0.0001839539	-0.028799413	0.007925269	-0.025175618	0.007859805	-0.0070135593	-0.026948601	-0.029220395	0.010947262	0.014373984	-0.007213238	-0.0026165834	0.0065006143	-0.023834893	-0.00608698	-0.016085621	0.008826051	0.014850936	-0.0021687879	-0.0043403516	0.020579942	-0.019170022	-0.009445847	0.011987243	-0.018213393	-0.01194804	-0.01596062	-0.032960296	0.030084666	-0.0027016671	-0.006037797	0.010776488	0.00943179	0.0064223	0.002283228	-0.007920007	-0.00797246	-0.018408109	0.011188708	-0.0111230295	0.0065062484	0.023452083	-0.010936648	-0.0033742934	-0.01930517	-0.008752104	-0.019961284	-0.007999111	-0.004258613	0.011707854	-0.007486677	0.018819103	0.009555	-0.025230814	0.016899975	-0.01813394	0.012145198	0.0040506427	-0.004729204	-0.010716299	-0.009625574	-0.015569846	-0.008363296	-0.0111212935	-0.016682947	0.0340371	-0.02003717	0.0059662936	0.004739969	0.010486802	0.004661576	0.0060604494	0.009955941	0.019971289	0.021478068	0.032931022	0.010014061	-0.00024513341	0.0043816767	-0.0064992723	0.0039140657	0.008396247
U1002	0.0003455002	0.09321087	0.0054440508	-0.09669707	-0.0055339066	-0.008605196	0.04029186	0.058893327	0.03233882	0.009711353	-0.0057437005	0.035046756	0.04127081	0.14503235	-0.005085028	0.029083807	-0.016435636	0.021602754	0.05501092	-0.06764308	0.06907504	-0.015430844	-0.0012365842	-0.06542386	-0.08365658	-0.017256219	0.0016157343	0.07807527	-0.023263784	-0.15352114	-0.07052073	-0.04647303	0.0029790616	0.009832161	0.045635417	-0.05456695	0.09851443	-0.009685762	-0.044405326	0.038911548	-0.031783786	0.002709388	0.045328815	0.10568694	-0.007876065	-0.024007494	0.029823719	0.11101969	-0.0023229814	0.0005565991	-0.014665386	0.0789747	-0.0007450152	0.13125876	-0.02038119	-0.036496222	0.022604683	0.057071384	0.03147173	0.074729614	0.08408643	0.030869812	0.036159292	0.0020338073	-0.0054369103	-0.0028643766	0.018623058	0.030769125	0.0056591793	0.0057640113	0.17405716	0.054997038	0.0890704	0.0019054986	-0.064926915	-0.060788773	-0.015588218	0.06633093	-0.032674335	-0.05549594	-0.021664858	0.048177764	-0.03722284	0.06908727	-0.06537503	0.09455356	0.019200994	-0.088560045	0.06933714	0.08773778	-0.00672084	-0.014757585	0.012002023	-0.00074918964	0.018604191	-0.033011213	0.070951834	0.035150714	0.0023007132	0.013475694	0.059284184	0.071450375	0.11902068	0.04875885	0.0074999393	0.15710469	0.052648943	0.10901447	0.122226804	-0.003982021	0.03375519	-0.0183456	0.05863072	-0.09732045	-0.07837324	0.002407589	-0.016379565	-0.030402226	0.0053634336	0.037950464	-0.049719915	-0.02350881	-0.025839798	0.09736644	-0.0038969568	-0.007241216	0.02552742	-0.019089956
U1003	-0.031778894	-0.05971034	-0.05571182	0.12207573	0.005268242	0.025915405	-0.12841927	-0.078051165	-0.07834695	-0.040595613	-0.02970499	-0.07442737	-0.10124727	-0.13550264	-0.05432641	-0.009091161	-0.0023418586	0.02087799	-0.090429336	0.101662025	-0.120442614	0.010809591	-0.07214285	0.06741971	0.1481829	0.029605825	-0.078558125	-0.085027285	-0.02976852	0.130614	0.08745174	0.073287696	0.0004708087	-0.011529818	-0.05428838	0.026674649	-0.18400203	0.011292826	0.042621262	-0.0088856965	0.054711983	0.05784979	0.012071563	-0.15698154	-0.023671756	0.12920432	0.010275811	-0.12743889	-0.0077734906	-0.0016746707	0.04667934	-0.117400795	0.010510613	-0.18874101	0.09184347	0.068689935	-0.06968949	-0.049976047	-0.07382545	-0.15803517	-0.12375095	-0.055635594	-0.013221453	0.04657643	-0.03165577	0.028014261	0.07347086	-0.036617577	-0.031264197	-0.0040389546	-0.23061888	-0.03818414	-0.07783021	-0.08397039	0.057579454	0.05656666	-0.032851063	-0.10855893	0.058912188	0.10981673	0.060706325	-0.045566596	0.07970466	-0.07221421	0.06730643	-0.08030875	0.020705571	0.14344765	-0.031700082	-0.117173746	-0.043763768	0.031953134	-0.021281527	0.03108687	-0.09164546	0.107532285	-0.09228961	-0.036893032	0.06138937	-0.0049663093	-0.081392236	-0.03708534	-0.08434447	-0.082535446	0.015673107	-0.277509	-0.06577018	-0.15011166	-0.21853556	-0.030088741	-0.07573827	0.083084814	-0.07821598	0.1723051	0.08095312	-0.016672663	0.061903194	-0.003257499	0.04687037	0.0028463108	0.16564935	0.0901038	0.092009895	-0.1346007	0.045961037	-0.025174314	-0.025333975	0.057369746
U1004	-0.0063020117	0.10423155	-0.02104162	-0.05980034	0.006544884	0.013680457	0.0065497356	0.036495037	0.013139227	0.0033919727	-0.033187985	0.050834164	0.030976897	0.13749951	-0.00058614416	0.0252456	-0.022340653	0.045282636	0.065342784	-0.051661786	0.06521436	0.000998563	0.018713566	-0.0619636	-0.06204	0.012690252	0.003892527	0.06997024	-0.024684692	-0.124754995	-0.06647876	-0.025655052	-0.008633263	0.023304839	0.03565395	-0.051741287	0.10287613	0.02239774	-0.027575212	0.020885644	-0.019414645	0.004344984	0.03364784	0.09593783	0.004233557	-0.04365439	0.0067845215	0.12298735	-0.0016367382	0.0053996993	-0.025807772	0.056672297	0.013253656	0.1198872	-0.028926216	-0.04669997	0.024687598	0.055367354	0.013336737	0.067039296	0.09581448	0.029905528	0.05441463	0.003657378	-0.028990518	0.019994888	0.024334796	0.011120719	0.02039507	0.0020960914	0.17336988	0.0612143	0.09828548	-0.00014448352	-0.051699948	-0.04480239	-0.043182068	0.032477673	-0.012621182	-0.04726494	-0.012950809	0.044345707	-0.03516809	0.07684723	-0.059759304	0.107970685	0.025429202	-0.08376599	0.04725406	0.06385768	0.010432421	-0.007872667	0.033054873	0.0022028866	0.009791645	-0.026498638	0.060631853	0.019527385	0.031843826	0.0047744894	0.044758927	0.04807412	0.12833606	0.0697349	0.003464616	0.1276937	0.015165903	0.100203395	0.11126977	-0.01012945	0.031204684	-0.0011172136	0.057326872	-0.08443147	-0.06153896	0.019946203	-0.03126507	-0.027677119	-0.002797075	0.05602724	-0.049814194	-0.030464336	-0.026812084	0.08953081	-0.012089141	0.012836473	0.025818584	-0.033652503
U1005	-0.00802264	0.01751346	-0.040996652	-0.0066998536	-0.0010132823	0.015307149	-0.0025637094	0.021638323	-0.012147311	-0.006194075	0.010038401	-0.02332307	-0.02155164	-0.02154928	-0.0053000217	0.0008364315	-0.017818963	0.02796476	-0.0009914562	-0.0057886047	-0.012498101	0.016431574	0.011551703	-0.011739418	0.03103102	0.007730279	-0.024222028	-0.016396224	-0.018750502	0.021175217	-0.009738524	0.012858788	0.018780863	-0.0064242156	0.029913604	0.0011551604	-0.0069419146	-0.004305048	0.0053063137	0.01638901	0.008391459	-0.022294872	0.017720139	-0.026328145	-0.01734325	0.044831526	0.018587135	-0.012868671	-0.0053133536	-0.005197864	-0.007906785	-0.04848095	0.0014009196	-0.03472089	-0.007738495	0.015373778	0.01700125	0.003397793	-0.0027885663	-0.031347647	0.020888053	-0.012272146	0.043448247	0.036479358	-0.024033781	-0.01049602	0.019880712	0.021336365	-0.0046774573	-0.008780474	-0.020074809	0.004578293	-0.0098722465	-0.025893122	-0.0034725363	-0.014892917	-0.028401801	0.008825241	-0.008229468	0.01635765	-0.0041271094	-0.0024633212	0.010359826	0.010601441	0.0043054298	-0.010249939	0.009772479	0.023951301	0.01279494	-0.009822041	0.019086836	-0.013201293	-0.014752674	-0.0022848065	-0.027513154	0.015980858	-0.015053151	-0.0028137448	0.030579017	5.8898702e-05	0.0038501506	0.009366909	0.020580156	0.002829798	0.017759925	-0.02543471	-0.010082115	-0.0061212806	-0.042524178	-0.0085144695	-0.011381017	0.01685352	0.007796834	0.020913199	0.011822096	0.0010042684	0.01370755	-0.012120128	0.026273992	0.006967435	0.04311251	0.019166548	0.007923204	-0.015947603	0.0048483103	-0.01918901	0.0049019717	0.027378298
U1006	-0.013412997	-0.076408505	-0.050268367	0.1202681	0.0101533495	0.013945586	-0.11184247	-0.07255295	-0.050073683	-0.04258807	-0.013462025	-0.08048027	-0.068334915	-0.13418683	-0.068651736	-0.005831804	-0.0092340475	0.034014273	-0.07175316	0.0879089	-0.10132155	0.03934725	-0.048306517	0.053453293	0.14694306	0.02652601	-0.053688653	-0.09288704	-0.00502134	0.14802727	0.08563782	0.05844804	0.0051990356	-0.0046984637	-0.050028585	0.058308482	-0.14853045	-0.0062080827	0.01715062	-0.035447042	0.05003202	0.05281387	0.016177936	-0.1374249	-0.021382432	0.10534179	0.01357159	-0.11370771	0.011587542	0.0019997912	0.045316078	-0.1233291	-0.0001342278	-0.17729814	0.09099601	0.04957191	-0.049763143	-0.056689538	-0.043577094	-0.12828802	-0.10673338	-0.062241696	-0.020652013	0.048436772	-0.032024335	0.037448812	0.05231094	-0.023144089	-0.037524078	-0.0109447185	-0.20529264	-0.039658733	-0.06313652	-0.07679423	0.05295066	0.059286457	-0.045157127	-0.09199061	0.06677672	0.102728255	0.03999217	-0.034658432	0.08619553	-0.07257602	0.06640023	-0.09594048	0.0010155733	0.13767467	-0.052046955	-0.11910866	-0.024732646	0.024355102	-0.025187744	0.023539433	-0.09534941	0.08149766	-0.07885753	0.0018782355	0.06338689	-0.011360696	-0.08972899	-0.06702773	-0.06874272	-0.04266471	0.0013444191	-0.24275343	-0.06978105	-0.12505287	-0.17565107	-0.027669732	-0.07792338	0.07873477	-0.08874064	0.15735906	0.088744715	0.004640455	0.04497509	0.0042225407	0.025979932	-0.0034457045	0.14653854	0.07995281	0.082893565	-0.13158785	0.03662171	-0.04264412	-0.024937622	0.0595651
